---------- AND Interactions ----------
I(5,6): -3.1158666610717773	 ([madsen][plays])
I(27,29): 0.5693848729133606	 ([goes][home])
I(13,48): 0.5638097524642944	 ([life][film])
I(35,36): 0.5634426474571228	 ([respect][word])
I(36): -0.5603403449058533	 ([word])
I(4,28): 0.558647871017456	 ([madsen.][preacher's])
I(15,16): -0.5555126070976257	 ([around][him.])
I(2): 0.5483129024505615	 ([debut])
I(37): -0.5469880700111389	 ([god])
I(39,40): -0.5395165681838989	 ([heart.][makes])
I(15,39): -0.5368019938468933	 ([around][heart.])
I(20,21): 0.5350635051727295	 ([book,][looks])
I(30,38): 0.5289953351020813	 ([discusses][jesus])
I(32,45): 0.5267864465713501	 ([preacher][life])
I(29,48): 0.5267109870910645	 ([home][film])
I(47,51): -0.5262080430984497	 ([fact][made])
I(37,39): 0.5251486897468567	 ([god][heart.])
I(27,48): 0.5235381126403809	 ([goes][film])
I(24,26): 0.5229911804199219	 ([calls][night.])
I(28,29): 0.5196865797042847	 ([preacher's][home])
I(37,54): 0.5166726112365723	 ([god][help.])
I(21,54): 0.5166292190551758	 ([looks][help.])
I(45,51): -0.5165746212005615	 ([life][made])
I(13,53): 0.5153933763504028	 ([life][certainly])
I(10): -0.5149825811386108	 ([family])
I(30,45): 0.5107030272483826	 ([discusses][life])
I(2,21): 0.5087487697601318	 ([debut][looks])
I(33,34): -0.5081919431686401	 ([teaches][cecil])
I(29,43): 0.505918025970459	 ([home][ahh... if])
I(44,45): 0.5052974224090576	 ([everything][life])
I(38,45): 0.5027740001678467	 ([jesus][life])
I(26,33): 0.5016142129898071	 ([night.][teaches])
I(26,28): 0.4992855191230774	 ([night.][preacher's])
I(41,45): 0.49782872200012207	 ([everything][life])
I(49): 0.4936089515686035	 (["])
I(13,29): 0.4931776523590088	 ([life][home])
I(2,3): -0.49184781312942505	 ([debut][michael])
I(29,54): 0.49117565155029297	 ([home][help.])
I(2,10): -0.49038994312286377	 ([debut][family])
I(39): -0.48708969354629517	 ([heart.])
I(13,24): 0.48235857486724854	 ([life][calls])
I(14,54): -0.48229408264160156	 ([crumbling][help.])
I(15,54): -0.48123908042907715	 ([around][help.])
I(10,13): 0.4811546802520752	 ([family][life])
I(45,48): 0.47789931297302246	 ([life][film])
I(48,49): -0.4775385856628418	 ([film]["])
I(51,52): 0.4753410816192627	 ([made][500])
I(39,44): -0.4737386703491211	 ([heart.][everything])
I(36,37): 0.47016090154647827	 ([word][god])
I(1,4): -0.4665130376815796	 ([odd][madsen.])
I(23,26): 0.4637775421142578	 ([preacher,][night.])
I(13,50): 0.4636636972427368	 ([life][looks])
I(4,32): 0.46349406242370605	 ([madsen.][preacher])
I(26,32): 0.46049582958221436	 ([night.][preacher])
I(22,36): 0.46003395318984985	 ([name][word])
I(31,45): 0.45986342430114746	 ([problems.][life])
I(27,45): 0.45751500129699707	 ([goes][life])
I(30): -0.4567078948020935	 ([discusses])
I(45,50): -0.456312894821167	 ([life][looks])
I(49,53): -0.4538297653198242	 (["][certainly])
I(18,19): 0.44762086868286133	 ([grabs][phone])
I(40,47): -0.4472987651824951	 ([makes][fact])
I(10,15): -0.4467276930809021	 ([family][around])
I(3,4): 0.4465494155883789	 ([michael][madsen.])
I(33,36): 0.4464260935783386	 ([teaches][word])
I(46): 0.4451707601547241	 ([easy.])
I(20,30): 0.4447200894355774	 ([book,][discusses])
I(4,9): 0.44193971157073975	 ([madsen.][alcoholic])
I(13,14): -0.44043421745300293	 ([life][crumbling])
I(4,45): 0.44011521339416504	 ([madsen.][life])
I(33,46): 0.4401085376739502	 ([teaches][easy.])
I(9,13): 0.43926966190338135	 ([alcoholic][life])
I(13,26): 0.4346374273300171	 ([life][night.])
I(13,46): 0.4277958273887634	 ([life][easy.])
I(33,35): 0.42752277851104736	 ([teaches][respect])
I(31,33): -0.42729616165161133	 ([problems.][teaches])
I(3): -0.42700374126434326	 ([michael])
I(29,47): 0.42493802309036255	 ([home][fact])
I(46,56): -0.424898624420166	 ([easy.][10 "])
I(29,50): 0.4248523712158203	 ([home][looks])
I(22,35): 0.41530847549438477	 ([name][respect])
I(31,50): -0.4147440195083618	 ([problems.][looks])
I(45,56): 0.4126330614089966	 ([life][10 "])
I(23,24): 0.4123317003250122	 ([preacher,][calls])
I(40,43): 0.4118337631225586	 ([makes][ahh... if])
I(31,39): -0.41069841384887695	 ([problems.][heart.])
I(35,37): 0.40975362062454224	 ([respect][god])
I(0,47): -0.40928566455841064	 ([definitely][fact])
I(13,56): 0.40735840797424316	 ([life][10 "])
I(15,48): -0.406508207321167	 ([around][film])
I(42,49): -0.40598297119140625	 ([better.]["])
I(4,26): 0.4033459424972534	 ([madsen.][night.])
I(18,46): 0.40330231189727783	 ([grabs][easy.])
I(6,54): 0.4008939266204834	 ([plays][help.])
I(31,35): 0.3968942165374756	 ([problems.][respect])
I(4,13): 0.3961066007614136	 ([madsen.][life])
I(15,30): -0.3958283066749573	 ([around][discusses])
I(29,46): 0.39576399326324463	 ([home][easy.])
I(36,38): 0.39500337839126587	 ([word][jesus])
I(31,53): -0.3933368921279907	 ([problems.][certainly])
I(40,51): -0.39324283599853516	 ([makes][made])
I(30,33): 0.3925930857658386	 ([discusses][teaches])
I(24,36): 0.3917389512062073	 ([calls][word])
I(13,47): 0.38843441009521484	 ([life][fact])
I(13,30): 0.38809019327163696	 ([life][discusses])
I(27,47): 0.38741743564605713	 ([goes][fact])
I(46,49): -0.3873850107192993	 ([easy.]["])
I(14,33): 0.38697290420532227	 ([crumbling][teaches])
I(9,48): 0.38608503341674805	 ([alcoholic][film])
I(30,48): -0.385223925113678	 ([discusses][film])
I(33,51): -0.38107752799987793	 ([teaches][made])
I(27,32): 0.38059043884277344	 ([goes][preacher])
I(6,47): 0.37788546085357666	 ([plays][fact])
I(41,44): 0.377349853515625	 ([everything][everything])
I(24,35): 0.37632131576538086	 ([calls][respect])
I(4,23): 0.37553590536117554	 ([madsen.][preacher,])
I(51,54): 0.3745081424713135	 ([made][help.])
I(29,53): 0.3731851577758789	 ([home][certainly])
I(47,52): 0.37247467041015625	 ([fact][500])
I(15): 0.3716470003128052	 ([around])
I(24,47): 0.3713874816894531	 ([calls][fact])
I(42,43): 0.37038755416870117	 ([better.][ahh... if])
I(40,46): 0.36907780170440674	 ([makes][easy.])
I(29,33): 0.36810970306396484	 ([home][teaches])
I(41,47): 0.36771970987319946	 ([everything][fact])
I(39,53): 0.3671708106994629	 ([heart.][certainly])
I(20,54): 0.3657863140106201	 ([book,][help.])
I(30,32): 0.36220699548721313	 ([discusses][preacher])
I(29,35): 0.3621300458908081	 ([home][respect])
I(7,45): -0.3612363338470459	 ([cecil][life])
I(28,30): 0.3591689467430115	 ([preacher's][discusses])
I(19,48): 0.35895419120788574	 ([phone][film])
I(44,47): 0.3576582670211792	 ([everything][fact])
I(47,50): 0.35694313049316406	 ([fact][looks])
I(26,43): 0.3559166193008423	 ([night.][ahh... if])
I(39,41): -0.3545595407485962	 ([heart.][everything])
I(29,39): 0.35386115312576294	 ([home][heart.])
I(4,38): 0.3533898591995239	 ([madsen.][jesus])
I(35,39): 0.3520805835723877	 ([respect][heart.])
I(0,31): -0.34808242321014404	 ([definitely][problems.])
I(13,19): 0.3470708131790161	 ([life][phone])
I(32,43): 0.34572792053222656	 ([preacher][ahh... if])
I(24,53): -0.3452613353729248	 ([calls][certainly])
I(46,52): -0.3449052572250366	 ([easy.][500])
I(21,23): 0.34446418285369873	 ([looks][preacher,])
I(42,50): -0.34273624420166016	 ([better.][looks])
I(41,50): 0.3426706790924072	 ([everything][looks])
I(37,48): 0.34079843759536743	 ([god][film])
I(6,39): 0.34076589345932007	 ([plays][heart.])
I(18,24): -0.3406175374984741	 ([grabs][calls])
I(2,6): 0.3388932943344116	 ([debut][plays])
I(24,50): -0.3381497859954834	 ([calls][looks])
I(32,33): 0.3361504077911377	 ([preacher][teaches])
I(47,48): -0.33602476119995117	 ([fact][film])
I(24,45): 0.3344156742095947	 ([calls][life])
I(50,52): -0.33368945121765137	 ([looks][500])
I(27,33): 0.3302391767501831	 ([goes][teaches])
I(23,50): 0.33016836643218994	 ([preacher,][looks])
I(25,29): -0.32953739166259766	 ([middle][home])
I(41,51): -0.32848918437957764	 ([everything][made])
I(50,54): -0.3282895088195801	 ([looks][help.])
I(20,22): 0.3277750015258789	 ([book,][name])
I(36,54): 0.3266172409057617	 ([word][help.])
I(12,13): 0.3261575698852539	 ([whose][life])
I(42,54): -0.32608699798583984	 ([better.][help.])
I(2,24): 0.32552480697631836	 ([debut][calls])
I(21,46): 0.32510554790496826	 ([looks][easy.])
I(23,39): -0.3239137530326843	 ([preacher,][heart.])
I(14,20): 0.3233485221862793	 ([crumbling][book,])
I(33,39): 0.3226190209388733	 ([teaches][heart.])
I(7,48): 0.3222167491912842	 ([cecil][film])
I(21,35): 0.32018721103668213	 ([looks][respect])
I(44,48): 0.31862950325012207	 ([everything][film])
I(21,36): 0.317770779132843	 ([looks][word])
I(40,48): -0.31713271141052246	 ([makes][film])
I(36,51): -0.3170934319496155	 ([word][made])
I(6,13): 0.31698524951934814	 ([plays][life])
I(15,53): -0.3165595531463623	 ([around][certainly])
I(36,39): 0.3159436583518982	 ([word][heart.])
I(40,45): 0.31576991081237793	 ([makes][life])
I(14,53): -0.3123350143432617	 ([crumbling][certainly])
I(30,37): 0.3105478882789612	 ([discusses][god])
I(28,47): 0.3102912902832031	 ([preacher's][fact])
I(31,34): -0.30955642461776733	 ([problems.][cecil])
I(26,47): 0.3088873624801636	 ([night.][fact])
I(4,29): 0.305320143699646	 ([madsen.][home])
I(21,22): 0.30440235137939453	 ([looks][name])
I(32,50): 0.3042408227920532	 ([preacher][looks])
I(17,34): 0.30259644985198975	 ([cecil][cecil])
I(4,14): 0.30249476432800293	 ([madsen.][crumbling])
I(48,53): -0.302325963973999	 ([film][certainly])
I(37,50): 0.3000333905220032	 ([god][looks])
I(52,54): -0.2983977794647217	 ([500][help.])
I(26,38): 0.29786980152130127	 ([night.][jesus])
I(24,32): 0.2976759672164917	 ([calls][preacher])
I(4,50): -0.2962465286254883	 ([madsen.][looks])
I(19,24): 0.2952152490615845	 ([phone][calls])
I(24,33): 0.2945770025253296	 ([calls][teaches])
I(30,50): -0.29398947954177856	 ([discusses][looks])
I(35,45): 0.293867826461792	 ([respect][life])
I(4,8): 0.29377585649490356	 ([madsen.][moe,])
I(2,22): 0.29306483268737793	 ([debut][name])
I(45,54): -0.29251956939697266	 ([life][help.])
I(6,26): -0.29180967807769775	 ([plays][night.])
I(34,48): 0.29152369499206543	 ([cecil][film])
I(28,43): 0.29134416580200195	 ([preacher's][ahh... if])
I(24,54): -0.29119443893432617	 ([calls][help.])
I(13,37): 0.29084932804107666	 ([life][god])
I(22,30): 0.28956419229507446	 ([name][discusses])
I(41,43): 0.28794246912002563	 ([everything][ahh... if])
I(44,54): -0.28704285621643066	 ([everything][help.])
I(16,39): -0.28682833909988403	 ([him.][heart.])
I(2,20): -0.2867608070373535	 ([debut][book,])
I(33,55): 0.286446213722229	 ([teaches][1])
I(19,32): 0.2863503694534302	 ([phone][preacher])
I(38,39): 0.2851753830909729	 ([jesus][heart.])
I(16): -0.28464722633361816	 ([him.])
I(2,52): -0.28459906578063965	 ([debut][500])
I(37,51): -0.284110963344574	 ([god][made])
I(4,51): -0.28365659713745117	 ([madsen.][made])
I(13,39): 0.28347814083099365	 ([life][heart.])
I(32,48): -0.2832106351852417	 ([preacher][film])
I(1,6): -0.2821234464645386	 ([odd][plays])
I(24,44): 0.28080421686172485	 ([calls][everything])
I(56): 0.28033602237701416	 ([10 "])
I(0,20): -0.27977538108825684	 ([definitely][book,])
I(26,41): 0.2795233726501465	 ([night.][everything])
I(13,51): -0.27899885177612305	 ([life][made])
I(0,53): -0.27817320823669434	 ([definitely][certainly])
I(21,33): 0.2781374454498291	 ([looks][teaches])
I(43,53): 0.27808666229248047	 ([ahh... if][certainly])
I(20,46): 0.2776528596878052	 ([book,][easy.])
I(14,46): 0.2763570547103882	 ([crumbling][easy.])
I(20,24): 0.27607715129852295	 ([book,][calls])
I(34): -0.27361607551574707	 ([cecil])
I(22,48): 0.27360105514526367	 ([name][film])
I(14,40): 0.2735879421234131	 ([crumbling][makes])
I(17,43): 0.273342490196228	 ([cecil][ahh... if])
I(37,53): 0.2733120918273926	 ([god][certainly])
I(6,15): -0.27322864532470703	 ([plays][around])
I(10,47): 0.2720816135406494	 ([family][fact])
I(37,46): 0.27159053087234497	 ([god][easy.])
I(43,56): -0.2715853452682495	 ([ahh... if][10 "])
I(21,26): 0.2712045907974243	 ([looks][night.])
I(32,36): 0.27114540338516235	 ([preacher][word])
I(0,42): -0.27106785774230957	 ([definitely][better.])
I(21,47): 0.2701900005340576	 ([looks][fact])
I(43): 0.2683262825012207	 ([ahh... if])
I(39,49): -0.26771992444992065	 ([heart.]["])
I(32): -0.26765120029449463	 ([preacher])
I(14,27): -0.26764118671417236	 ([crumbling][goes])
I(12,15): -0.267444372177124	 ([whose][around])
I(6,28): -0.2671090364456177	 ([plays][preacher's])
I(26,44): 0.2669830322265625	 ([night.][everything])
I(19,29): 0.2653871774673462	 ([phone][home])
I(43,47): -0.2647247314453125	 ([ahh... if][fact])
I(24,48): 0.2641918659210205	 ([calls][film])
I(13,41): 0.2634873390197754	 ([life][everything])
I(14,26): 0.2630727291107178	 ([crumbling][night.])
I(2,5): -0.2627197504043579	 ([debut][madsen])
I(0,46): -0.2620347738265991	 ([definitely][easy.])
I(38,51): -0.2619812488555908	 ([jesus][made])
I(31,47): -0.26174962520599365	 ([problems.][fact])
I(3,54): 0.2612941265106201	 ([michael][help.])
I(20,48): 0.261120080947876	 ([book,][film])
I(21,43): 0.260953426361084	 ([looks][ahh... if])
I(14,47): 0.2607691287994385	 ([crumbling][fact])
I(18,22): -0.2595961093902588	 ([grabs][name])
I(22,32): 0.2593570947647095	 ([name][preacher])
I(37,38): 0.2589063048362732	 ([god][jesus])
I(28,36): 0.25887995958328247	 ([preacher's][word])
I(25): 0.25678420066833496	 ([middle])
I(27,28): 0.2534736394882202	 ([goes][preacher's])
I(22,23): 0.253473162651062	 ([name][preacher,])
I(18,26): 0.25286102294921875	 ([grabs][night.])
I(8,48): 0.2519218921661377	 ([moe,][film])
I(3,9): 0.25132858753204346	 ([michael][alcoholic])
I(15,46): -0.2509746551513672	 ([around][easy.])
I(3,53): 0.25090301036834717	 ([michael][certainly])
I(54,55): -0.24981069564819336	 ([help.][1])
I(10,50): 0.24772131443023682	 ([family][looks])
I(42,48): -0.24770307540893555	 ([better.][film])
I(26,35): 0.24725723266601562	 ([night.][respect])
I(48,56): -0.2459810972213745	 ([film][10 "])
I(20,33): 0.24354946613311768	 ([book,][teaches])
I(18,53): -0.2433607578277588	 ([grabs][certainly])
I(38,40): -0.24252378940582275	 ([jesus][makes])
I(0,33): -0.2423432469367981	 ([definitely][teaches])
I(28,50): 0.24231505393981934	 ([preacher's][looks])
I(30,51): -0.24215167760849	 ([discusses][made])
I(29,56): 0.24099230766296387	 ([home][10 "])
I(36,45): 0.24091386795043945	 ([word][life])
I(6,43): 0.24061715602874756	 ([plays][ahh... if])
I(6,12): 0.24042487144470215	 ([plays][whose])
I(26,37): 0.2397850751876831	 ([night.][god])
I(27,46): 0.23860371112823486	 ([goes][easy.])
I(20,50): 0.2381126880645752	 ([book,][looks])
I(32,39): -0.23793500661849976	 ([preacher][heart.])
I(13,32): 0.23790216445922852	 ([life][preacher])
I(31,48): 0.23737943172454834	 ([problems.][film])
I(39,51): -0.23675936460494995	 ([heart.][made])
I(35): -0.2362804412841797	 ([respect])
I(28,35): 0.2358112335205078	 ([preacher's][respect])
I(0,50): 0.2356550693511963	 ([definitely][looks])
I(15,24): -0.2354731559753418	 ([around][calls])
I(37,47): 0.23496979475021362	 ([god][fact])
I(0,4): -0.23456835746765137	 ([definitely][madsen.])
I(45,53): 0.23442292213439941	 ([life][certainly])
I(33,42): -0.2333940863609314	 ([teaches][better.])
I(2,19): -0.2331860065460205	 ([debut][phone])
I(2,16): 0.23181629180908203	 ([debut][him.])
I(18,39): 0.23080569505691528	 ([grabs][heart.])
I(42,56): -0.22992146015167236	 ([better.][10 "])
I(46,55): -0.229742169380188	 ([easy.][1])
I(4,7): 0.2294706106185913	 ([madsen.][cecil])
I(22): 0.22866177558898926	 ([name])
I(28,33): 0.22846758365631104	 ([preacher's][teaches])
I(36,47): 0.2280084490776062	 ([word][fact])
I(9,43): 0.22783517837524414	 ([alcoholic][ahh... if])
I(10,21): -0.227810800075531	 ([family][looks])
I(19,47): 0.22772467136383057	 ([phone][fact])
I(39,52): 0.22714966535568237	 ([heart.][500])
I(24,28): 0.22672796249389648	 ([calls][preacher's])
I(5,46): -0.22641849517822266	 ([madsen][easy.])
I(32,47): 0.22561728954315186	 ([preacher][fact])
I(22,39): 0.22403448820114136	 ([name][heart.])
I(3,5): 0.22359216213226318	 ([michael][madsen])
I(18,25): 0.22325539588928223	 ([grabs][middle])
I(19,36): 0.22298622131347656	 ([phone][word])
I(2,50): -0.2228105068206787	 ([debut][looks])
I(23,38): -0.22250235080718994	 ([preacher,][jesus])
I(11): -0.22201120853424072	 ([man])
I(2,26): -0.22150170803070068	 ([debut][night.])
I(18,33): 0.22111833095550537	 ([grabs][teaches])
I(24,30): 0.2209760546684265	 ([calls][discusses])
I(26,54): 0.2202146053314209	 ([night.][help.])
I(6,25): 0.22006237506866455	 ([plays][middle])
I(39,43): 0.2193719744682312	 ([heart.][ahh... if])
I(31,37): 0.2188623547554016	 ([problems.][god])
I(11,13): 0.21866261959075928	 ([man][life])
I(7): 0.21857905387878418	 ([cecil])
I(19,27): 0.2182459831237793	 ([phone][goes])
I(14,51): 0.21801137924194336	 ([crumbling][made])
I(21,32): 0.2178574800491333	 ([looks][preacher])
I(23,47): 0.2170811891555786	 ([preacher,][fact])
I(30,39): 0.2168952226638794	 ([discusses][heart.])
I(2,45): -0.21652841567993164	 ([debut][life])
I(19,33): 0.21603310108184814	 ([phone][teaches])
I(32,40): -0.2157273292541504	 ([preacher][makes])
I(21,31): -0.21555209159851074	 ([looks][problems.])
I(28,54): 0.21460413932800293	 ([preacher's][help.])
I(43,44): 0.2142844796180725	 ([ahh... if][everything])
I(9,26): 0.21407490968704224	 ([alcoholic][night.])
I(4,47): -0.21395564079284668	 ([madsen.][fact])
I(22,50): 0.2133023738861084	 ([name][looks])
I(10,45): 0.21290922164916992	 ([family][life])
I(0,29): 0.21289730072021484	 ([definitely][home])
I(1,41): 0.21271705627441406	 ([odd][everything])
I(1,2): -0.21266484260559082	 ([odd][debut])
I(2,9): 0.21225452423095703	 ([debut][alcoholic])
I(33,37): 0.21181601285934448	 ([teaches][god])
I(24,29): 0.21042972803115845	 ([calls][home])
I(43,46): 0.21035778522491455	 ([ahh... if][easy.])
I(13,38): 0.20991528034210205	 ([life][jesus])
I(7,17): -0.20980525016784668	 ([cecil][cecil])
I(35,47): 0.20967447757720947	 ([respect][fact])
I(1,33): 0.20947444438934326	 ([odd][teaches])
I(14,24): -0.20907104015350342	 ([crumbling][calls])
I(30,53): 0.20875829458236694	 ([discusses][certainly])
I(22,31): 0.20797455310821533	 ([name][problems.])
I(19,44): 0.2074548602104187	 ([phone][everything])
I(1,9): -0.2070140838623047	 ([odd][alcoholic])
I(26,42): 0.20685064792633057	 ([night.][better.])
I(16,53): -0.20666742324829102	 ([him.][certainly])
I(6,53): 0.2056729793548584	 ([plays][certainly])
I(14,48): -0.20534658432006836	 ([crumbling][film])
I(8,9): 0.20503616333007812	 ([moe,][alcoholic])
I(19): -0.20467257499694824	 ([phone])
I(14,45): -0.2043527364730835	 ([crumbling][life])
I(23,25): 0.2041722536087036	 ([preacher,][middle])
I(2,48): -0.20416760444641113	 ([debut][film])
I(33,41): 0.20353448390960693	 ([teaches][everything])
I(22,27): -0.20316088199615479	 ([name][goes])
I(23,32): 0.2028886079788208	 ([preacher,][preacher])
I(14,52): -0.20285534858703613	 ([crumbling][500])
I(15,31): 0.20118451118469238	 ([around][problems.])
I(7,26): -0.20093941688537598	 ([cecil][night.])
I(16,48): 0.20001983642578125	 ([him.][film])
I(33,56): 0.19997668266296387	 ([teaches][10 "])
I(26,51): -0.19987338781356812	 ([night.][made])
I(4,15): 0.19885766506195068	 ([madsen.][around])
I(23,54): 0.19821417331695557	 ([preacher,][help.])
I(18,45): -0.19725990295410156	 ([grabs][life])
I(4,42): 0.1950666904449463	 ([madsen.][better.])
I(26,48): 0.1949164867401123	 ([night.][film])
I(21,37): 0.19397979974746704	 ([looks][god])
I(38,47): 0.19363689422607422	 ([jesus][fact])
I(0,6): -0.19347774982452393	 ([definitely][plays])
I(4,46): -0.1930118203163147	 ([madsen.][easy.])
I(31,36): -0.19251388311386108	 ([problems.][word])
I(21,40): 0.19244253635406494	 ([looks][makes])
I(30,35): 0.19162100553512573	 ([discusses][respect])
I(15,47): -0.19126105308532715	 ([around][fact])
I(4,6): -0.19120407104492188	 ([madsen.][plays])
I(45,49): -0.19108080863952637	 ([life]["])
I(6,51): 0.19099843502044678	 ([plays][made])
I(50,51): 0.19070744514465332	 ([looks][made])
I(17): 0.19062840938568115	 ([cecil])
I(30,47): -0.1905394196510315	 ([discusses][fact])
I(24,41): 0.189927339553833	 ([calls][everything])
I(0,28): 0.18973112106323242	 ([definitely][preacher's])
I(22,42): -0.1896810531616211	 ([name][better.])
I(9,51): 0.18857526779174805	 ([alcoholic][made])
I(28,38): -0.18748140335083008	 ([preacher's][jesus])
I(13,27): 0.18705296516418457	 ([life][goes])
I(14,37): 0.18705034255981445	 ([crumbling][god])
I(6,40): 0.18655574321746826	 ([plays][makes])
I(15,34): 0.18648183345794678	 ([around][cecil])
I(0,9): 0.18583345413208008	 ([definitely][alcoholic])
I(35,46): 0.18551921844482422	 ([respect][easy.])
I(4,41): 0.18548929691314697	 ([madsen.][everything])
I(4,52): 0.18531012535095215	 ([madsen.][500])
I(30,44): 0.18502777814865112	 ([discusses][everything])
I(1,35): 0.1848217248916626	 ([odd][respect])
I(9,47): 0.18401670455932617	 ([alcoholic][fact])
I(37,42): 0.18310219049453735	 ([god][better.])
I(9,10): 0.18246448040008545	 ([alcoholic][family])
I(32,53): -0.18243110179901123	 ([preacher][certainly])
I(14,41): -0.18238914012908936	 ([crumbling][everything])
I(3,42): -0.18237674236297607	 ([michael][better.])
I(42,47): -0.18172430992126465	 ([better.][fact])
I(14,42): 0.1815640926361084	 ([crumbling][better.])
I(31,51): 0.18143999576568604	 ([problems.][made])
I(40): 0.18119549751281738	 ([makes])
I(22,29): 0.1811625361442566	 ([name][home])
I(1,44): 0.18092167377471924	 ([odd][everything])
I(16,31): 0.18020999431610107	 ([him.][problems.])
I(23,27): 0.1801990270614624	 ([preacher,][goes])
I(10,56): 0.18009614944458008	 ([family][10 "])
I(21,42): -0.17997479438781738	 ([looks][better.])
I(3,7): -0.17980796098709106	 ([michael][cecil])
I(1,51): -0.1796717643737793	 ([odd][made])
I(10,11): 0.17956960201263428	 ([family][man])
I(32,38): -0.17945992946624756	 ([preacher][jesus])
I(0,1): -0.17942214012145996	 ([definitely][odd])
I(18,47): 0.1787104606628418	 ([grabs][fact])
I(2,8): -0.17864751815795898	 ([debut][moe,])
I(38,50): 0.17821860313415527	 ([jesus][looks])
I(15,26): 0.1773669719696045	 ([around][night.])
I(23,30): 0.17732316255569458	 ([preacher,][discusses])
I(24,40): 0.17721819877624512	 ([calls][makes])
I(23,45): 0.1756434440612793	 ([preacher,][life])
I(35,48): 0.17535972595214844	 ([respect][film])
I(21,39): 0.17515617609024048	 ([looks][heart.])
I(9,31): -0.1751011610031128	 ([alcoholic][problems.])
I(15,35): 0.17508244514465332	 ([around][respect])
I(26,55): 0.17504942417144775	 ([night.][1])
I(18,51): 0.17496037483215332	 ([grabs][made])
I(7,32): -0.17492902278900146	 ([cecil][preacher])
I(1,50): -0.17467188835144043	 ([odd][looks])
I(40,52): 0.17441487312316895	 ([makes][500])
I(5,28): 0.1741880178451538	 ([madsen][preacher's])
I(48,54): 0.17403411865234375	 ([film][help.])
I(20,51): -0.1736903190612793	 ([book,][made])
I(33,43): 0.1734638810157776	 ([teaches][ahh... if])
I(11,12): -0.17301487922668457	 ([man][whose])
