---------- AND Interactions ----------
I(33,35): 3.944896936416626	 ([falls][soon.])
I(35,66): 1.0478127002716064	 ([soon.][killer])
I(59,61): 1.042694330215454	 ([steroid][superman])
I(35,63): -1.0424840450286865	 ([soon.][lois,])
I(21,50): -1.0299010276794434	 ([bad][funny])
I(13,65): -1.0192530155181885	 ([bad][" attack])
I(60,61): 0.9985959529876709	 ([cereal,][superman])
I(21,23): 0.9940106868743896	 ([bad][fiction])
I(32,36): -0.9908223152160645	 ([unfortunately,][never])
I(44,45): 0.9783265590667725	 ([think][funny,])
I(33,54): 0.9752594232559204	 ([falls][conversations,])
I(63): -0.9710497856140137	 ([lois,])
I(21,45): 0.9709770679473877	 ([bad][funny,])
I(21,40): -0.9668517112731934	 ([bad][seriously,])
I(32,45): 0.9585802555084229	 ([unfortunately,][funny,])
I(45,46): 0.9561765193939209	 ([funny,][right?])
I(24,35): -0.9524977207183838	 ([movies.][soon.])
I(60,63): 0.9523351192474365	 ([cereal,][lois,])
I(13,25): -0.9471094608306885	 ([bad][supposed])
I(18,65): 0.945049524307251	 ([comedy][" attack])
I(10,21): -0.9444065093994141	 ([expecting][bad])
I(13,16): 0.9388859272003174	 ([bad][movie])
I(35,65): 0.9291967153549194	 ([soon.][" attack])
I(3,32): -0.9238734245300293	 ([killer][unfortunately,])
I(35,43): 0.9144704341888428	 ([soon.][supposed])
I(49): -0.9092698097229004	 ([situations])
I(2,24): 0.9059069156646729	 ([attack][movies.])
I(61): -0.9021604061126709	 ([superman])
I(18,33): 0.8991937637329102	 ([comedy][falls])
I(32,50): -0.8947916030883789	 ([unfortunately,][funny])
I(32,54): 0.8927713632583618	 ([unfortunately,][conversations,])
I(57,66): -0.8912637233734131	 ([spy][killer])
I(0,2): 0.881912350654602	 ([title][attack])
I(13,50): -0.8811211585998535	 ([bad][funny])
I(24): 0.8724055290222168	 ([movies.])
I(33,66): -0.8702888488769531	 ([falls][killer])
I(62,63): 0.8670018911361694	 ([walking][lois,])
I(8): 0.8640449047088623	 ([thing])
I(3,35): 0.8466391563415527	 ([killer][soon.])
I(61,62): -0.8447353839874268	 ([superman][walking])
I(28,60): -0.8419032096862793	 ([dose][cereal,])
I(51,69): 0.8305842876434326	 ([( i. e,][strives])
I(12,13): -0.8295092582702637	 ([a )][bad])
I(21,61): 0.8284714221954346	 ([bad][superman])
I(13,40): -0.8265862464904785	 ([bad][seriously,])
I(45,63): -0.8261053562164307	 ([funny,][lois,])
I(24,39): -0.8181288242340088	 ([movies.][movie])
I(50,51): 0.8126199245452881	 ([funny][( i. e,])
I(15,16): 0.8066744804382324	 ([fiction][movie])
I(36,37): -0.8033652305603027	 ([never][supposed])
I(18,49): 0.8017816543579102	 ([comedy][situations])
I(2,3): -0.8017361164093018	 ([attack][killer])
I(13,58): -0.7955107688903809	 ([bad][eating])
I(39): 0.7939684391021729	 ([movie])
I(61,63): -0.7923905849456787	 ([superman][lois,])
I(3,63): 0.7829113006591797	 ([killer][lois,])
I(14,16): 0.7827465534210205	 ([science][movie])
I(24,45): -0.7818344831466675	 ([movies.][funny,])
I(13,63): 0.7817502021789551	 ([bad][lois,])
I(35,58): 0.7757525444030762	 ([soon.][eating])
I(38,43): 0.7620353698730469	 ([take][supposed])
I(18,20): -0.7616384029388428	 ([comedy][fun])
I(60,65): 0.7600545883178711	 ([cereal,][" attack])
I(3,33): -0.754082202911377	 ([killer][falls])
I(20,29): -0.7526741027832031	 ([fun][parody])
I(26): 0.7516849040985107	 ([mix])
I(2,54): 0.7493604421615601	 ([attack][conversations,])
I(48,59): 0.7492330074310303	 ([jokes][steroid])
I(45,51): 0.7485414743423462	 ([funny,][( i. e,])
I(24,29): -0.7484002113342285	 ([movies.][parody])
I(21,58): -0.7359809875488281	 ([bad][eating])
I(65,66): -0.7312428951263428	 ([" attack][killer])
I(68,69): 0.7297539710998535	 (["][strives])
I(10,32): -0.7271261215209961	 ([expecting][unfortunately,])
I(45,62): -0.725926399230957	 ([funny,][walking])
I(40,45): -0.7245116233825684	 ([seriously,][funny,])
I(60,69): 0.7232844829559326	 ([cereal,][strives])
I(3,57): -0.7198264598846436	 ([killer][spy])
I(33,63): 0.7130703926086426	 ([falls][lois,])
I(29,40): -0.7124505043029785	 ([parody][seriously,])
I(16,24): -0.7113282680511475	 ([movie][movies.])
I(38): 0.7094190120697021	 ([take])
I(13,14): 0.7064099311828613	 ([bad][science])
I(61,67): 0.7059800624847412	 ([superman][tomatoes])
I(32,44): -0.7029585838317871	 ([unfortunately,][think])
I(18,19): 0.701047420501709	 ([comedy][making])
I(25,37): -0.7002756595611572	 ([supposed][supposed])
I(35,38): 0.6997523307800293	 ([soon.][take])
I(25,43): -0.6980018615722656	 ([supposed][supposed])
I(18,45): -0.6973628997802734	 ([comedy][funny,])
I(32,63): 0.696052074432373	 ([unfortunately,][lois,])
I(48,50): 0.6943786144256592	 ([jokes][funny])
I(21,28): -0.6940343379974365	 ([bad][dose])
I(54,58): 0.6895004510879517	 ([conversations,][eating])
I(19,20): 0.6888234615325928	 ([making][fun])
I(8,35): 0.6859233379364014	 ([thing][soon.])
I(59,63): 0.6828429698944092	 ([steroid][lois,])
I(2,63): 0.6810181140899658	 ([attack][lois,])
I(3,29): -0.6733875274658203	 ([killer][parody])
I(29,66): -0.6697587966918945	 ([parody][killer])
I(38,40): -0.6627042293548584	 ([take][seriously,])
I(32,37): -0.6579203605651855	 ([unfortunately,][supposed])
I(33,61): 0.6560862064361572	 ([falls][superman])
I(48,54): 0.6512682437896729	 ([jokes][conversations,])
I(54,65): 0.6477946043014526	 ([conversations,][" attack])
I(13,61): 0.647728681564331	 ([bad][superman])
I(3,60): -0.6447582244873047	 ([killer][cereal,])
I(37): 0.6441488265991211	 ([supposed])
I(0): -0.6435750722885132	 ([title])
I(29,48): -0.6432280540466309	 ([parody][jokes])
I(6,10): -0.6387937068939209	 ([anyone][expecting])
I(4,61): 0.6369955539703369	 ([tomatoes!][superman])
I(64,65): 0.6349955797195435	 ([etc. ).][" attack])
I(24,40): -0.6222333908081055	 ([movies.][seriously,])
I(57,59): 0.6189796924591064	 ([spy][steroid])
I(18,43): 0.6183046102523804	 ([comedy][supposed])
I(29,45): -0.6166075468063354	 ([parody][funny,])
I(2,66): -0.608323335647583	 ([attack][killer])
I(9,35): 0.6074397563934326	 ([would][soon.])
I(54,56): 0.6034725904464722	 ([conversations,][olympic])
I(48,61): 0.5990748405456543	 ([jokes][superman])
I(58,61): 0.5972621440887451	 ([eating][superman])
I(27,32): 0.5955414772033691	 ([both,][unfortunately,])
I(3,65): -0.5944898128509521	 ([killer][" attack])
I(29,54): 0.5931596755981445	 ([parody][conversations,])
I(58,63): 0.5912332534790039	 ([eating][lois,])
I(0,10): -0.5910021066665649	 ([title][expecting])
I(54,69): -0.5905922651290894	 ([conversations,][strives])
I(46): -0.5901193618774414	 ([right?])
I(34,69): 0.5867729187011719	 ([flat][strives])
I(29,50): -0.5859370231628418	 ([parody][funny])
I(28,45): -0.5845291614532471	 ([dose][funny,])
I(50,66): -0.5831475257873535	 ([funny][killer])
I(24,65): 0.5827076435089111	 ([movies.][" attack])
I(10,35): 0.5826085805892944	 ([expecting][soon.])
I(20,40): -0.5729885101318359	 ([fun][seriously,])
I(53,61): 0.5727832317352295	 ([phone][superman])
I(24,26): -0.5700695514678955	 ([movies.][mix])
I(21,38): -0.5683469772338867	 ([bad][take])
I(56,63): 0.5674300193786621	 ([olympic][lois,])
I(8,21): -0.5668869018554688	 ([thing][bad])
I(25,66): -0.5623495578765869	 ([supposed][killer])
I(65,67): 0.5621774196624756	 ([" attack][tomatoes])
I(58): 0.5611824989318848	 ([eating])
I(48,53): 0.5595862865447998	 ([jokes][phone])
I(18,22): 0.558779239654541	 ([comedy][science])
I(48,49): 0.5582106113433838	 ([jokes][situations])
I(13,36): -0.558133602142334	 ([bad][never])
I(21,36): -0.5552377700805664	 ([bad][never])
I(51,54): 0.5550175905227661	 ([( i. e,][conversations,])
I(22,65): 0.554485559463501	 ([science][" attack])
I(4,63): 0.5536131858825684	 ([tomatoes!][lois,])
I(55,61): 0.5533729791641235	 ([russian][superman])
I(39,40): -0.5518238544464111	 ([movie][seriously,])
I(20,28): -0.5499114990234375	 ([fun][dose])
I(63,67): 0.5497097969055176	 ([lois,][tomatoes])
I(33,41): 0.549283504486084	 ([falls][realize])
I(13,57): -0.5453970432281494	 ([bad][spy])
I(25,35): 0.5452539920806885	 ([supposed][soon.])
I(56,59): 0.5452330112457275	 ([olympic][steroid])
I(32,65): -0.5435879230499268	 ([unfortunately,][" attack])
I(8,33): -0.5431506633758545	 ([thing][falls])
I(28,61): 0.5426216125488281	 ([dose][superman])
I(13,24): 0.5416426658630371	 ([bad][movies.])
I(63,69): 0.5408490896224976	 ([lois,][strives])
I(26,45): -0.5406577587127686	 ([mix][funny,])
I(18,59): 0.5399004220962524	 ([comedy][steroid])
I(10,12): -0.5383338928222656	 ([expecting][a )])
I(36): 0.5346355438232422	 ([never])
I(33,65): -0.5338246822357178	 ([falls][" attack])
I(21,57): -0.5337564945220947	 ([bad][spy])
I(45,50): -0.5314440727233887	 ([funny,][funny])
I(13,28): -0.5303852558135986	 ([bad][dose])
I(28,32): -0.5296857357025146	 ([dose][unfortunately,])
I(49,59): 0.5258612632751465	 ([situations][steroid])
I(2,18): 0.5251479148864746	 ([attack][comedy])
I(10,63): 0.5247659683227539	 ([expecting][lois,])
I(21,37): -0.5176510810852051	 ([bad][supposed])
I(56): -0.5175096988677979	 ([olympic])
I(60,66): -0.517289400100708	 ([cereal,][killer])
I(21,64): 0.5159826278686523	 ([bad][etc. ).])
I(21,39): -0.5156741142272949	 ([bad][movie])
I(69): -0.5134410858154297	 ([strives])
I(33,44): -0.5133709907531738	 ([falls][think])
I(5): -0.5123965740203857	 ([",])
I(33,50): -0.5115342140197754	 ([falls][funny])
I(13,38): -0.5110623836517334	 ([bad][take])
I(2,33): -0.5097353458404541	 ([attack][falls])
I(47,62): 0.5093355178833008	 ([found][walking])
I(32,61): 0.5040810108184814	 ([unfortunately,][superman])
I(6,63): 0.5031503438949585	 ([anyone][lois,])
I(33,40): -0.5018143653869629	 ([falls][seriously,])
I(24,60): -0.5015647411346436	 ([movies.][cereal,])
I(48,60): 0.5009109973907471	 ([jokes][cereal,])
I(13,37): -0.5008096694946289	 ([bad][supposed])
I(23,29): -0.5004284381866455	 ([fiction][parody])
I(52,60): 0.500098466873169	 ([side - by - side][cereal,])
I(35,60): -0.4987502098083496	 ([soon.][cereal,])
I(3,54): 0.498313307762146	 ([killer][conversations,])
I(13,22): 0.4939126968383789	 ([bad][science])
I(45,57): -0.49384117126464844	 ([funny,][spy])
I(11,13): -0.49306797981262207	 ([either][bad])
I(62,69): -0.49182748794555664	 ([walking][strives])
I(25,29): -0.491563081741333	 ([supposed][parody])
I(62): -0.4906916618347168	 ([walking])
I(54,57): 0.48984265327453613	 ([conversations,][spy])
I(29,60): -0.48720836639404297	 ([parody][cereal,])
I(32,34): -0.4871058464050293	 ([unfortunately,][flat])
I(43,69): 0.48375511169433594	 ([supposed][strives])
I(67,69): 0.4835629463195801	 ([tomatoes][strives])
I(52,69): -0.48354387283325195	 ([side - by - side][strives])
I(8,13): -0.4824488162994385	 ([thing][bad])
I(19,35): 0.48236608505249023	 ([making][soon.])
I(13,62): 0.48223876953125	 ([bad][walking])
I(18,38): 0.4803047180175781	 ([comedy][take])
I(9,18): 0.47974884510040283	 ([would][comedy])
I(21,49): 0.4785947799682617	 ([bad][situations])
I(4,20): -0.47829627990722656	 ([tomatoes!][fun])
I(35,36): -0.4775352478027344	 ([soon.][never])
I(33,56): 0.47730183601379395	 ([falls][olympic])
I(3,50): -0.4766044616699219	 ([killer][funny])
I(33,48): 0.4765791893005371	 ([falls][jokes])
I(2,29): -0.476215124130249	 ([attack][parody])
I(14,69): -0.47475099563598633	 ([science][strives])
I(10,33): -0.47138452529907227	 ([expecting][falls])
I(8,63): 0.47064733505249023	 ([thing][lois,])
I(4,29): -0.47008323669433594	 ([tomatoes!][parody])
I(8,60): 0.46988725662231445	 ([thing][cereal,])
I(7,35): 0.46954309940338135	 ([going][soon.])
I(35,49): 0.4694185256958008	 ([soon.][situations])
I(29,65): -0.4691760540008545	 ([parody][" attack])
I(24,53): -0.46861743927001953	 ([movies.][phone])
I(44): 0.46835756301879883	 ([think])
I(26,28): -0.4640042781829834	 ([mix][dose])
I(18,39): -0.46396660804748535	 ([comedy][movie])
I(24,66): -0.462186336517334	 ([movies.][killer])
I(40,48): -0.4615046977996826	 ([seriously,][jokes])
I(27,35): 0.46059751510620117	 ([both,][soon.])
I(48,56): 0.4596431255340576	 ([jokes][olympic])
I(35,37): 0.45920228958129883	 ([soon.][supposed])
I(23,24): 0.45853328704833984	 ([fiction][movies.])
I(27): -0.4572010040283203	 ([both,])
I(56,60): 0.45697689056396484	 ([olympic][cereal,])
I(58,67): -0.454866886138916	 ([eating][tomatoes])
I(21,62): 0.4546041488647461	 ([bad][walking])
I(24,28): -0.4512298107147217	 ([movies.][dose])
I(40,44): -0.45078086853027344	 ([seriously,][think])
I(40,50): -0.44905948638916016	 ([seriously,][funny])
I(28,29): -0.44879651069641113	 ([dose][parody])
I(4,58): -0.4477519989013672	 ([tomatoes!][eating])
I(2,32): -0.4463183879852295	 ([attack][unfortunately,])
I(48,65): 0.4452779293060303	 ([jokes][" attack])
I(63,66): 0.44095897674560547	 ([lois,][killer])
I(6,35): 0.4370865821838379	 ([anyone][soon.])
I(38,60): 0.4351310729980469	 ([take][cereal,])
I(47,69): 0.43506455421447754	 ([found][strives])
I(57,58): 0.43436121940612793	 ([spy][eating])
I(35,42): 0.43291401863098145	 ([soon.][that,])
I(54,64): 0.4303264617919922	 ([conversations,][etc. ).])
I(34): -0.4300919771194458	 ([flat])
I(18,35): -0.42961645126342773	 ([comedy][soon.])
I(18,23): 0.4291698932647705	 ([comedy][fiction])
I(54,67): 0.42619526386260986	 ([conversations,][tomatoes])
I(2,55): 0.42560458183288574	 ([attack][russian])
I(8,14): -0.42496299743652344	 ([thing][science])
I(62,65): 0.42464160919189453	 ([walking][" attack])
I(20,22): -0.423703670501709	 ([fun][science])
I(63,65): 0.4234449863433838	 ([lois,][" attack])
I(35,46): 0.4222090244293213	 ([soon.][right?])
I(59,60): -0.42200517654418945	 ([steroid][cereal,])
I(28,52): 0.4219803810119629	 ([dose][side - by - side])
I(3,25): -0.4213850498199463	 ([killer][supposed])
I(25,40): -0.42096400260925293	 ([supposed][seriously,])
I(26,27): -0.4203159809112549	 ([mix][both,])
I(36,66): -0.41939449310302734	 ([never][killer])
I(14,65): 0.41714978218078613	 ([science][" attack])
I(36,43): -0.4156947135925293	 ([never][supposed])
I(54,66): 0.4150325059890747	 ([conversations,][killer])
I(55,59): 0.41351890563964844	 ([russian][steroid])
I(14,20): -0.4129621982574463	 ([science][fun])
I(28,40): -0.4123094081878662	 ([dose][seriously,])
I(31,33): -0.4121108055114746	 ([in.][falls])
I(23,65): 0.41181254386901855	 ([fiction][" attack])
I(53,69): 0.4116804599761963	 ([phone][strives])
I(10,66): -0.4102940559387207	 ([expecting][killer])
I(29,58): -0.40737009048461914	 ([parody][eating])
I(32,38): -0.40669941902160645	 ([unfortunately,][take])
I(45,58): -0.4063832759857178	 ([funny,][eating])
I(47,63): -0.4048898220062256	 ([found][lois,])
I(21,44): -0.4046597480773926	 ([bad][think])
I(24,46): -0.40438294410705566	 ([movies.][right?])
I(1): -0.4037363529205322	 ([like])
I(67): 0.4035649299621582	 ([tomatoes])
I(8,20): -0.4030287265777588	 ([thing][fun])
I(40,69): -0.4024324417114258	 ([seriously,][strives])
I(20,60): -0.40119922161102295	 ([fun][cereal,])
I(19,21): -0.40017223358154297	 ([making][bad])
I(22,66): 0.40007972717285156	 ([science][killer])
I(13,17): -0.3999443054199219	 ([bad][b )])
I(17,18): 0.39931225776672363	 ([b )][comedy])
I(40,42): -0.3981466293334961	 ([seriously,][that,])
I(45,69): 0.39654541015625	 ([funny,][strives])
I(8,69): -0.3964197635650635	 ([thing][strives])
I(25,50): -0.39354491233825684	 ([supposed][funny])
I(8,22): -0.3930366039276123	 ([thing][science])
I(10,20): -0.3929295539855957	 ([expecting][fun])
I(62,64): 0.3919391632080078	 ([walking][etc. ).])
I(5,32): 0.3906118869781494	 ([",][unfortunately,])
I(10,29): -0.3904228210449219	 ([expecting][parody])
I(2,50): -0.3889486789703369	 ([attack][funny])
I(57): 0.3889181613922119	 ([spy])
I(55,58): 0.3884429931640625	 ([russian][eating])
I(20,66): -0.38785719871520996	 ([fun][killer])
I(4,69): 0.38756346702575684	 ([tomatoes!][strives])
I(18,29): -0.3873910903930664	 ([comedy][parody])
I(36,42): -0.3871955871582031	 ([never][that,])
I(22,24): -0.3871636390686035	 ([science][movies.])
I(32,43): -0.387054443359375	 ([unfortunately,][supposed])
I(25,33): -0.3861353397369385	 ([supposed][falls])
I(49,60): 0.38518762588500977	 ([situations][cereal,])
I(35,52): 0.38358306884765625	 ([soon.][side - by - side])
I(10,65): -0.38317084312438965	 ([expecting][" attack])
I(4,7): 0.3826749324798584	 ([tomatoes!][going])
I(26,35): -0.378185510635376	 ([mix][soon.])
I(9,45): 0.3780686855316162	 ([would][funny,])
I(23,59): 0.3769266605377197	 ([fiction][steroid])
I(3,10): -0.3765683174133301	 ([killer][expecting])
I(15,29): -0.37625765800476074	 ([fiction][parody])
I(20,21): -0.3749382495880127	 ([fun][bad])
I(34,54): 0.3741121292114258	 ([flat][conversations,])
I(35,54): -0.3731485605239868	 ([soon.][conversations,])
I(3,22): 0.3726482391357422	 ([killer][science])
I(6,13): -0.37248897552490234	 ([anyone][bad])
I(18,26): -0.3713339567184448	 ([comedy][mix])
I(21,69): 0.37125301361083984	 ([bad][strives])
I(6,45): 0.37116873264312744	 ([anyone][funny,])
I(38,46): -0.3711646795272827	 ([take][right?])
I(25,32): -0.370941162109375	 ([supposed][unfortunately,])
I(21,27): 0.37078380584716797	 ([bad][both,])
I(0,5): 0.369238018989563	 ([title][",])
I(37,66): -0.36913394927978516	 ([supposed][killer])
I(53,65): 0.3690621852874756	 ([phone][" attack])
I(32,39): -0.3689906597137451	 ([unfortunately,][movie])
I(28,58): -0.3687598705291748	 ([dose][eating])
I(35,69): 0.3686387538909912	 ([soon.][strives])
I(59,62): 0.3682866096496582	 ([steroid][walking])
I(8,28): 0.3676185607910156	 ([thing][dose])
I(35,39): -0.3659040927886963	 ([soon.][movie])
I(20,26): -0.3657388687133789	 ([fun][mix])
I(28,50): -0.36559367179870605	 ([dose][funny])
I(15,65): 0.36548900604248047	 ([fiction][" attack])
I(16): 0.3651397228240967	 ([movie])
I(33,58): -0.3649406433105469	 ([falls][eating])
I(56,61): 0.36436593532562256	 ([olympic][superman])
I(41): -0.3627786636352539	 ([realize])
I(23,26): -0.3621256351470947	 ([fiction][mix])
I(32,56): 0.360278844833374	 ([unfortunately,][olympic])
I(41,60): 0.35915207862854004	 ([realize][cereal,])
I(25,28): -0.3586001396179199	 ([supposed][dose])
I(48,69): 0.35859787464141846	 ([jokes][strives])
I(5,8): -0.3564915657043457	 ([",][thing])
I(44,60): 0.3558835983276367	 ([think][cereal,])
I(25,54): 0.3549076318740845	 ([supposed][conversations,])
I(54,61): 0.3548266887664795	 ([conversations,][superman])
I(28,67): -0.3547656536102295	 ([dose][tomatoes])
I(4): 0.3546929359436035	 ([tomatoes!])
I(49,53): 0.3535102605819702	 ([situations][phone])
I(20,50): -0.35346150398254395	 ([fun][funny])
I(31,35): -0.3528110980987549	 ([in.][soon.])
I(33,34): -0.3523268699645996	 ([falls][flat])
I(3,5): 0.3521077632904053	 ([killer][",])
I(23,40): -0.35184621810913086	 ([fiction][seriously,])
I(13,44): -0.3515968322753906	 ([bad][think])
I(19,22): -0.3512439727783203	 ([making][science])
I(29,39): -0.35089612007141113	 ([parody][movie])
I(13,43): -0.3507390022277832	 ([bad][supposed])
I(43,45): 0.35052061080932617	 ([supposed][funny,])
I(42,45): 0.3501770496368408	 ([that,][funny,])
I(13,23): 0.3497960567474365	 ([bad][fiction])
I(36,50): -0.3495151996612549	 ([never][funny])
I(4,60): -0.34932971000671387	 ([tomatoes!][cereal,])
I(18,57): 0.348152756690979	 ([comedy][spy])
I(24,33): -0.3470444679260254	 ([movies.][falls])
I(45,65): 0.3447422981262207	 ([funny,][" attack])
I(49,54): 0.3442380428314209	 ([situations][conversations,])
I(18,53): 0.34377527236938477	 ([comedy][phone])
I(3,67): -0.3424081802368164	 ([killer][tomatoes])
I(29,67): -0.34141016006469727	 ([parody][tomatoes])
I(32,57): -0.3413074016571045	 ([unfortunately,][spy])
I(21,51): 0.3406350612640381	 ([bad][( i. e,])
I(24,67): -0.3405628204345703	 ([movies.][tomatoes])
I(10,50): -0.3392214775085449	 ([expecting][funny])
I(6,61): 0.3382718563079834	 ([anyone][superman])
I(34,48): 0.33800268173217773	 ([flat][jokes])
I(3,51): 0.3372008800506592	 ([killer][( i. e,])
I(4,28): -0.336733341217041	 ([tomatoes!][dose])
I(50,52): 0.3363077640533447	 ([funny][side - by - side])
I(32,41): 0.3349881172180176	 ([unfortunately,][realize])
I(3,61): 0.33496975898742676	 ([killer][superman])
I(57,69): 0.3348672389984131	 ([spy][strives])
I(8,24): -0.33457112312316895	 ([thing][movies.])
I(39,51): 0.333939790725708	 ([movie][( i. e,])
I(34,46): 0.33291876316070557	 ([flat][right?])
I(45,47): 0.3327462673187256	 ([funny,][found])
I(5,21): 0.3311903476715088	 ([",][bad])
I(51,60): 0.3311460018157959	 ([( i. e,][cereal,])
I(49,63): 0.33058667182922363	 ([situations][lois,])
I(49,61): 0.33031225204467773	 ([situations][superman])
I(53,63): 0.3289238214492798	 ([phone][lois,])
I(18,61): 0.3288177251815796	 ([comedy][superman])
I(18,25): 0.3286478519439697	 ([comedy][supposed])
I(35,62): -0.3272368907928467	 ([soon.][walking])
I(22,33): 0.32619142532348633	 ([science][falls])
I(23,35): -0.3252735137939453	 ([fiction][soon.])
I(24,47): -0.32489466667175293	 ([movies.][found])
I(3,36): -0.3239021301269531	 ([killer][never])
I(20,67): -0.32381224632263184	 ([fun][tomatoes])
I(0,40): -0.32360708713531494	 ([title][seriously,])
I(15,23): 0.31966471672058105	 ([fiction][fiction])
I(3,58): -0.3182497024536133	 ([killer][eating])
I(64): -0.317541241645813	 ([etc. ).])
I(34,38): -0.3173114061355591	 ([flat][take])
I(52,63): -0.3171825408935547	 ([side - by - side][lois,])
I(40,60): -0.31702542304992676	 ([seriously,][cereal,])
I(43,60): 0.3166351318359375	 ([supposed][cereal,])
I(28,63): 0.31606245040893555	 ([dose][lois,])
I(50,57): -0.31550145149230957	 ([funny][spy])
I(40,41): -0.3147711753845215	 ([seriously,][realize])
I(36,40): -0.3144211769104004	 ([never][seriously,])
I(47,58): 0.3131134510040283	 ([found][eating])
I(57,65): -0.3131103515625	 ([spy][" attack])
I(20,55): 0.31269383430480957	 ([fun][russian])
I(22,48): 0.3125734329223633	 ([science][jokes])
I(53,56): 0.3123180866241455	 ([phone][olympic])
I(6,7): -0.3120558261871338	 ([anyone][going])
I(8,32): -0.3110482692718506	 ([thing][unfortunately,])
I(32,62): 0.3081474304199219	 ([unfortunately,][walking])
I(1,69): 0.3075568675994873	 ([like][strives])
I(18,60): 0.30744612216949463	 ([comedy][cereal,])
I(14,61): 0.30709517002105713	 ([science][superman])
I(3,8): -0.306964635848999	 ([killer][thing])
I(2,57): -0.3059971332550049	 ([attack][spy])
I(50,54): 0.30593574047088623	 ([funny][conversations,])
I(48,51): 0.30573344230651855	 ([jokes][( i. e,])
I(20,64): -0.30556249618530273	 ([fun][etc. ).])
I(25,46): -0.30551981925964355	 ([supposed][right?])
I(25,45): -0.30534958839416504	 ([supposed][funny,])
I(38,63): 0.30533409118652344	 ([take][lois,])
I(10,52): -0.3046541213989258	 ([expecting][side - by - side])
I(38,39): 0.30462217330932617	 ([take][movie])
I(10,25): -0.30252623558044434	 ([expecting][supposed])
I(10,34): -0.3022812604904175	 ([expecting][flat])
I(50,61): 0.30202603340148926	 ([funny][superman])
I(24,50): -0.30127716064453125	 ([movies.][funny])
I(7,18): 0.3007018566131592	 ([going][comedy])
I(29,57): -0.29975199699401855	 ([parody][spy])
