---------- Players ----------
Player 0: new
Player 1: batch
Player 2: phone
Player 3: numbers
Player 4: assigned
Player 5: britain
Player 6: accommodate
Player 7: emerging
Player 8: market
Player 9: cheap
Player 10: phone
Player 11: calls
Player 12: internet,
Player 13: uk
Player 14: # 39 ; s
Player 15: media
Player 16: telecoms
Player 17: regulator
Player 18: said
Player 19: monday.
---------- Rewards ----------
v(): 3.7442750930786133	 ([])
v(8 9): -4.337214469909668, EP: 0.6755080223083496	 ([market][cheap])
v(4 9): -4.3362932205200195, EP: 0.6753645539283752	 ([assigned][cheap])
v(6 19): -4.293704032897949, EP: 0.6687313914299011	 ([accommodate][monday.])
v(14 19): -4.265298843383789, EP: 0.6643074154853821	 ([# 39 ; s][monday.])
v(1 19): -4.158047676086426, EP: 0.6476033329963684	 ([batch][monday.])
v(8 18): -4.038809299468994, EP: 0.6290323138237	 ([market][said])
v(0 8): -3.9815046787261963, EP: 0.6201072931289673	 ([new][market])
v(0 19): -3.937852382659912, EP: 0.6133086085319519	 ([new][monday.])
v(5 17): -3.907437801361084, EP: 0.6085715889930725	 ([britain][regulator])
v(1 9): -3.9003210067749023, EP: 0.6074631810188293	 ([batch][cheap])
v(13 16): -3.8989322185516357, EP: 0.6072468757629395	 ([uk][telecoms])
v(5 19): -3.8744966983795166, EP: 0.6034411191940308	 ([britain][monday.])
v(12 13): 3.8580031394958496, EP: -0.6008723378181458	 ([internet,][uk])
v(8 15): -3.823075771331787, EP: 0.595432460308075	 ([market][media])
v(8 14): -3.8204660415649414, EP: 0.5950260162353516	 ([market][# 39 ; s])
v(4 12): 3.811307907104492, EP: -0.5935996770858765	 ([assigned][internet,])
v(3 12): 3.736009120941162, EP: -0.5818721055984497	 ([numbers][internet,])
v(6 8): -3.6658427715301514, EP: 0.5709438920021057	 ([accommodate][market])
v(2 12): 3.6172995567321777, EP: -0.5633834600448608	 ([phone][internet,])
v(10 12): 3.6111950874328613, EP: -0.5624327063560486	 ([phone][internet,])
v(13 18): -3.544339895248413, EP: 0.5520201921463013	 ([uk][said])
v(1 12): 3.523221492767334, EP: -0.5487310886383057	 ([batch][internet,])
v(11 17): -3.487715005874634, EP: 0.5432010293006897	 ([calls][regulator])
v(6 12): 3.4793787002563477, EP: -0.5419027209281921	 ([accommodate][internet,])
v(12): 3.470644950866699, EP: -0.5405424237251282	 ([internet,])
v(0 12): 3.4408578872680664, EP: -0.5359032154083252	 ([new][internet,])
v(9 10): 3.3645925521850586, EP: -0.5240250825881958	 ([cheap][phone])
v(12 14): 3.3096227645874023, EP: -0.5154637098312378	 ([internet,][# 39 ; s])
v(1 2): 3.280825138092041, EP: -0.5109785795211792	 ([batch][phone])
v(12 18): 3.1538939476013184, EP: -0.4912094473838806	 ([internet,][said])
v(9 12): 3.102125644683838, EP: -0.48314666748046875	 ([cheap][internet,])
v(7 12): 3.0097455978393555, EP: -0.468758761882782	 ([emerging][internet,])
v(15 16): -2.9970638751983643, EP: 0.46678364276885986	 ([media][telecoms])
v(8 12): 2.8905601501464844, EP: -0.4501959979534149	 ([market][internet,])
v(3 19): -2.8882288932800293, EP: 0.4498329162597656	 ([numbers][monday.])
v(3 10): 2.81674861907959, EP: -0.4387000799179077	 ([numbers][phone])
v(11 19): -2.781614303588867, EP: 0.4332280158996582	 ([calls][monday.])
v(5 8): -2.7713141441345215, EP: 0.43162378668785095	 ([britain][market])
v(12 19): 2.766486167907715, EP: -0.430871844291687	 ([internet,][monday.])
v(5 10): 2.763975143432617, EP: -0.4304807782173157	 ([britain][phone])
v(13 15): -2.7522685527801514, EP: 0.42865750193595886	 ([uk][media])
v(1 10): 2.681236743927002, EP: -0.4175945222377777	 ([batch][phone])
v(15 18): -2.6657280921936035, EP: 0.4151790738105774	 ([media][said])
v(4 8): -2.6500754356384277, EP: 0.41274121403694153	 ([assigned][market])
v(4 10): 2.6370534896850586, EP: -0.4107131063938141	 ([assigned][phone])
v(12 16): 2.6267828941345215, EP: -0.40911349654197693	 ([internet,][telecoms])
v(2 10): 2.573024272918701, EP: -0.40074074268341064	 ([phone][phone])
v(6 10): 2.5487723350524902, EP: -0.39696356654167175	 ([accommodate][phone])
v(8 10): 2.548104763031006, EP: -0.39685961604118347	 ([market][phone])
v(12 15): 2.5366721153259277, EP: -0.39507901668548584	 ([internet,][media])
v(16 18): -2.5174951553344727, EP: 0.3920922577381134	 ([telecoms][said])
v(4 17): -2.5139150619506836, EP: 0.3915346562862396	 ([assigned][regulator])
v(10): 2.462930679321289, EP: -0.38359400629997253	 ([phone])
v(7 10): 2.455061435699463, EP: -0.38236838579177856	 ([emerging][phone])
v(0 10): 2.450545310974121, EP: -0.38166502118110657	 ([new][phone])
v(2 16): 2.3388352394104004, EP: -0.3642665147781372	 ([phone][telecoms])
v(14 18): -2.283597469329834, EP: 0.35566338896751404	 ([# 39 ; s][said])
v(7 15): -2.279345989227295, EP: 0.3550012409687042	 ([emerging][media])
v(2 4): 2.268570899963379, EP: -0.3533230423927307	 ([phone][assigned])
v(11 12): 2.2682414054870605, EP: -0.3532717227935791	 ([calls][internet,])
v(3 11): 2.248666286468506, EP: -0.35022297501564026	 ([numbers][calls])
v(5 11): 2.2366275787353516, EP: -0.3483479619026184	 ([britain][calls])
v(13): -2.226145029067993, EP: 0.34671536087989807	 ([uk])
v(2 7): 2.211031913757324, EP: -0.3443615436553955	 ([phone][emerging])
v(2 17): 2.1908907890319824, EP: -0.3412246108055115	 ([phone][regulator])
v(2 3): 2.148529529571533, EP: -0.3346269726753235	 ([phone][numbers])
v(3 4): 2.142091751098633, EP: -0.33362430334091187	 ([numbers][assigned])
v(7 13): -2.139347553253174, EP: 0.3331969082355499	 ([emerging][uk])
v(7 16): -2.1258769035339355, EP: 0.33109888434410095	 ([emerging][telecoms])
v(2 5): 2.1235437393188477, EP: -0.3307355046272278	 ([phone][britain])
v(0 2): 2.0952329635620117, EP: -0.3263261914253235	 ([new][phone])
v(0 4): 2.059967041015625, EP: -0.32083362340927124	 ([new][assigned])
v(1 16): -2.057025909423828, EP: 0.32037556171417236	 ([batch][telecoms])
v(2): 2.03413724899292, EP: -0.3168107271194458	 ([phone])
v(2 8): 2.0274901390075684, EP: -0.31577545404434204	 ([phone][market])
v(2 11): 2.0168161392211914, EP: -0.3141130208969116	 ([phone][calls])
v(10 16): 2.0106334686279297, EP: -0.3131500780582428	 ([phone][telecoms])
v(7 11): 2.01005220413208, EP: -0.313059538602829	 ([emerging][calls])
v(2 15): 1.998037338256836, EP: -0.311188280582428	 ([phone][media])
v(14 16): -1.9721649885177612, EP: 0.3071587383747101	 ([# 39 ; s][telecoms])
v(10 17): 1.9686813354492188, EP: -0.3066161572933197	 ([phone][regulator])
v(10 14): 1.9632024765014648, EP: -0.3057628571987152	 ([phone][# 39 ; s])
v(10 15): 1.9592576026916504, EP: -0.3051484525203705	 ([phone][media])
v(4 11): 1.958643913269043, EP: -0.30505287647247314	 ([assigned][calls])
v(2 14): 1.8885412216186523, EP: -0.29413458704948425	 ([phone][# 39 ; s])
v(14 15): -1.8856592178344727, EP: 0.2936857044696808	 ([# 39 ; s][media])
v(1 8): -1.870108723640442, EP: 0.29126375913619995	 ([batch][market])
v(2 6): 1.8661069869995117, EP: -0.2906405031681061	 ([phone][accommodate])
v(9 11): -1.8660019636154175, EP: 0.2906241714954376	 ([cheap][calls])
v(10 18): 1.86521577835083, EP: -0.2905017137527466	 ([phone][said])
v(18): -1.8649020195007324, EP: 0.29045283794403076	 ([said])
v(0 18): -1.8505709171295166, EP: 0.2882208228111267	 ([new][said])
v(2 9): 1.7896194458007812, EP: -0.27872779965400696	 ([phone][cheap])
v(1 4): 1.7815895080566406, EP: -0.2774771749973297	 ([batch][assigned])
v(2 18): 1.7247467041015625, EP: -0.26862406730651855	 ([phone][said])
v(1 3): 1.7188305854797363, EP: -0.2677026689052582	 ([batch][numbers])
v(12 17): 1.6927013397216797, EP: -0.2636331021785736	 ([internet,][regulator])
v(1 5): 1.6892619132995605, EP: -0.2630974352359772	 ([batch][britain])
v(4 6): 1.6806488037109375, EP: -0.26175597310066223	 ([assigned][accommodate])
v(4 5): 1.642042636871338, EP: -0.2557431757450104	 ([assigned][britain])
v(4 7): 1.6157069206237793, EP: -0.2516414523124695	 ([assigned][emerging])
v(7 18): -1.6019344329833984, EP: 0.2494964450597763	 ([emerging][said])
v(11): 1.5941801071166992, EP: -0.24828872084617615	 ([calls])
v(15): -1.5604760646820068, EP: 0.24303942918777466	 ([media])
v(0 11): 1.5584831237792969, EP: -0.24272902309894562	 ([new][calls])
v(16): -1.5010013580322266, EP: 0.23377642035484314	 ([telecoms])
v(4): 1.4686408042907715, EP: -0.22873635590076447	 ([assigned])
v(1 18): -1.4449219703674316, EP: 0.2250422239303589	 ([batch][said])
v(10 13): 1.444091796875, EP: -0.22491292655467987	 ([phone][uk])
v(0 13): -1.4350581169128418, EP: 0.22350595891475677	 ([new][uk])
v(6 13): -1.3752436637878418, EP: 0.2141900360584259	 ([accommodate][uk])
v(3 17): -1.3709678649902344, EP: 0.21352410316467285	 ([numbers][regulator])
v(10 19): 1.339604377746582, EP: -0.20863932371139526	 ([phone][monday.])
v(3): 1.2657279968261719, EP: -0.19713330268859863	 ([numbers])
v(6 11): 1.2559385299682617, EP: -0.19560863077640533	 ([accommodate][calls])
v(5 16): -1.2485313415527344, EP: 0.19445498287677765	 ([britain][telecoms])
v(5 18): -1.125309705734253, EP: 0.17526358366012573	 ([britain][said])
v(6 18): -1.1155781745910645, EP: 0.1737479269504547	 ([accommodate][said])
v(4 15): 1.0614962577819824, EP: -0.1653248369693756	 ([assigned][media])
v(6 15): -1.051114559173584, EP: 0.1637079119682312	 ([accommodate][media])
v(2 19): 1.0464205741882324, EP: -0.16297683119773865	 ([phone][monday.])
v(4 19): -1.032088279724121, EP: 0.16074462234973907	 ([assigned][monday.])
v(4 14): 1.0087571144104004, EP: -0.15711086988449097	 ([assigned][# 39 ; s])
v(11 14): 0.9994568824768066, EP: -0.1556623876094818	 ([calls][# 39 ; s])
v(7 14): -0.9493861198425293, EP: 0.14786401391029358	 ([emerging][# 39 ; s])
v(0 16): -0.9386224746704102, EP: 0.14618760347366333	 ([new][telecoms])
v(4 16): 0.9251208305358887, EP: -0.14408476650714874	 ([assigned][telecoms])
v(1): -0.9193477630615234, EP: 0.14318563044071198	 ([batch])
v(1 13): -0.8904902935028076, EP: 0.13869117200374603	 ([batch][uk])
v(0 3): 0.8632936477661133, EP: -0.1344553679227829	 ([new][numbers])
v(2 13): 0.8584079742431641, EP: -0.13369444012641907	 ([phone][uk])
v(3 6): 0.8571853637695312, EP: -0.13350403308868408	 ([numbers][accommodate])
v(0 15): -0.8533525466918945, EP: 0.13290707767009735	 ([new][media])
v(5 13): -0.8193759918212891, EP: 0.1276153326034546	 ([britain][uk])
v(3 5): 0.8180112838745117, EP: -0.12740278244018555	 ([numbers][britain])
v(3 13): -0.8154897689819336, EP: 0.1270100623369217	 ([numbers][uk])
v(3 7): 0.8074746131896973, EP: -0.1257617324590683	 ([numbers][emerging])
v(11 16): 0.7874150276184082, EP: -0.12263751029968262	 ([calls][telecoms])
v(6 16): -0.7761201858520508, EP: 0.12087836861610413	 ([accommodate][telecoms])
v(0 5): 0.7693881988525391, EP: -0.11982988566160202	 ([new][britain])
v(8 11): -0.7008366584777832, EP: 0.10915318876504898	 ([market][calls])
v(0 1): 0.6638002395629883, EP: -0.10338487476110458	 ([new][batch])
v(10 11): 0.6412439346313477, EP: -0.09987179934978485	 ([phone][calls])
v(1 14): -0.6360828876495361, EP: 0.09906798601150513	 ([batch][# 39 ; s])
v(1 15): -0.6314697265625, EP: 0.09834949672222137	 ([batch][media])
v(11 13): 0.6169748306274414, EP: -0.09609196335077286	 ([calls][uk])
v(6 7): 0.6138749122619629, EP: -0.0956091582775116	 ([accommodate][emerging])
v(5 6): 0.604034423828125, EP: -0.09407653659582138	 ([britain][accommodate])
v(11 18): 0.6006956100463867, EP: -0.09355652332305908	 ([calls][said])
v(5): 0.6004023551940918, EP: -0.09351085126399994	 ([britain])
v(5 14): 0.5898146629333496, EP: -0.09186185151338577	 ([britain][# 39 ; s])
v(3 14): 0.5771298408508301, EP: -0.08988622575998306	 ([numbers][# 39 ; s])
v(1 11): 0.5679559707641602, EP: -0.08845742046833038	 ([batch][calls])
v(0 7): -0.5007014274597168, EP: 0.07798273116350174	 ([new][emerging])
v(6 14): -0.49046850204467773, EP: 0.07638898491859436	 ([accommodate][# 39 ; s])
v(0 6): 0.4802217483520508, EP: -0.07479308545589447	 ([new][accommodate])
v(1 6): 0.4766850471496582, EP: -0.0742422565817833	 ([batch][accommodate])
v(5 15): -0.44928717613220215, EP: 0.0699751153588295	 ([britain][media])
v(14): -0.3932476043701172, EP: 0.06124712526798248	 ([# 39 ; s])
v(7): -0.38280463218688965, EP: 0.05962066352367401	 ([emerging])
v(3 18): 0.37922143936157227, EP: -0.059062592685222626	 ([numbers][said])
v(0 14): -0.2599971294403076, EP: 0.04049376770853996	 ([new][# 39 ; s])
v(1 7): -0.2488870620727539, EP: 0.03876340761780739	 ([batch][emerging])
v(0): -0.18840670585632324, EP: 0.029343774542212486	 ([new])
v(3 15): -0.16225433349609375, EP: 0.025270622223615646	 ([numbers][media])
v(4 13): 0.15742754936218262, EP: -0.02451886422932148	 ([assigned][uk])
v(4 18): 0.15299415588378906, EP: -0.023828376084566116	 ([assigned][said])
v(13 14): -0.12820839881896973, EP: 0.019968070089817047	 ([uk][# 39 ; s])
