---------- AND Interactions ----------
I(9 10): 7.697488784790039	 ([cheap][phone])
I(2 4): -1.2342071533203125	 ([phone][assigned])
I(1 4): 1.2322964668273926	 ([batch][assigned])
I(18 19): 1.2167315483093262	 ([said][monday.])
I(10 13): 1.207306146621704	 ([phone][uk])
I(8 17): 1.1749458312988281	 ([market][regulator])
I(4 15): 1.1533315181732178	 ([assigned][media])
I(2 3): -1.1513357162475586	 ([phone][numbers])
I(5 8): 1.1394176483154297	 ([britain][market])
I(1 10): 1.1376538276672363	 ([batch][phone])
I(4 12): -1.1279778480529785	 ([assigned][internet,])
I(4 11): -1.1041769981384277	 ([assigned][calls])
I(8 14): 1.0839157104492188	 ([market][# 39 ; s])
I(1 17): 1.0773124694824219	 ([batch][regulator])
I(10 15): 1.0568029880523682	 ([phone][media])
I(1 7): 1.0532653331756592	 ([batch][emerging])
I(2 13): 1.0504157543182373	 ([phone][uk])
I(10 16): 1.0487041473388672	 ([phone][telecoms])
I(3 5): -1.048119068145752	 ([numbers][britain])
I(13 15): 1.0343525409698486	 ([uk][media])
I(3 12): -1.000363826751709	 ([numbers][internet,])
I(4 9): 0.9908928871154785	 ([assigned][cheap])
I(0 13): 0.9794936180114746	 ([new][uk])
I(3 18): 0.9783954620361328	 ([numbers][said])
I(1 12): 0.9719243049621582	 ([batch][internet,])
I(4 16): 0.9574813842773438	 ([assigned][telecoms])
I(6 7): 0.9517548084259033	 ([accommodate][emerging])
I(1): -0.9193477630615234	 ([batch])
I(4 13): 0.9149317741394043	 ([assigned][uk])
I(3 10): -0.9119100570678711	 ([numbers][phone])
I(9 18): 0.8995795249938965	 ([cheap][said])
I(0 15): 0.8955302238464355	 ([new][media])
I(11 18): 0.8714175224304199	 ([calls][said])
I(16 18): 0.8484082221984863	 ([telecoms][said])
I(17 19): 0.8253049850463867	 ([regulator][monday.])
I(13 17): 0.8173456192016602	 ([uk][regulator])
I(5 13): 0.8063666820526123	 ([britain][uk])
I(6 13): 0.8059766292572021	 ([accommodate][uk])
I(6 8): 0.8003666400909424	 ([accommodate][market])
I(7 11): 0.7986767292022705	 ([emerging][calls])
I(0 4): 0.7797329425811768	 ([new][assigned])
I(15 18): 0.7596499919891357	 ([media][said])
I(0 16): 0.7507855892181396	 ([new][telecoms])
I(15 17): -0.7351884841918945	 ([media][regulator])
I(7 8): -0.7350273132324219	 ([emerging][market])
I(0 8): 0.7180361747741699	 ([new][market])
I(6 18): 0.7043991088867188	 ([accommodate][said])
I(15 19): 0.6946926116943359	 ([media][monday.])
I(11 16): 0.6942362785339355	 ([calls][telecoms])
I(6 16): 0.6799564361572266	 ([accommodate][telecoms])
I(1 14): 0.6765124797821045	 ([batch][# 39 ; s])
I(3 9): 0.6760072708129883	 ([numbers][cheap])
I(7 19): 0.6666018962860107	 ([emerging][monday.])
I(12 16): 0.6571393013000488	 ([internet,][telecoms])
I(7 18): 0.6457722187042236	 ([emerging][said])
I(12 15): 0.6265029907226562	 ([internet,][media])
I(0 6): 0.6237037181854248	 ([new][accommodate])
I(3 11): -0.6112418174743652	 ([numbers][calls])
I(5): 0.6004023551940918	 ([britain])
I(3 4): -0.5922770500183105	 ([numbers][assigned])
I(7 17): 0.590315580368042	 ([emerging][regulator])
I(2 7): 0.559699296951294	 ([phone][emerging])
I(4 18): 0.54925537109375	 ([assigned][said])
I(13 18): 0.5467073917388916	 ([uk][said])
I(4 7): 0.5298707485198975	 ([assigned][emerging])
I(5 9): 0.5216631889343262	 ([britain][cheap])
I(2 5): -0.5109958648681641	 ([phone][britain])
I(5 15): 0.5107865333557129	 ([britain][media])
I(7 13): 0.469602108001709	 ([emerging][uk])
I(6 15): 0.46443676948547363	 ([accommodate][media])
I(3 6): -0.45346736907958984	 ([numbers][accommodate])
I(0 9): 0.4405050277709961	 ([new][cheap])
I(4 5): -0.4270005226135254	 ([assigned][britain])
I(14): -0.3932476043701172	 ([# 39 ; s])
I(4 8): 0.39241790771484375	 ([assigned][market])
I(6 17): 0.3891592025756836	 ([accommodate][regulator])
I(6 11): -0.3831663131713867	 ([accommodate][calls])
I(7): -0.38280463218688965	 ([emerging])
I(5 14): 0.382659912109375	 ([britain][# 39 ; s])
I(7 10): 0.3749353885650635	 ([emerging][phone])
I(1 16): 0.3633232116699219	 ([batch][telecoms])
I(0 5): 0.3573925495147705	 ([new][britain])
I(5 16): -0.3479323387145996	 ([britain][telecoms])
I(7 15): -0.33606529235839844	 ([emerging][media])
I(0 14): 0.3216571807861328	 ([new][# 39 ; s])
I(5 12): 0.305051326751709	 ([britain][internet,])
I(5 10): -0.29935789108276367	 ([britain][phone])
I(3 14): -0.2953505516052246	 ([numbers][# 39 ; s])
I(0 17): -0.25397396087646484	 ([new][regulator])
I(0 2): 0.24950242042541504	 ([new][phone])
I(2 14): 0.2476515769958496	 ([phone][# 39 ; s])
I(7 16): -0.24207091331481934	 ([emerging][telecoms])
I(12 14): 0.2322254180908203	 ([internet,][# 39 ; s])
I(5 7): -0.21837329864501953	 ([britain][emerging])
I(0 3): -0.21402764320373535	 ([new][numbers])
I(2 6): -0.21295499801635742	 ([phone][accommodate])
I(0 18): 0.20273780822753906	 ([new][said])
I(11 14): -0.2014756202697754	 ([calls][# 39 ; s])
I(0): -0.18840670585632324	 ([new])
Sum: 166.43752431869507
==================================================
