---------- AND Interactions ----------
I(31): 6.842802047729492	 ([crap.])
I(16,19): 0.5069782137870789	 ([drives][hours])
I(15,26): -0.5063916444778442	 ([nurse][damn])
I(31,34): -0.5046954154968262	 ([crap.][seen])
I(12): 0.5027481317520142	 ([stuck])
I(1,12): -0.49649155139923096	 ([bad][stuck])
I(16,31): 0.4820370674133301	 ([drives][crap.])
I(4,24): -0.4805271625518799	 ([30][morons])
I(25,26): -0.48015308380126953	 ([take][damn])
I(0): 0.4767017364501953	 ([movie])
I(29,34): 0.47514086961746216	 ([nothing][seen])
I(22,25): 0.4734863042831421	 ([shoulder... can't][take])
I(1,5): -0.4672513008117676	 ([bad][mph])
I(1,27): -0.45952272415161133	 ([bad][phone?])
I(0,35): -0.4591165781021118	 ([movie][movie])
I(26,27): -0.4585227966308594	 ([damn][phone?])
I(25,33): -0.4533447027206421	 ([take][ashamed])
I(27,33): 0.45288848876953125	 ([phone?][ashamed])
I(1,29): -0.445981502532959	 ([bad][nothing])
I(18,19): 0.4359254240989685	 ([2][hours])
I(20,27): 0.4346831440925598	 ([cell][phone?])
I(6): 0.4184795022010803	 ([supposed])
I(8,31): 0.41789770126342773	 ([100...][crap.])
I(28,30): 0.41398584842681885	 ([there's][credible])
I(3,16): 0.4097549319267273	 ([car][drives])
I(2,29): -0.4077727794647217	 ([hurts.][nothing])
I(1,16): 0.4040300250053406	 ([bad][drives])
I(8,10): 0.39222535490989685	 ([100...][lever])
I(3,31): -0.3861689567565918	 ([car][crap.])
I(14,37): -0.3826600909233093	 ([park! ),][this!])
I(8,16): 0.3783860206604004	 ([100...][drives])
I(0,3): 0.3747485876083374	 ([movie][car])
I(10,26): 0.37417328357696533	 ([lever][damn])
I(23,24): 0.37368977069854736	 ([2][morons])
I(35): 0.3724338412284851	 ([movie])
I(2,12): -0.3705940246582031	 ([hurts.][stuck])
I(24,33): -0.36925530433654785	 ([morons][ashamed])
I(15,25): -0.36769899725914	 ([nurse][take])
I(32): 0.3628864884376526	 ([would])
I(2,27): -0.3584327697753906	 ([hurts.][phone?])
I(1,15): -0.35534191131591797	 ([bad][nurse])
I(20,31): 0.3474588394165039	 ([cell][crap.])
I(5,19): 0.3400382995605469	 ([mph][hours])
I(19,31): 0.33600282669067383	 ([hours][crap.])
I(13,24): 0.3325049877166748	 ([( in][morons])
I(15,24): -0.33212244510650635	 ([nurse][morons])
I(1,10): 0.3305259943008423	 ([bad][lever])
I(15,32): 0.3291628956794739	 ([nurse][would])
I(32,37): 0.32741934061050415	 ([would][this!])
I(20,26): 0.3263740539550781	 ([cell][damn])
I(2,8): -0.3247091770172119	 ([hurts.][100...])
I(1,3): -0.32337474822998047	 ([bad][car])
I(14,24): 0.3221464157104492	 ([park! ),][morons])
I(2,19): 0.32185888290405273	 ([hurts.][hours])
I(22,26): -0.320401668548584	 ([shoulder... can't][damn])
I(24,29): -0.3202395439147949	 ([morons][nothing])
I(16,22): 0.3175816535949707	 ([drives][shoulder... can't])
I(16,26): 0.3149724006652832	 ([drives][damn])
I(21,27): 0.3122301995754242	 ([phone][phone?])
I(13,14): 0.31082674860954285	 ([( in][park! ),])
I(15,33): 0.30921733379364014	 ([nurse][ashamed])
I(11,12): -0.30805617570877075	 ([that's][stuck])
I(5,6): 0.30778414011001587	 ([mph][supposed])
I(5,26): -0.3071103096008301	 ([mph][damn])
I(8): -0.3045695126056671	 ([100...])
I(15,35): 0.30389970541000366	 ([nurse][movie])
I(2,25): -0.30278754234313965	 ([hurts.][take])
I(3,8): 0.30184614658355713	 ([car][100...])
I(19,26): 0.3000822067260742	 ([hours][damn])
I(19,20): -0.29582059383392334	 ([hours][cell])
I(12,15): 0.29398250579833984	 ([stuck][nurse])
I(19,22): 0.29284870624542236	 ([hours][shoulder... can't])
I(37): 0.29133355617523193	 ([this!])
I(11,33): 0.2900810241699219	 ([that's][ashamed])
I(5,35): 0.28880804777145386	 ([mph][movie])
I(13,22): -0.2881826162338257	 ([( in][shoulder... can't])
I(29,31): -0.28056907653808594	 ([nothing][crap.])
I(5,16): 0.2786405682563782	 ([mph][drives])
I(33,36): 0.2742736339569092	 ([ashamed][like])
I(22,34): 0.27379274368286133	 ([shoulder... can't][seen])
I(7,8): 0.26902133226394653	 ([go][100...])
I(14,27): 0.26819729804992676	 ([park! ),][phone?])
I(21,33): 0.2681262493133545	 ([phone][ashamed])
I(8,35): 0.2677319645881653	 ([100...][movie])
I(16,27): 0.26695334911346436	 ([drives][phone?])
I(30,33): 0.26663658022880554	 ([credible][ashamed])
I(1,19): 0.26518821716308594	 ([bad][hours])
I(0,31): -0.26472043991088867	 ([movie][crap.])
I(14,19): 0.2644842267036438	 ([park! ),][hours])
I(27,37): 0.2639743685722351	 ([phone?][this!])
I(5,31): -0.26353931427001953	 ([mph][crap.])
I(3,6): 0.26295357942581177	 ([car][supposed])
I(16,18): 0.2608293294906616	 ([drives][2])
I(20,33): -0.2600916028022766	 ([cell][ashamed])
I(6,7): -0.25823965668678284	 ([supposed][go])
I(20,22): -0.2574000358581543	 ([cell][shoulder... can't])
I(22,24): -0.2568310499191284	 ([shoulder... can't][morons])
I(0,27): 0.25389283895492554	 ([movie][phone?])
I(15,19): 0.25309157371520996	 ([nurse][hours])
I(14,16): 0.25306379795074463	 ([park! ),][drives])
I(1,20): 0.2505391836166382	 ([bad][cell])
I(6,8): 0.24906304478645325	 ([supposed][100...])
I(0,37): -0.24703460931777954	 ([movie][this!])
I(29,35): 0.24406737089157104	 ([nothing][movie])
I(9,10): 0.2440287470817566	 ([shift][lever])
I(16,21): 0.24347373843193054	 ([drives][phone])
I(19,32): 0.24257832765579224	 ([hours][would])
I(8,22): -0.2417219877243042	 ([100...][shoulder... can't])
I(2,37): 0.2412271499633789	 ([hurts.][this!])
I(5,20): 0.24059468507766724	 ([mph][cell])
I(22,32): 0.2401171326637268	 ([shoulder... can't][would])
I(7,26): 0.23975279927253723	 ([go][damn])
I(13,15): -0.23927295207977295	 ([( in][nurse])
I(12,19): 0.23894166946411133	 ([stuck][hours])
I(8,27): 0.23878955841064453	 ([100...][phone?])
I(34): 0.2387818694114685	 ([seen])
I(15,34): 0.23813945055007935	 ([nurse][seen])
I(20,25): 0.23687928915023804	 ([cell][take])
I(34,37): -0.23661428689956665	 ([seen][this!])
I(0,9): -0.23567193746566772	 ([movie][shift])
I(26,34): 0.23083311319351196	 ([damn][seen])
I(8,9): 0.22952601313591003	 ([100...][shift])
I(16): -0.22618740797042847	 ([drives])
I(14,22): 0.22562247514724731	 ([park! ),][shoulder... can't])
I(14,29): 0.22389590740203857	 ([park! ),][nothing])
I(6,22): 0.2237241268157959	 ([supposed][shoulder... can't])
I(20,35): 0.22279596328735352	 ([cell][movie])
I(2,30): 0.22201427817344666	 ([hurts.][credible])
I(4,8): 0.2216845452785492	 ([30][100...])
I(0,29): 0.22042453289031982	 ([movie][nothing])
I(9,22): -0.21819853782653809	 ([shift][shoulder... can't])
I(12,14): -0.21685829758644104	 ([stuck][park! ),])
I(6,31): -0.21420913934707642	 ([supposed][crap.])
I(19,27): 0.2140710949897766	 ([hours][phone?])
I(7,31): 0.21391773223876953	 ([go][crap.])
I(23,26): -0.21337950229644775	 ([2][damn])
I(10,31): 0.21206200122833252	 ([lever][crap.])
I(35,37): 0.21168392896652222	 ([movie][this!])
I(10): -0.20935261249542236	 ([lever])
I(0,12): 0.20849359035491943	 ([movie][stuck])
I(0,32): 0.20838218927383423	 ([movie][would])
I(27,35): 0.2082921266555786	 ([phone?][movie])
I(10,22): 0.20699238777160645	 ([lever][shoulder... can't])
I(4,6): 0.20693397521972656	 ([30][supposed])
I(4,37): -0.20655834674835205	 ([30][this!])
I(2,34): 0.2045283317565918	 ([hurts.][seen])
I(8,11): 0.20344457030296326	 ([100...][that's])
I(9,15): 0.20311295986175537	 ([shift][nurse])
I(26,32): 0.2025752067565918	 ([damn][would])
I(20,32): -0.20150774717330933	 ([cell][would])
I(3,37): 0.2009798288345337	 ([car][this!])
I(3,25): -0.2003856599330902	 ([car][take])
I(2,15): -0.19913101196289062	 ([hurts.][nurse])
I(2,35): 0.1985182762145996	 ([hurts.][movie])
I(3,35): 0.19834202527999878	 ([car][movie])
I(3,33): 0.19713997840881348	 ([car][ashamed])
I(10,24): 0.19507324695587158	 ([lever][morons])
I(27,31): -0.19292354583740234	 ([phone?][crap.])
I(12,34): 0.1908368468284607	 ([stuck][seen])
I(1,8): 0.18971994519233704	 ([bad][100...])
I(34,35): -0.18771392107009888	 ([seen][movie])
I(21,35): 0.18685683608055115	 ([phone][movie])
I(6,15): 0.18528443574905396	 ([supposed][nurse])
I(12,35): 0.18523842096328735	 ([stuck][movie])
I(15,27): -0.18514913320541382	 ([nurse][phone?])
I(25,37): -0.1840282678604126	 ([take][this!])
I(14,33): 0.18355709314346313	 ([park! ),][ashamed])
I(15,37): 0.18269658088684082	 ([nurse][this!])
I(6,26): -0.1815199851989746	 ([supposed][damn])
I(0,15): 0.17983055114746094	 ([movie][nurse])
I(12,16): 0.17902755737304688	 ([stuck][drives])
I(30,31): 0.17521938681602478	 ([credible][crap.])
I(28,29): -0.17450210452079773	 ([there's][nothing])
I(0,20): -0.17346534132957458	 ([movie][cell])
Sum: 11.90553691983223
==================================================
