---------- AND Interactions ----------
I(54): -3.2403712272644043	 ([bored])
I(21,30): 0.18743622303009033	 ([writer's][expecting])
I(20,48): -0.18731403350830078	 ([see][entertaining])
I(10,23): -0.1866835355758667	 ([discussing][talent.])
I(44,50): 0.18649166822433472	 ([way.][emotional])
I(16,21): 0.18569415807724	 ([genius][writer's])
I(16,46): 0.1854892373085022	 ([genius][movie])
I(47,52): -0.18482643365859985	 ([logical][i'm])
I(6,7): -0.18310165405273438	 ([scene][phone])
I(26): -0.18269604444503784	 ([end])
I(27,54): 0.18204796314239502	 ([like...][bored])
I(23,32): 0.1819118857383728	 ([talent.][see])
I(45,46): -0.1811789572238922	 ([point][movie])
I(25,37): 0.18082690238952637	 ([split][ridiculous,])
I(33,38): 0.18082377314567566	 ([movie][sweet])
I(1,7): -0.17964881658554077	 ([genius][phone])
I(11,47): -0.17931699752807617	 ([love][logical])
I(29,54): -0.17866569757461548	 ([quite][bored])
I(31,47): -0.1786136031150818	 ([let's][logical])
I(5,17): -0.1774464249610901	 ([throughout.][humor.])
I(7,50): -0.17734813690185547	 ([phone][emotional])
I(7,8): 0.17693009972572327	 ([phone][sex])
I(5): -0.17681145668029785	 ([throughout.])
I(43,46): -0.17538982629776	 ([strange][movie])
I(46,50): 0.17529040575027466	 ([movie][emotional])
I(38): 0.17511671781539917	 ([sweet])
I(8,43): 0.17393231391906738	 ([sex][strange])
I(3,48): 0.17324042320251465	 ([movie.][entertaining])
I(5,43): -0.17302262783050537	 ([throughout.][strange])
I(24,55): 0.173004150390625	 ([doppelganger][many])
I(2,43): -0.17261123657226562	 ([behind][strange])
I(30,48): -0.1723700761795044	 ([expecting][entertaining])
I(25,43): 0.17183208465576172	 ([split][strange])
I(19,54): -0.171722412109375	 ([poor,][bored])
I(8,48): -0.1715148687362671	 ([sex][entertaining])
I(17,52): -0.1707543134689331	 ([humor.][i'm])
I(13,27): 0.17067205905914307	 ([doppelganger][like...])
I(34,50): 0.17004287242889404	 ([say][emotional])
I(19,48): -0.1690833568572998	 ([poor,][entertaining])
I(1,43): 0.16824018955230713	 ([genius][strange])
I(15,33): -0.1677643060684204	 ([attempt][movie])
I(16,38): 0.16691333055496216	 ([genius][sweet])
I(10,50): -0.16650503873825073	 ([discussing][emotional])
I(41,47): 0.16594719886779785	 ([coherent][logical])
I(14,24): -0.165607750415802	 ([nice][doppelganger])
I(1,49): -0.1649811863899231	 ([genius][communicate])
I(27,33): 0.16467100381851196	 ([like...][movie])
I(15,54): 0.16435480117797852	 ([attempt][bored])
I(7,37): -0.16395407915115356	 ([phone][ridiculous,])
I(3,17): 0.16357296705245972	 ([movie.][humor.])
I(3,33): 0.16350674629211426	 ([movie.][movie])
I(35,47): -0.1632833480834961	 ([".][logical])
I(9,21): -0.16296017169952393	 ([office,][writer's])
I(24,32): 0.16179096698760986	 ([doppelganger][see])
I(22,50): -0.16146230697631836	 ([message][emotional])
I(3,46): 0.1610468626022339	 ([movie.][movie])
I(34,46): -0.1598871946334839	 ([say][movie])
I(23,35): -0.15884864330291748	 ([talent.][".])
I(33,36): 0.1577039659023285	 ([movie][certainly])
I(42,43): 0.1567772626876831	 ([story][strange])
I(4,16): 0.15667200088500977	 ([laughing][genius])
I(38,45): -0.15653175115585327	 ([sweet][point])
I(27,32): 0.1564732789993286	 ([like...][see])
I(22,42): -0.15621179342269897	 ([message][story])
I(8,46): -0.1561315357685089	 ([sex][movie])
I(27,35): -0.15601402521133423	 ([like...][".])
I(16,49): -0.15587764978408813	 ([genius][communicate])
I(4,23): -0.1547483205795288	 ([laughing][talent.])
I(30,33): -0.15374380350112915	 ([expecting][movie])
I(6,8): -0.15366819500923157	 ([scene][sex])
I(1,39): -0.1535593867301941	 ([genius][idea])
I(21,23): -0.1532745361328125	 ([writer's][talent.])
I(46,49): 0.15301722288131714	 ([movie][communicate])
I(4,12): 0.15300381183624268	 ([laughing][heals])
I(3,10): -0.1526697874069214	 ([movie.][discussing])
I(4,47): -0.15179342031478882	 ([laughing][logical])
I(27): -0.15120041370391846	 ([like...])
I(21,52): -0.1508045792579651	 ([writer's][i'm])
I(50,53): -0.15073341131210327	 ([emotional][easily])
I(6,10): -0.15061181783676147	 ([scene][discussing])
I(37,47): 0.14969921112060547	 ([ridiculous,][logical])
I(23,26): 0.14969861507415771	 ([talent.][end])
I(33,49): 0.14943820238113403	 ([movie][communicate])
I(9,19): -0.14823836088180542	 ([office,][poor,])
I(16,19): -0.14787286520004272	 ([genius][poor,])
I(16,27): -0.14762675762176514	 ([genius][like...])
I(20,23): -0.14713233709335327	 ([see][talent.])
I(13,45): 0.14684200286865234	 ([doppelganger][point])
I(12,35): -0.14620345830917358	 ([heals][".])
I(14,20): 0.1461600661277771	 ([nice][see])
I(17,43): -0.14519894123077393	 ([humor.][strange])
I(2,10): -0.14353111386299133	 ([behind][discussing])
I(1,12): 0.14334756135940552	 ([genius][heals])
I(47,54): 0.14333868026733398	 ([logical][bored])
I(52): -0.1431758999824524	 ([i'm])
I(43,53): 0.14317548274993896	 ([strange][easily])
I(39,50): -0.14303851127624512	 ([idea][emotional])
I(10,13): 0.14220601320266724	 ([discussing][doppelganger])
I(12,18): 0.14218151569366455	 ([heals][execution])
I(29,48): -0.142056405544281	 ([quite][entertaining])
I(1,11): -0.141648530960083	 ([genius][love])
I(12,23): -0.14164799451828003	 ([heals][talent.])
I(8,11): -0.14125460386276245	 ([sex][love])
I(18,23): 0.14080947637557983	 ([execution][talent.])
I(20,27): 0.1406240463256836	 ([see][like...])
I(4,19): -0.14054763317108154	 ([laughing][poor,])
I(43,51): 0.14042389392852783	 ([strange][level?])
I(11,16): -0.1402875781059265	 ([love][genius])
I(22,24): -0.14022797346115112	 ([message][doppelganger])
I(10,46): -0.14013153314590454	 ([discussing][movie])
I(12,21): 0.13995134830474854	 ([heals][writer's])
I(14,37): 0.13970297574996948	 ([nice][ridiculous,])
I(35,48): -0.13954085111618042	 ([".][entertaining])
I(7,24): 0.139490008354187	 ([phone][doppelganger])
I(10,19): -0.139451265335083	 ([discussing][poor,])
I(19,33): -0.13889610767364502	 ([poor,][movie])
I(34,52): 0.13871532678604126	 ([say][i'm])
I(6,50): -0.13869571685791016	 ([scene][emotional])
I(46,47): -0.13818246126174927	 ([movie][logical])
I(38,46): 0.13815218210220337	 ([sweet][movie])
I(2,23): -0.13804590702056885	 ([behind][talent.])
I(14,50): -0.13796120882034302	 ([nice][emotional])
I(20,54): -0.1378464698791504	 ([see][bored])
I(26,33): 0.13721084594726562	 ([end][movie])
I(8,33): -0.13688480854034424	 ([sex][movie])
I(7,9): -0.1368616819381714	 ([phone][office,])
I(21): 0.1367853283882141	 ([writer's])
I(19,44): 0.13642150163650513	 ([poor,][way.])
I(14,18): -0.13586211204528809	 ([nice][execution])
I(35,39): -0.1351904273033142	 ([".][idea])
I(35,36): -0.13503551483154297	 ([".][certainly])
I(31,52): 0.13491487503051758	 ([let's][i'm])
I(53,55): -0.1347917914390564	 ([easily][many])
I(10,48): -0.13477963209152222	 ([discussing][entertaining])
I(17,51): -0.13437050580978394	 ([humor.][level?])
I(18,30): -0.1340509057044983	 ([execution][expecting])
I(36,41): 0.1338227391242981	 ([certainly][coherent])
I(17,44): 0.133553147315979	 ([humor.][way.])
I(12,32): 0.1334790587425232	 ([heals][see])
I(12,41): 0.13294416666030884	 ([heals][coherent])
I(2,16): 0.1326695680618286	 ([behind][genius])
I(7,33): -0.13252246379852295	 ([phone][movie])
I(1,23): -0.13228845596313477	 ([genius][talent.])
I(5,42): -0.13169443607330322	 ([throughout.][story])
I(3,18): -0.13163268566131592	 ([movie.][execution])
I(4,10): -0.13156992197036743	 ([laughing][discussing])
I(15,50): -0.13138318061828613	 ([attempt][emotional])
I(15,42): -0.13120514154434204	 ([attempt][story])
I(28,37): 0.13089412450790405	 ([ok,][ridiculous,])
I(8,37): 0.1306871473789215	 ([sex][ridiculous,])
I(36,43): -0.13063061237335205	 ([certainly][strange])
I(51,55): 0.13058388233184814	 ([level?][many])
I(30,43): -0.13029658794403076	 ([expecting][strange])
I(6,17): -0.13018840551376343	 ([scene][humor.])
I(18,43): 0.12965214252471924	 ([execution][strange])
I(2,52): 0.12865784764289856	 ([behind][i'm])
I(29,41): 0.12827926874160767	 ([quite][coherent])
I(0,37): -0.12819385528564453	 ([certain][ridiculous,])
I(13,15): 0.12787288427352905	 ([doppelganger][attempt])
I(18,39): 0.1277260184288025	 ([execution][idea])
I(9,48): -0.12752246856689453	 ([office,][entertaining])
I(27,41): 0.12698256969451904	 ([like...][coherent])
I(29): 0.12566643953323364	 ([quite])
I(19,43): -0.12536227703094482	 ([poor,][strange])
I(10,52): -0.12531059980392456	 ([discussing][i'm])
I(3,6): -0.12489306926727295	 ([movie.][scene])
I(5,50): -0.12414240837097168	 ([throughout.][emotional])
I(25,35): -0.12405824661254883	 ([split][".])
I(30): -0.12405455112457275	 ([expecting])
I(24,41): -0.123877614736557	 ([doppelganger][coherent])
I(15,37): 0.12352180480957031	 ([attempt][ridiculous,])
I(14,46): -0.1233641505241394	 ([nice][movie])
I(8,12): 0.12332665920257568	 ([sex][heals])
I(41,46): -0.12310445308685303	 ([coherent][movie])
I(1,51): -0.12291747331619263	 ([genius][level?])
I(5,11): -0.12290418148040771	 ([throughout.][love])
I(17,50): -0.12238597869873047	 ([humor.][emotional])
I(2,5): 0.12225222587585449	 ([behind][throughout.])
I(18,41): 0.12217813730239868	 ([execution][coherent])
I(11,17): 0.12207579612731934	 ([love][humor.])
I(2,7): 0.12200090289115906	 ([behind][phone])
I(34,54): -0.12188529968261719	 ([say][bored])
I(10,16): -0.12121862173080444	 ([discussing][genius])
I(30,32): -0.12121152877807617	 ([expecting][see])
I(39,43): -0.12024581432342529	 ([idea][strange])
I(3,34): 0.12004369497299194	 ([movie.][say])
I(16,34): 0.11994683742523193	 ([genius][say])
I(19,46): -0.11988478899002075	 ([poor,][movie])
I(13,18): -0.11983197927474976	 ([doppelganger][execution])
I(14,42): -0.1198156476020813	 ([nice][story])
I(23,52): -0.11968237161636353	 ([talent.][i'm])
I(3,43): 0.11965477466583252	 ([movie.][strange])
I(8,47): 0.11963072419166565	 ([sex][logical])
I(52,53): 0.11962813138961792	 ([i'm][easily])
I(17,32): 0.11894875764846802	 ([humor.][see])
I(39,44): 0.11888378858566284	 ([idea][way.])
I(34,39): -0.11870536208152771	 ([say][idea])
I(5,8): -0.11857232451438904	 ([throughout.][sex])
I(12,52): -0.1184215247631073	 ([heals][i'm])
I(18,31): 0.11828625202178955	 ([execution][let's])
I(11,14): -0.11828070878982544	 ([love][nice])
I(4): 0.11827296018600464	 ([laughing])
I(6,33): -0.11812329292297363	 ([scene][movie])
I(1,8): 0.11777552962303162	 ([genius][sex])
I(17,27): -0.11770415306091309	 ([humor.][like...])
I(2,11): 0.11767086386680603	 ([behind][love])
I(10,15): -0.11756110191345215	 ([discussing][attempt])
I(0,23): 0.11735522747039795	 ([certain][talent.])
I(9,35): 0.1170089840888977	 ([office,][".])
I(24,45): 0.11648547649383545	 ([doppelganger][point])
I(9,43): -0.11638915538787842	 ([office,][strange])
I(41,50): 0.11618852615356445	 ([coherent][emotional])
I(4,48): 0.11596667766571045	 ([laughing][entertaining])
I(3,16): -0.11569184064865112	 ([movie.][genius])
I(49,52): -0.11553263664245605	 ([communicate][i'm])
I(39,54): 0.11521464586257935	 ([idea][bored])
I(34,43): 0.1148843765258789	 ([say][strange])
I(15,20): -0.11472147703170776	 ([attempt][see])
I(10,42): -0.11469382047653198	 ([discussing][story])
I(22,49): -0.11445599794387817	 ([message][communicate])
I(30,35): 0.11438870429992676	 ([expecting][".])
I(34,38): 0.11402150988578796	 ([say][sweet])
I(4,46): 0.11377555131912231	 ([laughing][movie])
I(27,42): 0.11364269256591797	 ([like...][story])
I(15,23): -0.1130746603012085	 ([attempt][talent.])
I(26,34): 0.11282503604888916	 ([end][say])
I(17,26): -0.11245429515838623	 ([humor.][end])
I(42,53): -0.11197370290756226	 ([story][easily])
I(7,44): -0.11195331811904907	 ([phone][way.])
I(20,30): -0.11150452494621277	 ([see][expecting])
I(11,39): -0.111355721950531	 ([love][idea])
I(21,50): 0.11124086380004883	 ([writer's][emotional])
I(7): 0.1104314923286438	 ([phone])
I(7,48): -0.1096029281616211	 ([phone][entertaining])
I(2,54): 0.10930156707763672	 ([behind][bored])
I(21,47): -0.10905647277832031	 ([writer's][logical])
I(15,19): -0.10882341861724854	 ([attempt][poor,])
I(17,22): -0.1086929440498352	 ([humor.][message])
I(1,32): 0.10732978582382202	 ([genius][see])
I(41,52): -0.10704737901687622	 ([coherent][i'm])
I(3,8): -0.10693109035491943	 ([movie.][sex])
I(14,43): -0.10633975267410278	 ([nice][strange])
I(10,55): 0.10625523328781128	 ([discussing][many])
I(2,15): -0.10625144839286804	 ([behind][attempt])
I(27,43): 0.10606276988983154	 ([like...][strange])
I(8,24): -0.1057891845703125	 ([sex][doppelganger])
I(36,48): -0.10560190677642822	 ([certainly][entertaining])
I(16,28): -0.10547047853469849	 ([genius][ok,])
I(24,34): 0.10539507865905762	 ([doppelganger][say])
I(43,52): 0.10458028316497803	 ([strange][i'm])
I(31,48): 0.10443884134292603	 ([let's][entertaining])
I(35,51): -0.1044115424156189	 ([".][level?])
I(16,44): -0.1043739914894104	 ([genius][way.])
I(47,49): -0.10437262058258057	 ([logical][communicate])
I(17,34): 0.10424166917800903	 ([humor.][say])
I(49,53): 0.10410255193710327	 ([communicate][easily])
I(32,52): 0.1039155125617981	 ([see][i'm])
I(21,22): 0.10355335474014282	 ([writer's][message])
I(12,34): 0.1034422516822815	 ([heals][say])
