---------- Players ----------
Player 0: nokia,
Player 1: world
Player 2: # 39 ; s
Player 3: largest
Player 4: mobile
Player 5: phone
Player 6: maker,
Player 7: took
Player 8: legal
Player 9: action
Player 10: earlier
Player 11: week
Player 12: two
Player 13: european
Player 14: manufacturers
Player 15: allegedly
Player 16: infringing
Player 17: technology
Player 18: patents
Player 19: registered
Player 20: designs.
---------- AND Interactions (Pairwise Only) ----------
I(4 13): 5.957616806030273	 ([mobile][european])
I(4 9): -0.7949495315551758	 ([mobile][action])
I(1 13): 0.7850828170776367	 ([world][european])
I(2 20): -0.7656700611114502	 ([# 39 ; s][designs.])
I(12 19): -0.7596783638000488	 ([two][registered])
I(1 12): 0.744766116142273	 ([world][two])
I(0 3): -0.7414665222167969	 ([nokia,][largest])
I(1 5): 0.7294063568115234	 ([world][phone])
I(4 12): -0.7214789390563965	 ([mobile][two])
I(15 18): -0.7155289649963379	 ([allegedly][patents])
I(1 17): 0.7136662006378174	 ([world][technology])
I(0 20): -0.7123546600341797	 ([nokia,][designs.])
I(11 15): 0.7035541534423828	 ([week][allegedly])
I(11 18): 0.6962838172912598	 ([week][patents])
I(15 17): -0.6774311065673828	 ([allegedly][technology])
I(11 16): 0.6736671924591064	 ([week][infringing])
I(0 12): -0.6682767868041992	 ([nokia,][two])
I(0 6): 0.6508049964904785	 ([nokia,][maker,])
I(5 20): -0.6430072784423828	 ([phone][designs.])
I(6 19): -0.6341900825500488	 ([maker,][registered])
I(10 19): -0.6314740180969238	 ([earlier][registered])
I(11 12): -0.6223804950714111	 ([week][two])
I(10 17): -0.614870548248291	 ([earlier][technology])
I(4 10): -0.6093955039978027	 ([mobile][earlier])
I(5 12): -0.6084508895874023	 ([phone][two])
I(9 19): -0.6012365818023682	 ([action][registered])
I(17 20): 0.6012177467346191	 ([technology][designs.])
I(18 20): 0.5821514129638672	 ([patents][designs.])
I(8 15): 0.5720432996749878	 ([legal][allegedly])
I(1 16): -0.5709939002990723	 ([world][infringing])
I(4 20): -0.5623512268066406	 ([mobile][designs.])
I(14 17): 0.5374240875244141	 ([manufacturers][technology])
I(7 10): 0.5356040000915527	 ([took][earlier])
I(13 19): -0.5218400955200195	 ([european][registered])
I(5 6): 0.5189275741577148	 ([phone][maker,])
I(11 19): -0.48867273330688477	 ([week][registered])
I(12 17): -0.4724454879760742	 ([two][technology])
I(0 10): -0.4545249938964844	 ([nokia,][earlier])
I(6 8): -0.4533573389053345	 ([maker,][legal])
I(8 17): -0.4503375291824341	 ([legal][technology])
I(2 7): -0.43660926818847656	 ([# 39 ; s][took])
I(2 4): -0.43455982208251953	 ([# 39 ; s][mobile])
I(13 17): 0.4152827262878418	 ([european][technology])
I(0 2): -0.412581205368042	 ([nokia,][# 39 ; s])
I(10 11): 0.3962925672531128	 ([earlier][week])
I(2 5): -0.365023136138916	 ([# 39 ; s][phone])
I(2 18): -0.35979485511779785	 ([# 39 ; s][patents])
I(6 14): 0.35217714309692383	 ([maker,][manufacturers])
I(6 17): -0.3438429832458496	 ([maker,][technology])
I(4 11): 0.3424544334411621	 ([mobile][week])
I(6 12): 0.33461928367614746	 ([maker,][two])
I(2 19): -0.3236680030822754	 ([# 39 ; s][registered])
I(5 16): -0.3158528804779053	 ([phone][infringing])
I(18 19): -0.31017541885375977	 ([patents][registered])
I(0 8): 0.30719172954559326	 ([nokia,][legal])
I(4 6): 0.3012828826904297	 ([mobile][maker,])
I(1 20): -0.30104494094848633	 ([world][designs.])
I(8 18): -0.30066978931427	 ([legal][patents])
I(10 16): -0.2751491069793701	 ([earlier][infringing])
I(12 14): 0.2703738212585449	 ([two][manufacturers])
I(3 8): -0.2671610116958618	 ([largest][legal])
I(8 9): 0.26557934284210205	 ([legal][action])
I(7 9): -0.251478910446167	 ([took][action])
I(3 18): 0.24753522872924805	 ([largest][patents])
I(3 12): 0.23842382431030273	 ([largest][two])
I(0 15): -0.22386789321899414	 ([nokia,][allegedly])
I(8 11): 0.22148633003234863	 ([legal][week])
I(3 7): -0.2084674835205078	 ([largest][took])
I(2 14): 0.19061756134033203	 ([# 39 ; s][manufacturers])
I(6 20): 0.18879151344299316	 ([maker,][designs.])
I(12 16): 0.18415403366088867	 ([two][infringing])
I(7 15): -0.1835625171661377	 ([took][allegedly])
I(2 3): 0.18213725090026855	 ([# 39 ; s][largest])
I(5 10): -0.1777815818786621	 ([phone][earlier])
I(2 9): -0.17747116088867188	 ([# 39 ; s][action])
Sum: 41.11062014102936
==================================================
