---------- Players ----------
Player 0: increasing
Player 1: power
Player 2: cellphones
Player 3: fast
Player 4: shaping
Player 5: innovative
Player 6: forms
Player 7: compact
Player 8: culture :
Player 9: micro - lit,
Player 10: phone
Player 11: soap
Player 12: operas
Player 13: made - for - mobile
Player 14: dramas.
---------- Rewards ----------
v(): 4.561448097229004	 ([])
v(7 12): -1.3149584531784058	 ([compact][operas])
v(7 13): 6.040816783905029	 ([compact][made - for - mobile])
v(7 14): 6.771328926086426	 ([compact][dramas.])
v(8 9): -1.6566509008407593	 ([culture :][micro - lit,])
v(8 10): 1.7364360094070435	 ([culture :][phone])
v(8 11): -3.2106146812438965	 ([culture :][soap])
v(8 12): -6.683845520019531	 ([culture :][operas])
v(8 13): 5.81199312210083	 ([culture :][made - for - mobile])
v(8 14): -5.732997894287109	 ([culture :][dramas.])
v(9 10): 6.365726947784424	 ([micro - lit,][phone])
v(9 11): -4.704229831695557	 ([micro - lit,][soap])
v(9 12): -3.8008556365966797	 ([micro - lit,][operas])
v(9 13): 5.677866458892822	 ([micro - lit,][made - for - mobile])
v(9 14): 1.6379989385604858	 ([micro - lit,][dramas.])
v(10 11): 5.994321346282959	 ([phone][soap])
v(10 12): 0.3528106212615967	 ([phone][operas])
v(10 13): 5.922068119049072	 ([phone][made - for - mobile])
v(10 14): 5.682620048522949	 ([phone][dramas.])
v(11 12): -3.233612537384033	 ([soap][operas])
v(11 13): 0.5415675640106201	 ([soap][made - for - mobile])
v(11 14): -3.4021120071411133	 ([soap][dramas.])
v(12 13): 1.6727168560028076	 ([operas][made - for - mobile])
v(12 14): -6.122457504272461	 ([operas][dramas.])
v(13 14): 4.736142158508301	 ([made - for - mobile][dramas.])
---------- Rewards-v() ----------
v(8 12): -11.245293617248535, EP: -64.37135314941406	 ([culture :][operas])
v(12 14): -10.683905601501465, EP: -61.157806396484375	 ([operas][dramas.])
v(8 14): -10.294445991516113, EP: -58.92842483520508	 ([culture :][dramas.])
v(0 12): -9.818624496459961, EP: -56.20468521118164	 ([increasing][operas])
v(9 11): -9.265678405761719, EP: -53.039459228515625	 ([micro - lit,][soap])
v(12): -9.114858627319336, EP: -52.17612075805664	 ([operas])
v(0 8): -9.093801498413086, EP: -52.05558395385742	 ([increasing][culture :])
v(11): -9.010767936706543, EP: -51.58027648925781	 ([soap])
v(5 12): -8.951400756835938, EP: -51.240440368652344	 ([innovative][operas])
v(8): -8.696783065795898, EP: -49.782936096191406	 ([culture :])
v(0 11): -8.648825645446777, EP: -49.5084114074707	 ([increasing][soap])
v(4 12): -8.438629150390625, EP: -48.3051872253418	 ([shaping][operas])
v(9 12): -8.362303733825684, EP: -47.86827850341797	 ([micro - lit,][operas])
v(5 11): -8.22300910949707, EP: -47.07091522216797	 ([innovative][soap])
v(4 11): -8.080068588256836, EP: -46.252681732177734	 ([shaping][soap])
v(11 14): -7.963560104370117, EP: -45.585750579833984	 ([soap][dramas.])
v(1 11): -7.951962947845459, EP: -45.51936721801758	 ([power][soap])
v(1 8): -7.815301895141602, EP: -44.73707962036133	 ([power][culture :])
v(11 12): -7.795060634613037, EP: -44.621212005615234	 ([soap][operas])
v(8 11): -7.7720627784729, EP: -44.489566802978516	 ([culture :][soap])
v(6 12): -7.744629859924316, EP: -44.3325309753418	 ([forms][operas])
v(1 12): -7.655552387237549, EP: -43.82262420654297	 ([power][operas])
v(3 11): -7.15440559387207, EP: -40.953914642333984	 ([fast][soap])
v(3 12): -6.595093727111816, EP: -37.75225067138672	 ([fast][operas])
v(8 9): -6.218099117279053, EP: -35.59422302246094	 ([culture :][micro - lit,])
v(7 12): -5.876406669616699, EP: -33.638275146484375	 ([compact][operas])
v(5 8): -5.806735992431641, EP: -33.23945999145508	 ([innovative][culture :])
v(6 11): -5.56704568862915, EP: -31.867401123046875	 ([forms][soap])
v(5 14): -5.476169586181641, EP: -31.347200393676758	 ([innovative][dramas.])
v(4 8): -5.322115421295166, EP: -30.465349197387695	 ([shaping][culture :])
v(0 4): -5.2267351150512695, EP: -29.919363021850586	 ([increasing][shaping])
v(0 14): -5.121376991271973, EP: -29.31626319885254	 ([increasing][dramas.])
v(0 5): -5.076556205749512, EP: -29.059696197509766	 ([increasing][innovative])
v(4 5): -5.046059608459473, EP: -28.88512420654297	 ([shaping][innovative])
v(7 11): -5.011778354644775, EP: -28.688888549804688	 ([compact][soap])
v(7 8): -4.35914421081543, EP: -24.953018188476562	 ([compact][culture :])
v(10 12): -4.208637237548828, EP: -24.091472625732422	 ([phone][operas])
v(0 3): -4.083056449890137, EP: -23.37261199951172	 ([increasing][fast])
v(11 13): -4.019880294799805, EP: -23.01097297668457	 ([soap][made - for - mobile])
v(4 9): -3.785914421081543, EP: -21.67168426513672	 ([shaping][micro - lit,])
v(3 8): -3.725860834121704, EP: -21.327919006347656	 ([fast][culture :])
v(14): -3.718135118484497, EP: -21.283695220947266	 ([dramas.])
v(0 9): -3.6682326793670654, EP: -20.99803924560547	 ([increasing][micro - lit,])
v(9 14): -2.9234490394592285, EP: -16.734678268432617	 ([micro - lit,][dramas.])
v(5): -2.9090709686279297, EP: -16.652374267578125	 ([innovative])
v(12 13): -2.8887312412261963, EP: -16.53594398498535	 ([operas][made - for - mobile])
v(6 14): -2.8722293376922607, EP: -16.441482543945312	 ([forms][dramas.])
v(8 10): -2.82501220703125, EP: -16.17119789123535	 ([culture :][phone])
v(5 9): -2.7861058712005615, EP: -15.948486328125	 ([innovative][micro - lit,])
v(6 8): -2.5163793563842773, EP: -14.404492378234863	 ([forms][culture :])
v(7 10): 2.5161056518554688, EP: 14.402926445007324	 ([compact][phone])
v(1 4): -2.4659202098846436, EP: -14.115650177001953	 ([power][shaping])
v(0): -2.413776397705078, EP: -13.817163467407227	 ([increasing])
v(1 14): -2.3871827125549316, EP: -13.664933204650879	 ([power][dramas.])
v(7): 2.372142791748047, EP: 13.578840255737305	 ([compact])
v(6 7): 2.332634449005127, EP: 13.352683067321777	 ([forms][compact])
v(3 10): 2.3030714988708496, EP: 13.183456420898438	 ([fast][phone])
v(2 8): 2.2960267066955566, EP: 13.143129348754883	 ([cellphones][culture :])
v(7 14): 2.209880828857422, EP: 12.650005340576172	 ([compact][dramas.])
v(3 14): -2.1576268672943115, EP: -12.3508882522583	 ([fast][dramas.])
v(10): 2.079524517059326, EP: 11.903807640075684	 ([phone])
v(4 14): -2.056375026702881, EP: -11.771293640136719	 ([shaping][dramas.])
v(1 7): 2.0354366302490234, EP: 11.651435852050781	 ([power][compact])
v(0 10): 1.99261474609375, EP: 11.40631103515625	 ([increasing][phone])
v(1 5): -1.9771842956542969, EP: -11.31798267364502	 ([power][innovative])
v(3 7): 1.970719337463379, EP: 11.280975341796875	 ([fast][compact])
v(6 10): 1.8381900787353516, EP: 10.5223388671875	 ([forms][phone])
v(9 10): 1.80427885055542, EP: 10.328221321105957	 ([micro - lit,][phone])
v(4): -1.7947678565979004, EP: -10.27377700805664	 ([shaping])
v(2 14): 1.7688665390014648, EP: 10.125510215759277	 ([cellphones][dramas.])
v(7 9): 1.7307243347167969, EP: 9.907173156738281	 ([compact][micro - lit,])
v(1 10): 1.6696314811706543, EP: 9.557459831237793	 ([power][phone])
v(1 13): 1.6660709381103516, EP: 9.537077903747559	 ([power][made - for - mobile])
v(0 7): 1.6456413269042969, EP: 9.420133590698242	 ([increasing][compact])
v(3 13): 1.6032776832580566, EP: 9.177631378173828	 ([fast][made - for - mobile])
v(4 10): 1.5891914367675781, EP: 9.096997261047363	 ([shaping][phone])
v(3 6): 1.552302360534668, EP: 8.885833740234375	 ([fast][forms])
v(2 12): 1.5012149810791016, EP: 8.59339427947998	 ([cellphones][operas])
v(7 13): 1.4793686866760254, EP: 8.468339920043945	 ([compact][made - for - mobile])
v(10 11): 1.432873249053955, EP: 8.202186584472656	 ([phone][soap])
v(6 13): 1.4244804382324219, EP: 8.154143333435059	 ([forms][made - for - mobile])
v(2): 1.4107580184936523, EP: 8.075592041015625	 ([cellphones])
v(10 13): 1.3606200218200684, EP: 7.78858757019043	 ([phone][made - for - mobile])
v(0 2): 1.3583884239196777, EP: 7.775813579559326	 ([increasing][cellphones])
v(2 7): 1.3530607223510742, EP: 7.745316028594971	 ([cellphones][compact])
v(13): 1.331310749053955, EP: 7.620812892913818	 ([made - for - mobile])
v(1 2): 1.3013839721679688, EP: 7.449503421783447	 ([power][cellphones])
v(8 13): 1.2505450248718262, EP: 7.158486366271973	 ([culture :][made - for - mobile])
v(2 11): 1.2500805854797363, EP: 7.155827522277832	 ([cellphones][soap])
v(6): 1.234363079071045, EP: 7.065855979919434	 ([forms])
v(2 10): 1.192728042602539, EP: 6.827524662017822	 ([cellphones][phone])
v(2 3): 1.1346535682678223, EP: 6.495089530944824	 ([cellphones][fast])
v(2 6): 1.130183219909668, EP: 6.4695000648498535	 ([cellphones][forms])
v(10 14): 1.1211719512939453, EP: 6.417916774749756	 ([phone][dramas.])
v(9 13): 1.1164183616638184, EP: 6.3907060623168945	 ([micro - lit,][made - for - mobile])
v(3 5): -1.1113808155059814, EP: -6.3618693351745605	 ([fast][innovative])
v(0 1): -1.097212791442871, EP: -6.280767440795898	 ([increasing][power])
v(5 10): 1.0215611457824707, EP: 5.847715377807617	 ([innovative][phone])
v(6 9): 0.9888978004455566, EP: 5.660740852355957	 ([forms][micro - lit,])
v(0 13): 0.9284286499023438, EP: 5.3145976066589355	 ([increasing][made - for - mobile])
v(3): 0.9153709411621094, EP: 5.239851474761963	 ([fast])
v(2 4): 0.9105253219604492, EP: 5.212113857269287	 ([cellphones][shaping])
v(4 13): 0.8928475379943848, EP: 5.1109209060668945	 ([shaping][made - for - mobile])
v(1 9): -0.7952580451965332, EP: -4.552289962768555	 ([power][micro - lit,])
v(4 6): -0.7902178764343262, EP: -4.523438930511475	 ([shaping][forms])
v(2 13): 0.7869257926940918, EP: 4.504593849182129	 ([cellphones][made - for - mobile])
v(2 9): 0.7530322074890137, EP: 4.310576915740967	 ([cellphones][micro - lit,])
v(3 4): -0.6691102981567383, EP: -3.830183506011963	 ([fast][shaping])
v(1 6): 0.657599925994873, EP: 3.7642946243286133	 ([power][forms])
v(1): -0.5189352035522461, EP: -2.9705371856689453	 ([power])
v(0 6): 0.4677906036376953, EP: 2.6777706146240234	 ([increasing][forms])
v(5 7): 0.41400909423828125, EP: 2.3699092864990234	 ([innovative][compact])
v(3 9): 0.3922700881958008, EP: 2.245468854904175	 ([fast][micro - lit,])
v(9): 0.3272275924682617, EP: 1.873146653175354	 ([micro - lit,])
v(2 5): 0.29424571990966797, EP: 1.684348702430725	 ([cellphones][innovative])
v(1 3): 0.26743459701538086, EP: 1.5308740139007568	 ([power][fast])
v(5 6): 0.259854793548584, EP: 1.4874849319458008	 ([innovative][forms])
v(5 13): 0.18027877807617188, EP: 1.031968593597412	 ([innovative][made - for - mobile])
v(13 14): 0.17469406127929688, EP: 1.0	 ([made - for - mobile][dramas.])
v(4 7): 0.11475801467895508, EP: 0.6569085121154785	 ([shaping][compact])
v(): 0.0, EP: 0.0	 ([])
==================================================
