---------- AND Interactions ----------
I(31): 1.8750367164611816	 ([enjoy])
I(31,43): 0.10678660869598389	 ([enjoy][slam])
I(30,34): -0.10674929618835449	 ([ever][past])
I(20,32): -0.10631179809570312	 ([crazy?][way. i])
I(0,10): 0.10621285438537598	 ([afraid][.....])
I(37,44): -0.10532879829406738	 ([type][..... duh])
I(29,39): 0.10514891147613525	 ([phone][type])
I(18,43): -0.10461580753326416	 ([riggs][slam])
I(1,43): 0.10415709018707275	 ([movie][slam])
I(16,37): -0.1041182279586792	 ([know][type])
I(36,43): 0.10347199440002441	 ([like][slam])
I(3,29): 0.1033560037612915	 ([watch][phone])
I(6,9): 0.10310018062591553	 ([it. i][like])
I(28,41): 0.10277962684631348	 ([talk][watch])
I(6,8): -0.10266053676605225	 ([it. i][movie])
I(15): -0.1026390790939331	 (["])
I(25,27): 0.10121345520019531	 ([beginning.][everywhere])
I(4,45): 0.10121071338653564	 ([get][get])
I(11,37): -0.10116541385650635	 ([leathal][type])
I(25,39): -0.10099387168884277	 ([beginning.][type])
I(28,37): -0.10069918632507324	 ([talk][type])
I(6,42): -0.10044574737548828	 ([it. i][movie])
I(20,37): -0.09962975978851318	 ([crazy?][type])
I(18,38): -0.09959113597869873	 ([riggs][movie])
I(10,12): 0.09932160377502441	 ([.....][weapon])
I(18,44): 0.09903979301452637	 ([riggs][..... duh])
I(17,31): -0.09869670867919922	 ([one][enjoy])
I(21,32): 0.09862613677978516	 ([movie][way. i])
I(31,44): -0.09814047813415527	 ([enjoy][..... duh])
I(4,33): -0.09796249866485596	 ([get][noticed])
I(3): 0.09784507751464844	 ([watch])
I(6,10): 0.09752094745635986	 ([it. i][.....])
I(16,28): 0.09732508659362793	 ([know][talk])
I(30,38): 0.09710073471069336	 ([ever][movie])
I(21,22): -0.09655618667602539	 ([movie][pretty])
I(12,14): -0.09655201435089111	 ([weapon][58])
I(16,42): -0.09639942646026611	 ([know][movie])
I(16,38): -0.09627234935760498	 ([know][movie])
I(16,31): 0.09616339206695557	 ([know][enjoy])
I(10,38): -0.09538424015045166	 ([.....][movie])
I(0,6): 0.09450423717498779	 ([afraid][it. i])
I(16,17): -0.09442520141601562	 ([know][one])
I(6,34): -0.09414398670196533	 ([it. i][past])
I(17,38): 0.09304440021514893	 ([one][movie])
I(6,35): 0.09301447868347168	 ([it. i][people])
I(14,16): 0.09285843372344971	 ([58][know])
I(0,18): -0.09279036521911621	 ([afraid][riggs])
I(1,22): -0.09254264831542969	 ([movie][pretty])
I(26,43): 0.09236347675323486	 ([run][slam])
I(3,42): 0.09219086170196533	 ([watch][movie])
I(18,21): 0.09189820289611816	 ([riggs][movie])
I(5): -0.09074616432189941	 ([anything])
I(1,18): 0.0906071662902832	 ([movie][riggs])
I(4,16): -0.08993494510650635	 ([get][know])
I(28,32): -0.08914816379547119	 ([talk][way. i])
I(10,22): -0.08912849426269531	 ([.....][pretty])
I(12,36): -0.08906412124633789	 ([weapon][like])
I(18,30): -0.08883166313171387	 ([riggs][ever])
I(25,26): 0.08844554424285889	 ([beginning.][run])
I(18,28): 0.08779370784759521	 ([riggs][talk])
I(0,20): 0.08707332611083984	 ([afraid][crazy?])
I(32,39): -0.08688688278198242	 ([way. i][type])
I(16,39): -0.08661234378814697	 ([know][type])
I(12,30): -0.08645319938659668	 ([weapon][ever])
I(20,36): -0.08586239814758301	 ([crazy?][like])
I(1,12): 0.08576464653015137	 ([movie][weapon])
I(39,40): -0.08575868606567383	 ([type][anything])
I(20,24): 0.0853344202041626	 ([crazy?][end])
I(3,31): -0.08522272109985352	 ([watch][enjoy])
I(24,26): 0.08485019207000732	 ([end][run])
I(25,33): 0.08471059799194336	 ([beginning.][noticed])
I(26,41): 0.08410871028900146	 ([run][watch])
I(10,31): -0.08393335342407227	 ([.....][enjoy])
I(12,31): -0.08317160606384277	 ([weapon][enjoy])
I(11,32): 0.08283495903015137	 ([leathal][way. i])
I(16,32): -0.08240187168121338	 ([know][way. i])
I(7,36): 0.08234798908233643	 ([mindless][like])
I(7,43): 0.08217418193817139	 ([mindless][slam])
I(6,45): -0.08200907707214355	 ([it. i][get])
I(6,25): -0.08170628547668457	 ([it. i][beginning.])
I(0,13): -0.0814366340637207	 ([afraid][part])
I(1,24): 0.08126544952392578	 ([movie][end])
I(1,15): -0.08056938648223877	 ([movie]["])
I(2,29): 0.08052241802215576	 ([actually][phone])
I(9,20): 0.08033764362335205	 ([like][crazy?])
I(29,44): 0.080330491065979	 ([phone][..... duh])
I(12,26): 0.08016848564147949	 ([weapon][run])
I(6,27): 0.07942056655883789	 ([it. i][everywhere])
I(21,42): 0.07941436767578125	 ([movie][movie])
I(31,41): -0.07872354984283447	 ([enjoy][watch])
I(7,20): 0.07872211933135986	 ([mindless][crazy?])
I(11,25): 0.07866525650024414	 ([leathal][beginning.])
I(22,30): -0.07862663269042969	 ([pretty][ever])
I(10,44): 0.07858014106750488	 ([.....][..... duh])
I(30,44): 0.07846450805664062	 ([ever][..... duh])
I(0,44): 0.07832789421081543	 ([afraid][..... duh])
I(31,39): -0.07797098159790039	 ([enjoy][type])
I(16,20): 0.07780718803405762	 ([know][crazy?])
I(21,31): 0.07772064208984375	 ([movie][enjoy])
I(5,38): 0.07771813869476318	 ([anything][movie])
I(5,36): -0.07761943340301514	 ([anything][like])
I(17,19): 0.07753849029541016	 ([one][really])
I(28,44): 0.07644927501678467	 ([talk][..... duh])
I(5,40): -0.07605767250061035	 ([anything][anything])
I(6,16): -0.07598018646240234	 ([it. i][know])
I(14): -0.07568132877349854	 ([58])
I(31,36): 0.07563674449920654	 ([enjoy][like])
I(6,44): 0.0755455493927002	 ([it. i][..... duh])
I(12,44): 0.07505357265472412	 ([weapon][..... duh])
I(20,44): -0.07500565052032471	 ([crazy?][..... duh])
I(1,40): -0.07493376731872559	 ([movie][anything])
I(8,41): 0.07482147216796875	 ([movie][watch])
I(2,27): 0.07465898990631104	 ([actually][everywhere])
I(20,39): -0.07459521293640137	 ([crazy?][type])
I(32,35): 0.07436442375183105	 ([way. i][people])
I(3,10): -0.07426261901855469	 ([watch][.....])
I(21,34): 0.0733792781829834	 ([movie][past])
I(10,41): 0.07318234443664551	 ([.....][watch])
I(33,45): 0.07288491725921631	 ([noticed][get])
I(1,23): 0.07260632514953613	 ([movie][much])
I(33,44): 0.0716484785079956	 ([noticed][..... duh])
I(3,12): 0.07143628597259521	 ([watch][weapon])
I(12,35): 0.07135677337646484	 ([weapon][people])
I(34,35): -0.07112789154052734	 ([past][people])
I(6,40): 0.07105636596679688	 ([it. i][anything])
I(34,39): -0.07103824615478516	 ([past][type])
I(40,44): 0.0709686279296875	 ([anything][..... duh])
I(7,18): 0.07036137580871582	 ([mindless][riggs])
I(3,4): -0.07000935077667236	 ([watch][get])
I(21,35): 0.06955695152282715	 ([movie][people])
I(7,26): 0.06899595260620117	 ([mindless][run])
I(34,37): -0.06899046897888184	 ([past][type])
I(15,25): 0.06870663166046143	 (["][beginning.])
I(0,8): -0.06841683387756348	 ([afraid][movie])
I(28,34): -0.06827175617218018	 ([talk][past])
I(29,42): 0.06814253330230713	 ([phone][movie])
I(29,34): -0.06803739070892334	 ([phone][past])
I(3,36): -0.06799280643463135	 ([watch][like])
I(10,25): -0.06798422336578369	 ([.....][beginning.])
I(7,31): -0.06771039962768555	 ([mindless][enjoy])
I(4,12): -0.06769812107086182	 ([get][weapon])
I(5,43): 0.06760525703430176	 ([anything][slam])
I(5,31): -0.06754755973815918	 ([anything][enjoy])
I(33,41): 0.06738996505737305	 ([noticed][watch])
I(10,32): 0.06708788871765137	 ([.....][way. i])
I(7,11): -0.06663811206817627	 ([mindless][leathal])
I(7,37): -0.06614112854003906	 ([mindless][type])
I(29,33): -0.06548655033111572	 ([phone][noticed])
I(2,5): 0.06530964374542236	 ([actually][anything])
I(20,29): 0.06524419784545898	 ([crazy?][phone])
I(40,41): -0.06484997272491455	 ([anything][watch])
I(7,13): 0.06424617767333984	 ([mindless][part])
I(31,33): 0.06370329856872559	 ([enjoy][noticed])
I(27,36): 0.06353914737701416	 ([everywhere][like])
I(7,12): 0.0632014274597168	 ([mindless][weapon])
I(20,21): 0.06259846687316895	 ([crazy?][movie])
I(10,29): 0.06218159198760986	 ([.....][phone])
I(4,11): -0.06187880039215088	 ([get][leathal])
I(34,38): 0.0617828369140625	 ([past][movie])
I(20,33): 0.06175661087036133	 ([crazy?][noticed])
I(10,26): 0.06142842769622803	 ([.....][run])
I(12,28): 0.06092524528503418	 ([weapon][talk])
I(5,35): -0.060442447662353516	 ([anything][people])
I(16,27): 0.06019103527069092	 ([know][everywhere])
I(24,25): 0.060127854347229004	 ([end][beginning.])
I(15,33): -0.05939757823944092	 (["][noticed])
I(4,42): -0.05939435958862305	 ([get][movie])
I(18,37): -0.05923295021057129	 ([riggs][type])
I(31,42): -0.05912792682647705	 ([enjoy][movie])
I(42,45): -0.058592796325683594	 ([movie][get])
I(30,33): -0.05849146842956543	 ([ever][noticed])
I(2,35): 0.058342814445495605	 ([actually][people])
I(4,5): -0.058258771896362305	 ([get][anything])
I(27,30): -0.058203935623168945	 ([everywhere][ever])
I(2,36): -0.05812275409698486	 ([actually][like])
I(10,13): 0.058069705963134766	 ([.....][part])
I(19,30): -0.057440996170043945	 ([really][ever])
I(9,44): 0.05728256702423096	 ([like][..... duh])
I(0,22): 0.0572432279586792	 ([afraid][pretty])
I(23): 0.05695676803588867	 ([much])
I(41,45): -0.05670273303985596	 ([watch][get])
I(21,29): 0.05660569667816162	 ([movie][phone])
I(7,28): 0.05630838871002197	 ([mindless][talk])
I(9,36): 0.05585622787475586	 ([like][like])
I(23,36): 0.055763840675354004	 ([much][like])
I(25,41): 0.05574667453765869	 ([beginning.][watch])
I(3,34): 0.0555729866027832	 ([watch][past])
I(4,21): -0.05537223815917969	 ([get][movie])
I(2,8): -0.05531024932861328	 ([actually][movie])
I(9,12): -0.055302977561950684	 ([like][weapon])
I(2,30): 0.05525338649749756	 ([actually][ever])
I(16,22): -0.055208683013916016	 ([know][pretty])
I(10,37): 0.055025577545166016	 ([.....][type])
I(22,25): 0.0549473762512207	 ([pretty][beginning.])
I(6,20): -0.0548630952835083	 ([it. i][crazy?])
I(10,36): 0.05472302436828613	 ([.....][like])
I(35,41): 0.05464732646942139	 ([people][watch])
I(7,41): 0.05464184284210205	 ([mindless][watch])
I(32,42): -0.05458700656890869	 ([way. i][movie])
I(21): 0.054564476013183594	 ([movie])
I(36,41): 0.05418825149536133	 ([like][watch])
I(26,44): 0.053957581520080566	 ([run][..... duh])
I(3,9): -0.05381631851196289	 ([watch][like])
I(22,32): -0.05377340316772461	 ([pretty][way. i])
I(20,40): 0.05333507061004639	 ([crazy?][anything])
I(19,22): -0.052765846252441406	 ([really][pretty])
I(10,40): 0.052687644958496094	 ([.....][anything])
I(6,28): -0.05265223979949951	 ([it. i][talk])
I(6,11): 0.0525432825088501	 ([it. i][leathal])
I(8,36): 0.052201151847839355	 ([movie][like])
I(0,40): 0.051844239234924316	 ([afraid][anything])
I(16,44): -0.05182933807373047	 ([know][..... duh])
I(3,25): 0.051775217056274414	 ([watch][beginning.])
I(33,39): -0.051544904708862305	 ([noticed][type])
I(11,18): 0.051531434059143066	 ([leathal][riggs])
I(8,37): -0.05138063430786133	 ([movie][type])
I(7,34): 0.051068782806396484	 ([mindless][past])
I(4,31): 0.05106401443481445	 ([get][enjoy])
I(2,21): -0.05082857608795166	 ([actually][movie])
I(22,40): -0.05073261260986328	 ([pretty][anything])
I(15,38): -0.050710439682006836	 (["][movie])
I(12,24): -0.050557851791381836	 ([weapon][end])
I(19,31): -0.05022239685058594	 ([really][enjoy])
I(25,43): 0.0501786470413208	 ([beginning.][slam])
I(2,17): 0.04985833168029785	 ([actually][one])
I(25,42): -0.04976606369018555	 ([beginning.][movie])
I(18,26): -0.04975450038909912	 ([riggs][run])
I(9,22): -0.049662113189697266	 ([like][pretty])
I(0,9): 0.04937100410461426	 ([afraid][like])
I(0,19): 0.049315452575683594	 ([afraid][really])
I(37,42): -0.049311041831970215	 ([type][movie])
I(17,21): 0.0492098331451416	 ([one][movie])
I(18,24): -0.04902362823486328	 ([riggs][end])
I(27,44): 0.049004554748535156	 ([everywhere][..... duh])
I(3,13): 0.048952341079711914	 ([watch][part])
I(11,28): 0.048879384994506836	 ([leathal][talk])
I(24,29): 0.04885268211364746	 ([end][phone])
I(22,44): 0.048773884773254395	 ([pretty][..... duh])
I(3,17): 0.04872393608093262	 ([watch][one])
I(7,25): 0.04856443405151367	 ([mindless][beginning.])
I(33,42): 0.04851830005645752	 ([noticed][movie])
I(7,27): 0.048001766204833984	 ([mindless][everywhere])
I(0,21): 0.04787755012512207	 ([afraid][movie])
I(0,26): -0.047759413719177246	 ([afraid][run])
I(26,35): 0.0477217435836792	 ([run][people])
I(30,32): -0.047540903091430664	 ([ever][way. i])
I(7,10): -0.047370314598083496	 ([mindless][.....])
I(26,38): -0.04727160930633545	 ([run][movie])
I(20,41): 0.04714632034301758	 ([crazy?][watch])
I(16,43): -0.047078847885131836	 ([know][slam])
I(10,30): 0.04705309867858887	 ([.....][ever])
I(0,11): -0.047026634216308594	 ([afraid][leathal])
Sum: -4.748414754867554
==================================================
