---------- AND Interactions ----------
I(FG): -3.825232744216919	 ([healthy][gunfight])
I(N{): -0.5022673606872559	 ([motel][crawl - space])
I(Gr): -0.49825915694236755	 ([gunfight][pressure])
I(JL): -0.49819716811180115	 ([exotic][delicatessen,])
I(E{): -0.4941452741622925	 ([sketch.][crawl - space])
I(Nu): 0.4931093454360962	 ([motel][incessant])
I(D|): 0.49008870124816895	 ([redeemed][chic,])
I(Dd): -0.48932111263275146	 ([redeemed][snags ;])
I([\): -0.4864828884601593	 ([rubber][house.])
I(Ei): -0.472455769777298	 ([sketch.][windscreen,])
I(XY): 0.47139739990234375	 ([guys][they'd])
I(EX): -0.4648544192314148	 ([sketch.][guys])
I(br): -0.4638305902481079	 ([smithereens,][pressure])
I(es): -0.46317005157470703	 ([whore][bloody])
I(k|): 0.4622814655303955	 ([protagonist][chic,])
I(Iq): 0.45942795276641846	 ([couple,][coolness])
I([k): -0.45910000801086426	 ([rubber][protagonist])
I(gh): -0.4584769010543823	 (["][ode])
I(Gs): -0.4559265375137329	 ([gunfight][bloody])
I(DH): -0.45541611313819885	 ([redeemed][happy])
I(Fu): -0.4552725553512573	 ([healthy][incessant])
I(ar): -0.45441967248916626	 ([shack][pressure])
I(ab): -0.4492610692977905	 ([shack][smithereens,])
I(F_): -0.446466326713562	 ([healthy][blown])
I(E[): -0.44138675928115845	 ([sketch.][rubber])
I([a): -0.43853330612182617	 ([rubber][shack])
I(Nf): 0.4371687173843384	 ([motel][bitch])
I(ev): -0.4348328113555908	 ([whore][phone])
I(fh): -0.4348151683807373	 ([bitch][ode])
I(er): -0.4329826831817627	 ([whore][pressure])
I(m|): 0.43284904956817627	 ([friends,][chic,])
I(Fk): 0.43277299404144287	 ([healthy][protagonist])
I(F{): -0.42984580993652344	 ([healthy][crawl - space])
I(TW): 0.42978423833847046	 ([watching][rent - boy])
I(FH): -0.42829611897468567	 ([healthy][happy])
I(jq): -0.42629677057266235	 ([reason][coolness])
I(pr): -0.42601147294044495	 ([explaining][pressure])
I(rt): -0.4244343638420105	 ([pressure][tampon,])
I(i{): -0.4230351448059082	 ([windscreen,][crawl - space])
I(TX): 0.4211505651473999	 ([watching][guys])
I(hq): 0.4208359718322754	 ([ode][coolness])
I(ds): -0.4204862117767334	 ([snags ;][bloody])
I(ad): -0.41912057995796204	 ([shack][snags ;])
I(Jq): -0.41823482513427734	 ([exotic][coolness])
I(di): 0.4181746244430542	 ([snags ;][windscreen,])
I(q{): -0.4176977872848511	 ([coolness][crawl - space])
I(_e): -0.41721105575561523	 ([blown][whore])
I(GW): 0.4075407385826111	 ([gunfight][rent - boy])
I(f): 0.4071066081523895	 ([bitch])
I(Ni): -0.405012845993042	 ([motel][windscreen,])
I(ik): -0.4016594886779785	 ([windscreen,][protagonist])
I(`): 0.3987181484699249	 ([freezing])
I(ps): 0.39844441413879395	 ([explaining][bloody])
I(Kr): 0.39732974767684937	 ([model][pressure])
I(Yq): 0.39676761627197266	 ([they'd][coolness])
I(`r): -0.3952784240245819	 ([freezing][pressure])
I(N|): 0.39469754695892334	 ([motel][chic,])
I(dq): 0.39440417289733887	 ([snags ;][coolness])
I(GP): 0.39436766505241394	 ([gunfight][would])
I(Fh): 0.394250750541687	 ([healthy][ode])
I(Bu): -0.3931560516357422	 ([thing][incessant])
I(Fi): -0.39112770557403564	 ([healthy][windscreen,])
I(W|): 0.3908073902130127	 ([rent - boy][chic,])
I(iq): 0.39025259017944336	 ([windscreen,][coolness])
I(fs): 0.38930943608283997	 ([bitch][bloody])
I(e~): -0.38911959528923035	 ([whore][thumb,])
I(GX): 0.3879200220108032	 ([gunfight][guys])
I(Gf): 0.38453394174575806	 ([gunfight][bitch])
I(qs): -0.38413023948669434	 ([coolness][bloody])
I([q): -0.3839062452316284	 ([rubber][coolness])
I(Dj): -0.3814634382724762	 ([redeemed][reason])
I(Ik): 0.37985658645629883	 ([couple,][protagonist])
I(Nj): 0.37948501110076904	 ([motel][reason])
I(`u): -0.37850549817085266	 ([freezing][incessant])
I(_u): -0.37842297554016113	 ([blown][incessant])
I(kt): 0.3774590492248535	 ([protagonist][tampon,])
I(Tk): 0.3722066879272461	 ([watching][protagonist])
I(qu): -0.3707995116710663	 ([coolness][incessant])
I(b|): -0.3687793016433716	 ([smithereens,][chic,])
I(_r): -0.3684552311897278	 ([blown][pressure])
I(cr): -0.36838555335998535	 ([resolved][pressure])
I(}): -0.3670879304409027	 ([green])
I(is): 0.3667716979980469	 ([windscreen,][bloody])
I(Gm): 0.36613184213638306	 ([gunfight][friends,])
I(EJ): -0.3646480143070221	 ([sketch.][exotic])
I(Tq): 0.3623847961425781	 ([watching][coolness])
I(F}): 0.36190304160118103	 ([healthy][green])
I(Xd): 0.35624444484710693	 ([guys][snags ;])
I(fk): 0.35617196559906006	 ([bitch][protagonist])
I(DE): -0.35571518540382385	 ([redeemed][sketch.])
I(Hk): 0.3554483652114868	 ([happy][protagonist])
I(kr): -0.35482048988342285	 ([protagonist][pressure])
I(^_): 0.35199737548828125	 ([could][blown])
I(Ld): 0.3485102951526642	 ([delicatessen,][snags ;])
I(Lb): -0.3480408191680908	 ([delicatessen,][smithereens,])
I(ER): -0.3469131886959076	 ([sketch.][out )])
I(bc): -0.34642261266708374	 ([smithereens,][resolved])
I(Gc): -0.34630724787712097	 ([gunfight][resolved])
I(fi): -0.34625110030174255	 ([bitch][windscreen,])
I(DX): 0.34468162059783936	 ([redeemed][guys])
I(Zd): 0.34323498606681824	 ([shared][snags ;])
I(u{): 0.34260547161102295	 ([incessant][crawl - space])
I(IL): 0.3414834439754486	 ([couple,][delicatessen,])
I(DN): -0.34147965908050537	 ([redeemed][motel])
I(Nh): -0.33982014656066895	 ([motel][ode])
I(Db): -0.33940282464027405	 ([redeemed][smithereens,])
I(Vq): 0.33853840827941895	 ([aging][coolness])
I(Aq): 0.33789682388305664	 ([one][coolness])
I(ej): 0.33783453702926636	 ([whore][reason])
I(dh): 0.33290159702301025	 ([snags ;][ode])
I(Eq): 0.33234548568725586	 ([sketch.][coolness])
I(\r): -0.33155930042266846	 ([house.][pressure])
I(FW): -0.32803788781166077	 ([healthy][rent - boy])
I(Xf): 0.3275439739227295	 ([guys][bitch])
I(oq): 0.3274117708206177	 ([well][coolness])
I(hu): 0.3270392417907715	 ([ode][incessant])
I(s|): -0.32677900791168213	 ([bloody][chic,])
I(Zs): -0.3252882957458496	 ([shared][bloody])
I(EU): -0.32349228858947754	 ([sketch.][woods])
I(Ee): -0.31980347633361816	 ([sketch.][whore])
I(nq): 0.31977909803390503	 (["][coolness])
I(bl): -0.31900811195373535	 ([smithereens,][" no])
I(dl): -0.3147770166397095	 ([snags ;][" no])
I(v): 0.31441181898117065	 ([phone])
I(`q): 0.31372305750846863	 ([freezing][coolness])
I(\t): 0.31227779388427734	 ([house.][tampon,])
I(GL): 0.3121432662010193	 ([gunfight][delicatessen,])
I(jl): 0.3114933967590332	 ([reason][" no])
I(^c): 0.3111798167228699	 ([could][resolved])
I(Zh): 0.30870628356933594	 ([shared][ode])
I(E): -0.3079305589199066	 ([sketch.])
I(Wd): 0.30732473731040955	 ([rent - boy][snags ;])
I(Le): -0.30649280548095703	 ([delicatessen,][whore])
I(Nr): 0.3064006567001343	 ([motel][pressure])
I(Dc): -0.30617234110832214	 ([redeemed][resolved])
I(Ec): -0.3055228590965271	 ([sketch.][resolved])
I(Ue): -0.3050612211227417	 ([woods][whore])
I(GO): -0.3048487603664398	 ([gunfight][( it])
I(\|): 0.30455589294433594	 ([house.][chic,])
I(lr): -0.30375903844833374	 ([" no][pressure])
I(l|): 0.30213603377342224	 ([" no][chic,])
I(el): -0.30182576179504395	 ([whore][" no])
I(Dr): -0.2999483048915863	 ([redeemed][pressure])
I(bf): -0.2994769811630249	 ([smithereens,][bitch])
I(]u): -0.2991875112056732	 ([process,][incessant])
I(Fd): 0.29850471019744873	 ([healthy][snags ;])
I(XZ): -0.29822731018066406	 ([guys][shared])
I(qr): 0.297137975692749	 ([coolness][pressure])
I(ET): -0.2958889603614807	 ([sketch.][watching])
I(G}): 0.2958759069442749	 ([gunfight][green])
I(W): 0.29497697949409485	 ([rent - boy])
I(EK): 0.2947906255722046	 ([sketch.][model])
I(U): -0.294459730386734	 ([woods])
I(ux): 0.2936253249645233	 ([incessant][.])
I(Xk): 0.2922900319099426	 ([guys][protagonist])
I(EZ): 0.29219290614128113	 ([sketch.][shared])
I(cu): -0.29050564765930176	 ([resolved][incessant])
I(kl): 0.2874082326889038	 ([protagonist][" no])
I(FV): 0.2856910228729248	 ([healthy][aging])
I(d{): -0.2842984199523926	 ([snags ;][crawl - space])
I(em): 0.2835578918457031	 ([whore][friends,])
I(Y|): 0.2827637195587158	 ([they'd][chic,])
I(T[): 0.2816641330718994	 ([watching][rubber])
I(\i): -0.2814347743988037	 ([house.][windscreen,])
I(I|): 0.28090977668762207	 ([couple,][chic,])
I(GI): 0.2808492183685303	 ([gunfight][couple,])
I(ce): -0.28060007095336914	 ([resolved][whore])
I(Np): 0.28048574924468994	 ([motel][explaining])
I([t): -0.27874600887298584	 ([rubber][tampon,])
I(fu): -0.2780248820781708	 ([bitch][incessant])
I(BF): 0.27589619159698486	 ([thing][healthy])
I(Li): -0.2728338837623596	 ([delicatessen,][windscreen,])
I(op): -0.2718578577041626	 ([well][explaining])
I(U\): 0.27163103222846985	 ([woods][house.])
I(Ea): -0.2712225615978241	 ([sketch.][shack])
I(Xt): 0.2705380916595459	 ([guys][tampon,])
I(EL): -0.2702920436859131	 ([sketch.][delicatessen,])
I(D): -0.2688312828540802	 ([redeemed])
I(qw): -0.2683985233306885	 ([coolness][calls])
I(Fm): -0.26785242557525635	 ([healthy][friends,])
I(Ii): -0.2677217721939087	 ([couple,][windscreen,])
I(]q): 0.2668997347354889	 ([process,][coolness])
I(I{): 0.266803503036499	 ([couple,][crawl - space])
I(bh): 0.2621365189552307	 ([smithereens,][ode])
I(k}): 0.26048538088798523	 ([protagonist][green])
I(Bk): 0.26045775413513184	 ([thing][protagonist])
I(Zc): 0.25987479090690613	 ([shared][resolved])
I(al): -0.2597241699695587	 ([shack][" no])
I(N}): 0.25850558280944824	 ([motel][green])
I(Nv): -0.2579745650291443	 ([motel][phone])
I(Wf): 0.2567022740840912	 ([rent - boy][bitch])
I(Es): -0.2561389207839966	 ([sketch.][bloody])
I(Hq): 0.25490474700927734	 ([happy][coolness])
I(|}): 0.2547677755355835	 ([chic,][green])
I(EV): -0.25476357340812683	 ([sketch.][aging])
I(H{): 0.254064679145813	 ([happy][crawl - space])
I(UV): 0.25230780243873596	 ([woods][aging])
I(`l): -0.25223711133003235	 ([freezing][" no])
I(SX): 0.2510946989059448	 ([secretly][guys])
I(Pu): -0.24904346466064453	 ([would][incessant])
I(}~): 0.24664142727851868	 ([green][thumb,])
I(ft): 0.24565389752388	 ([bitch][tampon,])
I(N[): -0.24484539031982422	 ([motel][rubber])
I(\h): 0.24325835704803467	 ([house.][ode])
I(Fb): -0.2431180477142334	 ([healthy][smithereens,])
I(P): 0.24296337366104126	 ([would])
I(ES): -0.24188590049743652	 ([sketch.][secretly])
I(Qr): -0.24180802702903748	 ([turned][pressure])
I(Gh): -0.2390507459640503	 ([gunfight][ode])
I(Jr): 0.23880106210708618	 ([exotic][pressure])
I(]h): 0.23875382542610168	 ([process,][ode])
I(nu): -0.23865801095962524	 (["][incessant])
I(ep): 0.23830127716064453	 ([whore][explaining])
I(eh): 0.23742175102233887	 ([whore][ode])
I([|): -0.23722565174102783	 ([rubber][chic,])
I(Xp): 0.23666322231292725	 ([guys][explaining])
I(V_): -0.2363612949848175	 ([aging][blown])
I(E_): -0.23598000407218933	 ([sketch.][blown])
I(Sq): 0.23585867881774902	 ([secretly][coolness])
I(il): 0.2350473403930664	 ([windscreen,][" no])
I(DR): -0.23439177870750427	 ([redeemed][out )])
I(ju): 0.23401689529418945	 ([reason][incessant])
I(NY): 0.23400366306304932	 ([motel][they'd])
I(Qu): -0.2329103946685791	 ([turned][incessant])
I(KN): 0.23216724395751953	 ([model][motel])
I([s): -0.23171579837799072	 ([rubber][bloody])
I(Eb): -0.2316223680973053	 ([sketch.][smithereens,])
I(NW): 0.23143339157104492	 ([motel][rent - boy])
I(Ck): 0.23109233379364014	 ([could][protagonist])
I(DV): -0.22960522770881653	 ([redeemed][aging])
I(Jk): -0.22902178764343262	 ([exotic][protagonist])
I(Is): 0.2276986837387085	 ([couple,][bloody])
I(Zq): 0.2264847755432129	 ([shared][coolness])
I(Vc): -0.2264735996723175	 ([aging][resolved])
I(IM): 0.22517797350883484	 ([couple,][old - timer])
I(CE): -0.224592387676239	 ([could][sketch.])
I(Bq): 0.22365713119506836	 ([thing][coolness])
I(Ej): -0.2234175205230713	 ([sketch.][reason])
I(F\): 0.22303402423858643	 ([healthy][house.])
I(r~): 0.22297048568725586	 ([pressure][thumb,])
I(DK): 0.22290503978729248	 ([redeemed][model])
I(D_): -0.22273236513137817	 ([redeemed][blown])
I(Fp): 0.22237837314605713	 ([healthy][explaining])
I(GV): 0.22225221991539001	 ([gunfight][aging])
I(Gj): 0.22008663415908813	 ([gunfight][reason])
I(Ui): -0.21928554773330688	 ([woods][windscreen,])
I(lo): -0.21784734725952148	 ([" no][well])
I(dt): 0.21755298972129822	 ([snags ;][tampon,])
I(Z|): 0.215714693069458	 ([shared][chic,])
I(iw): -0.21563932299613953	 ([windscreen,][calls])
I(pt): -0.21561187505722046	 ([explaining][tampon,])
I(Ub): -0.21525821089744568	 ([woods][smithereens,])
I(hk): 0.21522760391235352	 ([ode][protagonist])
I(a): 0.2151699960231781	 ([shack])
I(Ye): -0.2151423692703247	 ([they'd][whore])
I(K|): 0.21481215953826904	 ([model][chic,])
I(^`): 0.21464687585830688	 ([could][freezing])
I(ae): -0.2140718698501587	 ([shack][whore])
I(H): -0.21383580565452576	 ([happy])
I(dm): 0.2135000228881836	 ([snags ;][friends,])
I(Gz): -0.2133026421070099	 ([gunfight][.])
I(u~): 0.21321013569831848	 ([incessant][thumb,])
I([b): -0.2124936580657959	 ([rubber][smithereens,])
I(s}): -0.21200600266456604	 ([bloody][green])
I(Dv): 0.21151357889175415	 ([redeemed][phone])
I(ir): -0.21064943075180054	 ([windscreen,][pressure])
I(BG): 0.20985430479049683	 ([thing][gunfight])
I(ch): 0.20983624458312988	 ([resolved][ode])
I(v|): 0.20949751138687134	 ([phone][chic,])
I(Yr): -0.20945799350738525	 ([they'd][pressure])
I(\m): 0.20893895626068115	 ([house.][friends,])
I(Mq): 0.20846709609031677	 ([old - timer][coolness])
I(F~): 0.20840945839881897	 ([healthy][thumb,])
I(w~): -0.20808696746826172	 ([calls][thumb,])
I(B|): 0.2077147364616394	 ([thing][chic,])
I(UX): 0.2073153257369995	 ([woods][guys])
I(K_): 0.20698213577270508	 ([model][blown])
I(ku): -0.2060469388961792	 ([protagonist][incessant])
I(Fa): -0.20469880104064941	 ([healthy][shack])
I(G\): 0.20438814163208008	 ([gunfight][house.])
I(uy): 0.2043595016002655	 ([incessant][.])
I(DZ): 0.2038065493106842	 ([redeemed][shared])
I(Lu): 0.20303821563720703	 ([delicatessen,][incessant])
I(Qc): -0.20278263092041016	 ([turned][resolved])
I(C): 0.2021040916442871	 ([could])
I(LM): 0.2020871341228485	 ([delicatessen,][old - timer])
I(w|): 0.20150578022003174	 ([calls][chic,])
I(V{): 0.20134520530700684	 ([aging][crawl - space])
I(G[): 0.20102107524871826	 ([gunfight][rubber])
I(Fs): -0.20030462741851807	 ([healthy][bloody])
I(Nt): 0.1991238296031952	 ([motel][tampon,])
I(AE): -0.19827571511268616	 ([one][sketch.])
I(J~): -0.19818958640098572	 ([exotic][thumb,])
I(t}): 0.19806334376335144	 ([tampon,][green])
I(Z~): 0.19724559783935547	 ([shared][thumb,])
I(Bs): -0.19669699668884277	 ([thing][bloody])
I(LX): 0.1946646273136139	 ([delicatessen,][guys])
I(Kd): 0.19441187381744385	 ([model][snags ;])
I(FP): 0.19434452056884766	 ([healthy][would])
I(D^): 0.19417884945869446	 ([redeemed][could])
I(iu): 0.19302845001220703	 ([windscreen,][incessant])
I(Gi): 0.19297772645950317	 ([gunfight][windscreen,])
I(q}): 0.1927996575832367	 ([coolness][green])
I(Y[): 0.19216489791870117	 ([they'd][rubber])
I(M{): 0.19156453013420105	 ([old - timer][crawl - space])
I(]): 0.19151195883750916	 ([process,])
I(M): -0.19078215956687927	 ([old - timer])
I(T|): 0.19070494174957275	 ([watching][chic,])
I(U_): 0.19006788730621338	 ([woods][blown])
I(EY): -0.18965083360671997	 ([sketch.][they'd])
I(\a): 0.18920761346817017	 ([house.][shack])
I(\s): -0.18868601322174072	 ([house.][bloody])
I(MW): 0.18848952651023865	 ([old - timer][rent - boy])
I(\e): -0.18751728534698486	 ([house.][whore])
I(]_): -0.18745526671409607	 ([process,][blown])
I([v): -0.18715184926986694	 ([rubber][phone])
I(v{): -0.18687516450881958	 ([phone][crawl - space])
I(vx): 0.18517890572547913	 ([phone][.])
I(Eh): 0.18479979038238525	 ([sketch.][ode])
I(r|): -0.18405848741531372	 ([pressure][chic,])
I(Zt): 0.18381333351135254	 ([shared][tampon,])
I(ah): 0.183516263961792	 ([shack][ode])
I(Ff): 0.1809753179550171	 ([healthy][bitch])
I(IJ): -0.18029215931892395	 ([couple,][exotic])
I(IV): -0.18015038967132568	 ([couple,][aging])
I(Ls): 0.18000447750091553	 ([delicatessen,][bloody])
I(k{): -0.17994090914726257	 ([protagonist][crawl - space])
I(]d): -0.179539293050766	 ([process,][snags ;])
I(aj): 0.17915481328964233	 ([shack][reason])
I(W\): 0.17855089902877808	 ([rent - boy][house.])
I(Zk): 0.17844319343566895	 ([shared][protagonist])
I(Bf): 0.17721804976463318	 ([thing][bitch])
I(X|): 0.17650139331817627	 ([guys][chic,])
I(c|): 0.1761949062347412	 ([resolved][chic,])
I(`e): -0.17540743947029114	 ([freezing][whore])
I(t{): 0.17540037631988525	 ([tampon,][crawl - space])
I(L|): 0.17532765865325928	 ([delicatessen,][chic,])
I(MU): 0.17502054572105408	 ([old - timer][woods])
I(UW): 0.17402145266532898	 ([woods][rent - boy])
I(Yt): 0.17370903491973877	 ([they'd][tampon,])
I(rs): -0.17363500595092773	 ([pressure][bloody])
I(Id): 0.17318299412727356	 ([couple,][snags ;])
I(ci): 0.17281921207904816	 ([resolved][windscreen,])
I(GM): 0.17246726155281067	 ([gunfight][old - timer])
I(Xw): -0.17221760749816895	 ([guys][calls])
I(_q): -0.17214655876159668	 ([blown][coolness])
I(sw): -0.17171257734298706	 ([bloody][calls])
I(D}): 0.17158225178718567	 ([redeemed][green])
I(Vh): -0.1709069013595581	 ([aging][ode])
I(Zu): 0.17043781280517578	 ([shared][incessant])
I(Xe): -0.16997265815734863	 ([guys][whore])
I(Gv): 0.16978976130485535	 ([gunfight][phone])
I(ck): 0.1697617769241333	 ([resolved][protagonist])
I(GJ): 0.16948425769805908	 ([gunfight][exotic])
I(M\): 0.16939136385917664	 ([old - timer][house.])
I(]r): -0.16855278611183167	 ([process,][pressure])
I(F|): 0.16795718669891357	 ([healthy][chic,])
I(Q[): -0.1678289771080017	 ([turned][rubber])
I(^j): 0.16769075393676758	 ([could][reason])
I(]b): -0.16754445433616638	 ([process,][smithereens,])
I(JT): 0.1673518419265747	 ([exotic][watching])
I(Bt): 0.16716474294662476	 ([thing][tampon,])
I(Hs): -0.1670442819595337	 ([happy][bloody])
I(_j): -0.16703256964683533	 ([blown][reason])
I(AC): -0.16682130098342896	 ([one][could])
I(Mi): -0.1664738655090332	 ([old - timer][windscreen,])
I(s~): 0.16628673672676086	 ([bloody][thumb,])
I(kv): 0.16623765230178833	 ([protagonist][phone])
I(bi): 0.16618037223815918	 ([smithereens,][windscreen,])
I(mr): -0.16598838567733765	 ([friends,][pressure])
I(^r): 0.16589924693107605	 ([could][pressure])
I(c): -0.1658601462841034	 ([resolved])
I([`): -0.16585686802864075	 ([rubber][freezing])
I(GS): 0.16557347774505615	 ([gunfight][secretly])
I(E`): -0.16547414660453796	 ([sketch.][freezing])
I(Da): -0.16515865921974182	 ([redeemed][shack])
I(^d): 0.16494014859199524	 ([could][snags ;])
I(Bb): -0.16464567184448242	 ([thing][smithereens,])
I(i~): 0.1644061803817749	 ([windscreen,][thumb,])
I(HL): 0.1642947494983673	 ([happy][delicatessen,])
I(aq): 0.16364526748657227	 ([shack][coolness])
I(gl): -0.1630738377571106	 (["][" no])
I(Xc): 0.16230034828186035	 ([guys][resolved])
I(OP): -0.16184234619140625	 ([( it][would])
I(Fo): -0.16175103187561035	 ([healthy][well])
I(bj): 0.1616535782814026	 ([smithereens,][reason])
I([w): -0.16165059804916382	 ([rubber][calls])
I(Nw): -0.16163098812103271	 ([motel][calls])
I(NQ): -0.16150760650634766	 ([motel][turned])
I(_i): 0.16148841381072998	 ([blown][windscreen,])
I(Mk): 0.16137155890464783	 ([old - timer][protagonist])
I(Hf): 0.16055744886398315	 ([happy][bitch])
I(FQ): 0.15986013412475586	 ([healthy][turned])
I(D\): 0.1593100130558014	 ([redeemed][house.])
I(dg): 0.15899932384490967	 ([snags ;]["])
I(Gy): -0.1588602364063263	 ([gunfight][.])
I(FK): 0.15859222412109375	 ([healthy][model])
I(\~): 0.15823274850845337	 ([house.][thumb,])
I(H|): 0.1570948362350464	 ([happy][chic,])
I(Sb): -0.1566692590713501	 ([secretly][smithereens,])
I(h~): 0.15597906708717346	 ([ode][thumb,])
I(hs): -0.15466728806495667	 ([ode][bloody])
I(NT): 0.1545494794845581	 ([motel][watching])
I(Q): -0.1543896496295929	 ([turned])
I(\^): -0.15427514910697937	 ([house.][could])
I(Kh): -0.1538374423980713	 ([model][ode])
I(Bd): -0.1536616086959839	 ([thing][snags ;])
I(Lq): 0.15347030758857727	 ([delicatessen,][coolness])
I(Kl): 0.1531761884689331	 ([model][" no])
I(Th): -0.1525716781616211	 ([watching][ode])
I(D[): -0.15226930379867554	 ([redeemed][rubber])
