---------- Players ----------
Player 0: one
Player 1: thing
Player 2: could
Player 3: redeemed
Player 4: sketch.
Player 5: healthy
Player 6: gunfight
Player 7: happy
Player 8: couple,
Player 9: exotic
Player 10: model
Player 11: delicatessen,
Player 12: old - timer
Player 13: motel
Player 14: ( it
Player 15: would
Player 16: turned
Player 17: out )
Player 18: secretly
Player 19: watching
Player 20: woods
Player 21: aging
Player 22: rent - boy
Player 23: guys
Player 24: they'd
Player 25: shared
Player 26: rubber
Player 27: house.
Player 28: process,
Player 29: could
Player 30: blown
Player 31: freezing
Player 32: shack
Player 33: smithereens,
Player 34: resolved
Player 35: snags ;
Player 36: whore
Player 37: bitch
Player 38: "
Player 39: ode
Player 40: windscreen,
Player 41: reason
Player 42: protagonist
Player 43: " no
Player 44: friends,
Player 45: "
Player 46: well
Player 47: explaining
Player 48: coolness
Player 49: pressure
Player 50: bloody
Player 51: tampon,
Player 52: incessant
Player 53: phone
Player 54: calls
Player 55: .
Player 56: .
Player 57: .
Player 58: crawl - space
Player 59: chic,
Player 60: green
Player 61: thumb,
---------- Rewards ----------
v(): -0.34240129590034485	 ([])
v(2,28): 0.06480774283409119	 ([could][process,])
v(2,29): -0.09343525767326355	 ([could][could])
v(2,30): 0.5365129113197327	 ([could][blown])
v(2,31): 0.27696120738983154	 ([could][freezing])
v(2,32): 0.14679595828056335	 ([could][shack])
v(2,33): 0.8600106239318848	 ([could][smithereens,])
v(2,34): -0.34499430656433105	 ([could][resolved])
v(2,35): 0.254608690738678	 ([could][snags ;])
v(2,36): 1.606721043586731	 ([could][whore])
v(2,37): 0.23553335666656494	 ([could][bitch])
v(2,38): -0.07095706462860107	 ([could]["])
v(2,39): -1.18099844455719	 ([could][ode])
v(2,40): 0.027457445859909058	 ([could][windscreen,])
v(2,41): -0.08117961883544922	 ([could][reason])
v(2,42): -1.195327877998352	 ([could][protagonist])
v(2,43): 0.6757994890213013	 ([could][" no])
v(2,44): -0.7745654582977295	 ([could][friends,])
v(2,45): -0.013181179761886597	 ([could]["])
v(2,46): -0.07909762859344482	 ([could][well])
v(2,47): -0.03721272945404053	 ([could][explaining])
v(2,48): -3.065916061401367	 ([could][coolness])
v(2,49): 0.699637770652771	 ([could][pressure])
v(2,50): 1.5379607677459717	 ([could][bloody])
v(2,51): -1.0379748344421387	 ([could][tampon,])
v(2,52): 2.5710806846618652	 ([could][incessant])
v(2,53): 0.1906503438949585	 ([could][phone])
v(2,54): 0.4264737367630005	 ([could][calls])
v(2,55): -0.11143925786018372	 ([could][.])
v(2,56): -0.07893398404121399	 ([could][.])
v(2,57): -0.17931243777275085	 ([could][.])
v(2,58): 0.8222591876983643	 ([could][crawl - space])
v(2,59): -1.2953227758407593	 ([could][chic,])
v(2,60): -0.5325514674186707	 ([could][green])
v(2,61): -0.14937415719032288	 ([could][thumb,])
v(3,4): -1.2748782634735107	 ([redeemed][sketch.])
v(3,5): -3.00400972366333	 ([redeemed][healthy])
v(3,6): -1.20335853099823	 ([redeemed][gunfight])
v(3,7): -1.2804844379425049	 ([redeemed][happy])
v(3,8): -1.1264957189559937	 ([redeemed][couple,])
v(3,9): 0.05631271004676819	 ([redeemed][exotic])
v(3,10): -0.34293514490127563	 ([redeemed][model])
v(3,11): -0.850333034992218	 ([redeemed][delicatessen,])
v(3,12): -0.8807553648948669	 ([redeemed][old - timer])
v(3,13): 0.24736496806144714	 ([redeemed][motel])
v(3,14): -0.7589691281318665	 ([redeemed][( it])
v(3,15): -0.42686641216278076	 ([redeemed][would])
v(3,16): -0.7827641367912292	 ([redeemed][turned])
v(3,17): -0.7277934551239014	 ([redeemed][out )])
v(3,18): -0.802978515625	 ([redeemed][secretly])
v(3,19): -0.7150458097457886	 ([redeemed][watching])
v(3,20): -0.9826789498329163	 ([redeemed][woods])
v(3,21): -0.7736775279045105	 ([redeemed][aging])
v(3,22): -0.3371732234954834	 ([redeemed][rent - boy])
v(3,23): 0.9484729766845703	 ([redeemed][guys])
v(3,24): -0.5736985802650452	 ([redeemed][they'd])
v(3,25): -1.0808311700820923	 ([redeemed][shared])
v(3,26): -0.11989104747772217	 ([redeemed][rubber])
v(3,27): -0.9618296027183533	 ([redeemed][house.])
v(3,28): -0.31830286979675293	 ([redeemed][process,])
v(3,29): -0.3645254969596863	 ([redeemed][could])
v(3,30): -0.24723637104034424	 ([redeemed][blown])
v(3,31): -0.3045985698699951	 ([redeemed][freezing])
v(3,32): -0.5612212419509888	 ([redeemed][shack])
v(3,33): 0.0884564220905304	 ([redeemed][smithereens,])
v(3,34): -1.0832650661468506	 ([redeemed][resolved])
v(3,35): -0.5777332186698914	 ([redeemed][snags ;])
v(3,36): 1.1152540445327759	 ([redeemed][whore])
v(3,37): -0.1247098445892334	 ([redeemed][bitch])
v(3,38): -0.5251181721687317	 ([redeemed]["])
v(3,39): -1.652201771736145	 ([redeemed][ode])
v(3,40): -0.5136711597442627	 ([redeemed][windscreen,])
v(3,41): -0.9324074983596802	 ([redeemed][reason])
v(3,42): -1.1637136936187744	 ([redeemed][protagonist])
v(3,43): 0.23369672894477844	 ([redeemed][" no])
v(3,44): -1.2953990697860718	 ([redeemed][friends,])
v(3,45): -0.4608568549156189	 ([redeemed]["])
v(3,46): -0.6440044641494751	 ([redeemed][well])
v(3,47): -0.6425157189369202	 ([redeemed][explaining])
v(3,48): -2.756395101547241	 ([redeemed][coolness])
v(3,49): -0.07007062435150146	 ([redeemed][pressure])
v(3,50): 0.9596092104911804	 ([redeemed][bloody])
v(3,51): -1.458177089691162	 ([redeemed][tampon,])
v(3,52): 1.6998814344406128	 ([redeemed][incessant])
v(3,53): -0.08530715107917786	 ([redeemed][phone])
v(3,54): -0.03877156972885132	 ([redeemed][calls])
v(3,55): -0.6281902194023132	 ([redeemed][.])
v(3,56): -0.6200799942016602	 ([redeemed][.])
v(3,57): -0.6984612345695496	 ([redeemed][.])
v(3,58): 0.5455160140991211	 ([redeemed][crawl - space])
v(3,59): -1.316007375717163	 ([redeemed][chic,])
v(3,60): -0.8067382574081421	 ([redeemed][green])
v(3,61): -0.7251152992248535	 ([redeemed][thumb,])
v(4,5): -3.055556058883667	 ([sketch.][healthy])
v(4,6): -2.5841989517211914	 ([sketch.][gunfight])
v(4,7): -1.5652827024459839	 ([sketch.][happy])
v(4,8): -1.1252049207687378	 ([sketch.][couple,])
v(4,9): -0.28270938992500305	 ([sketch.][exotic])
v(4,10): -0.31014883518218994	 ([sketch.][model])
v(4,11): -1.0162135362625122	 ([sketch.][delicatessen,])
v(4,12): -0.8590325713157654	 ([sketch.][old - timer])
v(4,13): -0.37700286507606506	 ([sketch.][motel])
v(4,14): -1.3106005191802979	 ([sketch.][( it])
v(4,15): -0.2806608974933624	 ([sketch.][would])
v(4,16): -0.7897573709487915	 ([sketch.][turned])
v(4,17): -0.8794140815734863	 ([sketch.][out )])
v(4,18): -0.9475546479225159	 ([sketch.][secretly])
v(4,19): -1.0842657089233398	 ([sketch.][watching])
v(4,20): -1.2682838439941406	 ([sketch.][woods])
v(4,21): -0.8379351496696472	 ([sketch.][aging])
v(4,22): -0.4756701588630676	 ([sketch.][rent - boy])
v(4,23): 0.09983757138252258	 ([sketch.][guys])
v(4,24): -0.8805919885635376	 ([sketch.][they'd])
v(4,25): -1.0315440893173218	 ([sketch.][shared])
v(4,26): -0.4481077790260315	 ([sketch.][rubber])
v(4,27): -1.0196326971054077	 ([sketch.][house.])
v(4,28): -0.47887659072875977	 ([sketch.][process,])
v(4,29): -0.6953486800193787	 ([sketch.][could])
v(4,30): -0.2995832860469818	 ([sketch.][blown])
v(4,31): -0.4170878529548645	 ([sketch.][freezing])
v(4,32): -0.7063844203948975	 ([sketch.][shack])
v(4,33): 0.15713757276535034	 ([sketch.][smithereens,])
v(4,34): -1.1217148303985596	 ([sketch.][resolved])
v(4,35): -0.21406623721122742	 ([sketch.][snags ;])
v(4,36): 0.7920938730239868	 ([sketch.][whore])
v(4,37): -0.38921475410461426	 ([sketch.][bitch])
v(4,38): -0.6177777647972107	 ([sketch.]["])
v(4,39): -1.4277665615081787	 ([sketch.][ode])
v(4,40): -0.9772895574569702	 ([sketch.][windscreen,])
v(4,41): -0.8134608864784241	 ([sketch.][reason])
v(4,42): -1.41339910030365	 ([sketch.][protagonist])
v(4,43): 0.14125671982765198	 ([sketch.][" no])
v(4,44): -1.2751600742340088	 ([sketch.][friends,])
v(4,45): -0.5428086519241333	 ([sketch.]["])
v(4,46): -0.5984445214271545	 ([sketch.][well])
v(4,47): -0.5514283776283264	 ([sketch.][explaining])
v(4,48): -3.116705894470215	 ([sketch.][coolness])
v(4,49): 0.0582922101020813	 ([sketch.][pressure])
v(4,50): 0.7097153067588806	 ([sketch.][bloody])
v(4,51): -1.5766855478286743	 ([sketch.][tampon,])
v(4,52): 2.0888922214508057	 ([sketch.][incessant])
v(4,53): -0.3089611232280731	 ([sketch.][phone])
v(4,54): -0.19926679134368896	 ([sketch.][calls])
v(4,55): -0.6715835928916931	 ([sketch.][.])
v(4,56): -0.6529676914215088	 ([sketch.][.])
v(4,57): -0.8356114625930786	 ([sketch.][.])
v(4,58): -0.07148206233978271	 ([sketch.][crawl - space])
v(4,59): -1.7728378772735596	 ([sketch.][chic,])
v(4,60): -1.066286563873291	 ([sketch.][green])
v(4,61): -0.542880654335022	 ([sketch.][thumb,])
v(5,6): -5.571396827697754	 ([healthy][gunfight])
v(5,7): -2.413576364517212	 ([healthy][happy])
v(5,8): -3.115774154663086	 ([healthy][couple,])
v(5,9): -1.1769533157348633	 ([healthy][exotic])
v(5,10): -1.5674598217010498	 ([healthy][model])
v(5,11): -0.8684772253036499	 ([healthy][delicatessen,])
v(5,12): -1.8320951461791992	 ([healthy][old - timer])
v(5,13): -0.5324838161468506	 ([healthy][motel])
v(5,14): -1.990434169769287	 ([healthy][( it])
v(5,15): -1.3341364860534668	 ([healthy][would])
v(5,16): -1.7659739255905151	 ([healthy][turned])
v(5,17): -1.7609423398971558	 ([healthy][out )])
v(5,18): -1.9192347526550293	 ([healthy][secretly])
v(5,19): -2.016549825668335	 ([healthy][watching])
v(5,20): -1.927584171295166	 ([healthy][woods])
v(5,21): -1.418593168258667	 ([healthy][aging])
v(5,22): -1.8045053482055664	 ([healthy][rent - boy])
v(5,23): -0.4481180012226105	 ([healthy][guys])
v(5,24): -1.6663093566894531	 ([healthy][they'd])
v(5,25): -2.4224658012390137	 ([healthy][shared])
v(5,26): -1.1660761833190918	 ([healthy][rubber])
v(5,27): -2.0583174228668213	 ([healthy][house.])
v(5,28): -1.459486484527588	 ([healthy][process,])
v(5,29): -1.6799949407577515	 ([healthy][could])
v(5,30): -1.6311821937561035	 ([healthy][blown])
v(5,31): -1.411670446395874	 ([healthy][freezing])
v(5,32): -1.7609732151031494	 ([healthy][shack])
v(5,33): -0.9754706621170044	 ([healthy][smithereens,])
v(5,34): -2.061331272125244	 ([healthy][resolved])
v(5,35): -0.9501193165779114	 ([healthy][snags ;])
v(5,36): -0.03966376185417175	 ([healthy][whore])
v(5,37): -1.1833624839782715	 ([healthy][bitch])
v(5,38): -1.651016354560852	 ([healthy]["])
v(5,39): -2.339428186416626	 ([healthy][ode])
v(5,40): -2.0170741081237793	 ([healthy][windscreen,])
v(5,41): -1.6391334533691406	 ([healthy][reason])
v(5,42): -2.6247944831848145	 ([healthy][protagonist])
v(5,43): -1.0265451669692993	 ([healthy][" no])
v(5,44): -2.681121826171875	 ([healthy][friends,])
v(5,45): -1.5972137451171875	 ([healthy]["])
v(5,46): -1.8650059700012207	 ([healthy][well])
v(5,47): -1.4678581953048706	 ([healthy][explaining])
v(5,48): -3.638894557952881	 ([healthy][coolness])
v(5,49): -1.039111614227295	 ([healthy][pressure])
v(5,50): -0.35556289553642273	 ([healthy][bloody])
v(5,51): -2.6178596019744873	 ([healthy][tampon,])
v(5,52): 0.6339399218559265	 ([healthy][incessant])
v(5,53): -1.3897907733917236	 ([healthy][phone])
v(5,54): -1.2862578630447388	 ([healthy][calls])
v(5,55): -1.8072303533554077	 ([healthy][.])
v(5,56): -1.7723579406738281	 ([healthy][.])
v(5,57): -1.9021327495574951	 ([healthy][.])
v(5,58): -1.1282951831817627	 ([healthy][crawl - space])
v(5,59): -2.7983508110046387	 ([healthy][chic,])
v(5,60): -1.7766293287277222	 ([healthy][green])
v(5,61): -1.5825307369232178	 ([healthy][thumb,])
v(6,7): -0.5841431617736816	 ([gunfight][happy])
v(6,8): -0.5526729226112366	 ([gunfight][couple,])
v(6,9): 0.5846342444419861	 ([gunfight][exotic])
v(6,10): -0.1828273981809616	 ([gunfight][model])
v(6,11): -0.10056689381599426	 ([gunfight][delicatessen,])
v(6,12): -0.3354353904724121	 ([gunfight][old - timer])
v(6,13): 2.093964099884033	 ([gunfight][motel])
v(6,14): -0.7189029455184937	 ([gunfight][( it])
v(6,15): 0.3202105164527893	 ([gunfight][would])
v(6,16): -0.44099754095077515	 ([gunfight][turned])
v(6,17): -0.10933572053909302	 ([gunfight][out )])
v(6,18): -0.20688387751579285	 ([gunfight][secretly])
v(6,19): -0.46388620138168335	 ([gunfight][watching])
v(6,20): -0.7587307691574097	 ([gunfight][woods])
v(6,21): -0.027707993984222412	 ([gunfight][aging])
v(6,22): 0.3853972256183624	 ([gunfight][rent - boy])
v(6,23): 1.2858234643936157	 ([gunfight][guys])
v(6,24): -0.31422191858291626	 ([gunfight][they'd])
v(6,25): -0.9016291499137878	 ([gunfight][shared])
v(6,26): 0.527511477470398	 ([gunfight][rubber])
v(6,27): -0.6226393580436707	 ([gunfight][house.])
v(6,28): -0.013146698474884033	 ([gunfight][process,])
v(6,29): -0.20874004065990448	 ([gunfight][could])
v(6,30): 0.1704401969909668	 ([gunfight][blown])
v(6,31): 0.018456995487213135	 ([gunfight][freezing])
v(6,32): -0.08882960677146912	 ([gunfight][shack])
v(6,33): 0.6223583817481995	 ([gunfight][smithereens,])
v(6,34): -0.8292878866195679	 ([gunfight][resolved])
v(6,35): -0.6728021502494812	 ([gunfight][snags ;])
v(6,36): 0.8748950958251953	 ([gunfight][whore])
v(6,37): 0.47452008724212646	 ([gunfight][bitch])
v(6,38): -0.2378939986228943	 ([gunfight]["])
v(6,39): -1.5184056758880615	 ([gunfight][ode])
v(6,40): 0.021355271339416504	 ([gunfight][windscreen,])
v(6,41): -0.03674536943435669	 ([gunfight][reason])
v(6,42): -1.0902068614959717	 ([gunfight][protagonist])
v(6,43): 0.5754667520523071	 ([gunfight][" no])
v(6,44): -0.5928136110305786	 ([gunfight][friends,])
v(6,45): -0.1659768521785736	 ([gunfight]["])
v(6,46): -0.32392728328704834	 ([gunfight][well])
v(6,47): -0.152467280626297	 ([gunfight][explaining])
v(6,48): -2.1857423782348633	 ([gunfight][coolness])
v(6,49): 0.025730609893798828	 ([gunfight][pressure])
v(6,50): 0.843139111995697	 ([gunfight][bloody])
v(6,51): -1.3793718814849854	 ([gunfight][tampon,])
v(6,52): 1.4039440155029297	 ([gunfight][incessant])
v(6,53): 0.16708111763000488	 ([gunfight][phone])
v(6,54): 0.3549663722515106	 ([gunfight][calls])
v(6,55): -0.44596153497695923	 ([gunfight][.])
v(6,56): -0.4357442259788513	 ([gunfight][.])
v(6,57): -0.6290210485458374	 ([gunfight][.])
v(6,58): 0.8706768155097961	 ([gunfight][crawl - space])
v(6,59): -1.5379223823547363	 ([gunfight][chic,])
v(6,60): -0.3883325159549713	 ([gunfight][green])
v(6,61): -0.2055092453956604	 ([gunfight][thumb,])
v(7,8): -1.779105544090271	 ([happy][couple,])
v(7,9): 0.06944885849952698	 ([happy][exotic])
v(7,10): -0.41767871379852295	 ([happy][model])
v(7,11): -0.48753201961517334	 ([happy][delicatessen,])
v(7,12): -0.7102640867233276	 ([happy][old - timer])
v(7,13): 0.6117198467254639	 ([happy][motel])
v(7,14): -0.6750003099441528	 ([happy][( it])
v(7,15): -0.25660285353660583	 ([happy][would])
v(7,16): -0.7277473211288452	 ([happy][turned])
v(7,17): -0.4388071894645691	 ([happy][out )])
v(7,18): -0.5673205256462097	 ([happy][secretly])
v(7,19): -0.6461649537086487	 ([happy][watching])
v(7,20): -0.8540970087051392	 ([happy][woods])
v(7,21): -0.5647203922271729	 ([happy][aging])
v(7,22): -0.2682308256626129	 ([happy][rent - boy])
v(7,23): 0.7237393260002136	 ([happy][guys])
v(7,24): -0.5543280839920044	 ([happy][they'd])
v(7,25): -1.1810529232025146	 ([happy][shared])
v(7,26): 0.07745495438575745	 ([happy][rubber])
