---------- Players ----------
Player 0: .... as
Player 1: level
Player 2: wit
Player 3: comedy
Player 4: operates.
Player 5: barely
Player 6: even
Player 7: reaching
Player 8: feature
Player 9: length,
Player 10: it....'till
Player 11: need
Player 12: glasses
Player 13: "
Player 14: collection
Player 15: ( mostly )
Player 16: dirty
Player 17: jokes.
Player 18: many
Player 19: short
Player 20: can't
Player 21: believe
Player 22: realize
Player 23: supposed
Player 24: punchline
Player 25: ( example :
Player 26: santa
Player 27: claus
Player 28: gag ) ;
Player 29: others
Player 30: long
Player 31: can't
Player 32: believe
Player 33: realize
Player 34: needed
Player 35: much
Player 36: time
Player 37: set
Player 38: punchline
Player 39: ( example :
Player 40: students '
Player 41: awards
Player 42: gag ).
Player 43: nearly
Player 44: directed
Player 45: without
Player 46: artistry.
Player 47: get
Player 48: wrong :
Player 49: 1
Player 50: every
Player 51: 10
Player 52: jokes
Player 53: actually
Player 54: manages
Player 55: funny
Player 56: ( the
Player 57: iron
Player 58: phone
Player 59: one
Player 60: probably
---------- Rewards ----------
v(): -1.3653199672698975	 ([])
v(1,42): -0.33724498748779297	 ([level][gag ).])
v(1,43): -1.5178827047348022	 ([level][nearly])
v(1,44): -0.5357481837272644	 ([level][directed])
v(1,45): -1.4723936319351196	 ([level][without])
v(1,46): -0.4104878902435303	 ([level][artistry.])
v(1,47): -1.3654718399047852	 ([level][get])
v(1,48): -1.964003324508667	 ([level][wrong :])
v(1,49): -0.6524468064308167	 ([level][1])
v(1,50): -1.5165051221847534	 ([level][every])
v(1,51): -1.4168442487716675	 ([level][10])
v(1,52): -0.5513008236885071	 ([level][jokes])
v(1,53): -0.8195592761039734	 ([level][actually])
v(1,54): -1.946136713027954	 ([level][manages])
v(1,55): 0.6208742260932922	 ([level][funny])
v(1,56): -1.4185755252838135	 ([level][( the])
v(1,57): -0.861482560634613	 ([level][iron])
v(1,58): -0.9768191576004028	 ([level][phone])
v(1,59): -1.5087586641311646	 ([level][one])
v(1,60): -1.769955039024353	 ([level][probably])
v(2,3): -3.7233755588531494	 ([wit][comedy])
v(2,4): -2.4863688945770264	 ([wit][operates.])
v(2,5): 0.8082423210144043	 ([wit][barely])
v(2,6): -1.0655337572097778	 ([wit][even])
v(2,7): -2.04280161857605	 ([wit][reaching])
v(2,8): -0.38196253776550293	 ([wit][feature])
v(2,9): -0.8257195949554443	 ([wit][length,])
v(2,10): -0.7750170826911926	 ([wit][it....'till])
v(2,11): -0.8996785879135132	 ([wit][need])
v(2,12): -1.1761523485183716	 ([wit][glasses])
v(2,13): -0.983879566192627	 ([wit]["])
v(2,14): -2.528341770172119	 ([wit][collection])
v(2,15): -1.2737482786178589	 ([wit][( mostly )])
v(2,16): 0.529006838798523	 ([wit][dirty])
v(2,17): -2.832937002182007	 ([wit][jokes.])
v(2,18): -1.3400354385375977	 ([wit][many])
v(2,19): -1.1384608745574951	 ([wit][short])
v(2,20): -0.7876284718513489	 ([wit][can't])
v(2,21): -1.3575944900512695	 ([wit][believe])
v(2,22): -1.2199798822402954	 ([wit][realize])
v(2,23): -0.7003025412559509	 ([wit][supposed])
v(2,24): -1.2075190544128418	 ([wit][punchline])
v(2,25): -0.8796529173851013	 ([wit][( example :])
v(2,26): -0.6324869394302368	 ([wit][santa])
v(2,27): -1.173933982849121	 ([wit][claus])
v(2,28): -0.3281329572200775	 ([wit][gag ) ;])
v(2,29): -1.1484622955322266	 ([wit][others])
v(2,30): -1.2874996662139893	 ([wit][long])
v(2,31): -0.9542974233627319	 ([wit][can't])
v(2,32): -1.4039316177368164	 ([wit][believe])
v(2,33): -1.2704544067382812	 ([wit][realize])
v(2,34): -0.8540434241294861	 ([wit][needed])
v(2,35): -1.0478601455688477	 ([wit][much])
v(2,36): -1.4621305465698242	 ([wit][time])
v(2,37): -0.9830604791641235	 ([wit][set])
v(2,38): -0.9530642628669739	 ([wit][punchline])
v(2,39): -0.9109107851982117	 ([wit][( example :])
v(2,40): -1.2593796253204346	 ([wit][students '])
v(2,41): -1.2517653703689575	 ([wit][awards])
v(2,42): -0.12544944882392883	 ([wit][gag ).])
v(2,43): -1.1251897811889648	 ([wit][nearly])
v(2,44): -0.4062104821205139	 ([wit][directed])
v(2,45): -1.1001880168914795	 ([wit][without])
v(2,46): -0.21388843655586243	 ([wit][artistry.])
v(2,47): -1.0635619163513184	 ([wit][get])
v(2,48): -1.6711536645889282	 ([wit][wrong :])
v(2,49): -0.4577992558479309	 ([wit][1])
v(2,50): -1.2175393104553223	 ([wit][every])
v(2,51): -1.1873290538787842	 ([wit][10])
v(2,52): -0.4809725880622864	 ([wit][jokes])
v(2,53): -0.5794847011566162	 ([wit][actually])
v(2,54): -1.4574065208435059	 ([wit][manages])
v(2,55): 0.4507153034210205	 ([wit][funny])
v(2,56): -1.025244951248169	 ([wit][( the])
v(2,57): -0.48915863037109375	 ([wit][iron])
v(2,58): -0.6794387698173523	 ([wit][phone])
v(2,59): -1.1723400354385376	 ([wit][one])
v(2,60): -1.6314247846603394	 ([wit][probably])
v(3,4): -3.2250118255615234	 ([comedy][operates.])
v(3,5): 0.15955081582069397	 ([comedy][barely])
v(3,6): -1.97983717918396	 ([comedy][even])
v(3,7): -2.7482707500457764	 ([comedy][reaching])
v(3,8): -1.2667006254196167	 ([comedy][feature])
v(3,9): -1.6530351638793945	 ([comedy][length,])
v(3,10): -2.268601655960083	 ([comedy][it....'till])
v(3,11): -2.0363616943359375	 ([comedy][need])
v(3,12): -1.7537481784820557	 ([comedy][glasses])
v(3,13): -1.8279697895050049	 ([comedy]["])
v(3,14): -3.824955940246582	 ([comedy][collection])
v(3,15): -2.689622402191162	 ([comedy][( mostly )])
v(3,16): 0.09245619177818298	 ([comedy][dirty])
v(3,17): -4.129016399383545	 ([comedy][jokes.])
v(3,18): -2.3191637992858887	 ([comedy][many])
v(3,19): -2.139319896697998	 ([comedy][short])
v(3,20): -1.7457804679870605	 ([comedy][can't])
v(3,21): -2.365779399871826	 ([comedy][believe])
v(3,22): -2.1765811443328857	 ([comedy][realize])
v(3,23): -1.6808708906173706	 ([comedy][supposed])
v(3,24): -1.9628453254699707	 ([comedy][punchline])
v(3,25): -1.7582380771636963	 ([comedy][( example :])
v(3,26): -1.6191340684890747	 ([comedy][santa])
v(3,27): -2.1553537845611572	 ([comedy][claus])
v(3,28): -1.2847813367843628	 ([comedy][gag ) ;])
v(3,29): -2.1491153240203857	 ([comedy][others])
v(3,30): -2.293720245361328	 ([comedy][long])
v(3,31): -1.9439228773117065	 ([comedy][can't])
v(3,32): -2.4149575233459473	 ([comedy][believe])
v(3,33): -2.210353136062622	 ([comedy][realize])
v(3,34): -1.8146803379058838	 ([comedy][needed])
v(3,35): -2.1298365592956543	 ([comedy][much])
v(3,36): -2.4569807052612305	 ([comedy][time])
v(3,37): -1.7896414995193481	 ([comedy][set])
v(3,38): -1.8214689493179321	 ([comedy][punchline])
v(3,39): -1.7469309568405151	 ([comedy][( example :])
v(3,40): -2.211639881134033	 ([comedy][students '])
v(3,41): -2.005265951156616	 ([comedy][awards])
v(3,42): -1.0037171840667725	 ([comedy][gag ).])
v(3,43): -2.184957981109619	 ([comedy][nearly])
v(3,44): -0.8604080080986023	 ([comedy][directed])
v(3,45): -2.1238512992858887	 ([comedy][without])
v(3,46): -0.301575630903244	 ([comedy][artistry.])
v(3,47): -2.121882200241089	 ([comedy][get])
v(3,48): -2.8732805252075195	 ([comedy][wrong :])
v(3,49): -1.3932194709777832	 ([comedy][1])
v(3,50): -2.195981740951538	 ([comedy][every])
v(3,51): -2.06435489654541	 ([comedy][10])
v(3,52): -1.4933205842971802	 ([comedy][jokes])
v(3,53): -1.362882375717163	 ([comedy][actually])
v(3,54): -2.083486557006836	 ([comedy][manages])
v(3,55): -0.4644710421562195	 ([comedy][funny])
v(3,56): -1.9181627035140991	 ([comedy][( the])
v(3,57): -1.0973894596099854	 ([comedy][iron])
v(3,58): -1.4887850284576416	 ([comedy][phone])
v(3,59): -2.210141658782959	 ([comedy][one])
v(3,60): -3.168910026550293	 ([comedy][probably])
v(4,5): 0.5959382653236389	 ([operates.][barely])
v(4,6): -1.921571969985962	 ([operates.][even])
v(4,7): -2.7761728763580322	 ([operates.][reaching])
v(4,8): -1.5284218788146973	 ([operates.][feature])
v(4,9): -1.9941387176513672	 ([operates.][length,])
v(4,10): -1.6393178701400757	 ([operates.][it....'till])
v(4,11): -1.9186798334121704	 ([operates.][need])
v(4,12): -1.7866530418395996	 ([operates.][glasses])
v(4,13): -1.9265518188476562	 ([operates.]["])
v(4,14): -3.180617570877075	 ([operates.][collection])
v(4,15): -2.325631618499756	 ([operates.][( mostly )])
v(4,16): -0.4459695816040039	 ([operates.][dirty])
v(4,17): -3.311474084854126	 ([operates.][jokes.])
v(4,18): -2.166949510574341	 ([operates.][many])
v(4,19): -2.0928616523742676	 ([operates.][short])
v(4,20): -1.926518201828003	 ([operates.][can't])
v(4,21): -2.264169216156006	 ([operates.][believe])
v(4,22): -2.2600154876708984	 ([operates.][realize])
v(4,23): -1.914818286895752	 ([operates.][supposed])
v(4,24): -2.0946836471557617	 ([operates.][punchline])
v(4,25): -1.8112674951553345	 ([operates.][( example :])
v(4,26): -1.6090679168701172	 ([operates.][santa])
v(4,27): -2.2569563388824463	 ([operates.][claus])
v(4,28): -1.5167124271392822	 ([operates.][gag ) ;])
v(4,29): -2.071781635284424	 ([operates.][others])
v(4,30): -2.1882801055908203	 ([operates.][long])
v(4,31): -2.041049003601074	 ([operates.][can't])
v(4,32): -2.396989345550537	 ([operates.][believe])
v(4,33): -2.179373264312744	 ([operates.][realize])
v(4,34): -2.151834726333618	 ([operates.][needed])
v(4,35): -2.075632095336914	 ([operates.][much])
v(4,36): -2.411224365234375	 ([operates.][time])
v(4,37): -2.092367649078369	 ([operates.][set])
v(4,38): -1.980055332183838	 ([operates.][punchline])
v(4,39): -1.8636105060577393	 ([operates.][( example :])
v(4,40): -1.9908473491668701	 ([operates.][students '])
v(4,41): -1.9694138765335083	 ([operates.][awards])
v(4,42): -1.3450161218643188	 ([operates.][gag ).])
v(4,43): -2.163691997528076	 ([operates.][nearly])
v(4,44): -1.4423296451568604	 ([operates.][directed])
v(4,45): -2.1345632076263428	 ([operates.][without])
v(4,46): -1.2609671354293823	 ([operates.][artistry.])
v(4,47): -1.8871073722839355	 ([operates.][get])
v(4,48): -2.5670268535614014	 ([operates.][wrong :])
v(4,49): -1.4805189371109009	 ([operates.][1])
v(4,50): -2.1804847717285156	 ([operates.][every])
v(4,51): -2.0065784454345703	 ([operates.][10])
v(4,52): -1.3371490240097046	 ([operates.][jokes])
v(4,53): -1.573262095451355	 ([operates.][actually])
v(4,54): -1.8816019296646118	 ([operates.][manages])
v(4,55): -0.6467310190200806	 ([operates.][funny])
v(4,56): -2.037097454071045	 ([operates.][( the])
v(4,57): -1.532906174659729	 ([operates.][iron])
v(4,58): -1.5978891849517822	 ([operates.][phone])
v(4,59): -2.054858922958374	 ([operates.][one])
v(4,60): -2.630309581756592	 ([operates.][probably])
v(5,6): 1.3255950212478638	 ([barely][even])
v(5,7): 0.3399354815483093	 ([barely][reaching])
v(5,8): 0.7372404336929321	 ([barely][feature])
v(5,9): 0.4731016159057617	 ([barely][length,])
v(5,10): 0.11590662598609924	 ([barely][it....'till])
v(5,11): -0.16768324375152588	 ([barely][need])
v(5,12): 0.335896372795105	 ([barely][glasses])
v(5,13): 0.110990971326828	 ([barely]["])
v(5,14): -0.9115573167800903	 ([barely][collection])
v(5,15): -0.3535594046115875	 ([barely][( mostly )])
v(5,16): 1.982635498046875	 ([barely][dirty])
v(5,17): 0.4542984366416931	 ([barely][jokes.])
v(5,18): -0.17763105034828186	 ([barely][many])
v(5,19): -0.1394645869731903	 ([barely][short])
v(5,20): 0.2150048315525055	 ([barely][can't])
v(5,21): -0.20424652099609375	 ([barely][believe])
v(5,22): -0.22876951098442078	 ([barely][realize])
v(5,23): 0.42525559663772583	 ([barely][supposed])
v(5,24): -0.18361353874206543	 ([barely][punchline])
v(5,25): 0.10272744297981262	 ([barely][( example :])
v(5,26): 0.44863563776016235	 ([barely][santa])
v(5,27): -0.2820480465888977	 ([barely][claus])
v(5,28): 1.0694808959960938	 ([barely][gag ) ;])
v(5,29): 0.012557923793792725	 ([barely][others])
v(5,30): -0.2757706344127655	 ([barely][long])
v(5,31): 0.06483486294746399	 ([barely][can't])
v(5,32): -0.5137755274772644	 ([barely][believe])
v(5,33): -0.2317272126674652	 ([barely][realize])
v(5,34): 0.34512296319007874	 ([barely][needed])
v(5,35): 0.06745830178260803	 ([barely][much])
v(5,36): -0.38530343770980835	 ([barely][time])
v(5,37): 0.22087362408638	 ([barely][set])
v(5,38): -0.017693698406219482	 ([barely][punchline])
v(5,39): 0.1674124002456665	 ([barely][( example :])
v(5,40): 0.37731605768203735	 ([barely][students '])
v(5,41): 0.09652248024940491	 ([barely][awards])
v(5,42): 1.3050510883331299	 ([barely][gag ).])
v(5,43): -0.05576765537261963	 ([barely][nearly])
v(5,44): 0.9511979818344116	 ([barely][directed])
v(5,45): -0.05805155634880066	 ([barely][without])
v(5,46): 0.7792635560035706	 ([barely][artistry.])
v(5,47): -0.04003933072090149	 ([barely][get])
v(5,48): -0.8513309955596924	 ([barely][wrong :])
v(5,49): 0.8597739934921265	 ([barely][1])
v(5,50): 0.019739359617233276	 ([barely][every])
v(5,51): 0.027145206928253174	 ([barely][10])
v(5,52): 0.9380672574043274	 ([barely][jokes])
v(5,53): 0.7173410058021545	 ([barely][actually])
v(5,54): -0.44679850339889526	 ([barely][manages])
v(5,55): 2.188084840774536	 ([barely][funny])
v(5,56): 0.12839826941490173	 ([barely][( the])
v(5,57): 0.5026545524597168	 ([barely][iron])
v(5,58): 0.2449743151664734	 ([barely][phone])
v(5,59): -0.1534290611743927	 ([barely][one])
v(5,60): -0.38219979405403137	 ([barely][probably])
v(6,7): -1.6888078451156616	 ([even][reaching])
v(6,8): -0.7679149508476257	 ([even][feature])
v(6,9): -0.9946195483207703	 ([even][length,])
v(6,10): -1.378812551498413	 ([even][it....'till])
v(6,11): -1.4449734687805176	 ([even][need])
v(6,12): -1.0426099300384521	 ([even][glasses])
v(6,13): -1.2119864225387573	 ([even]["])
v(6,14): -2.3069679737091064	 ([even][collection])
v(6,15): -1.5745235681533813	 ([even][( mostly )])
v(6,16): 0.512101411819458	 ([even][dirty])
v(6,17): -1.8832645416259766	 ([even][jokes.])
v(6,18): -1.482932209968567	 ([even][many])
v(6,19): -1.329211711883545	 ([even][short])
v(6,20): -1.0426825284957886	 ([even][can't])
v(6,21): -1.5827083587646484	 ([even][believe])
v(6,22): -1.4755688905715942	 ([even][realize])
v(6,23): -1.0436432361602783	 ([even][supposed])
v(6,24): -1.380515456199646	 ([even][punchline])
v(6,25): -1.1195834875106812	 ([even][( example :])
v(6,26): -0.8863908052444458	 ([even][santa])
v(6,27): -1.444461464881897	 ([even][claus])
v(6,28): -0.43799346685409546	 ([even][gag ) ;])
v(6,29): -1.365228533744812	 ([even][others])
v(6,30): -1.5779355764389038	 ([even][long])
v(6,31): -1.2216397523880005	 ([even][can't])
v(6,32): -1.6424840688705444	 ([even][believe])
v(6,33): -1.4406989812850952	 ([even][realize])
v(6,34): -1.135163426399231	 ([even][needed])
v(6,35): -1.3437538146972656	 ([even][much])
v(6,36): -1.7303663492202759	 ([even][time])
v(6,37): -1.2371774911880493	 ([even][set])
v(6,38): -1.2085955142974854	 ([even][punchline])
v(6,39): -1.1274454593658447	 ([even][( example :])
v(6,40): -1.0534939765930176	 ([even][students '])
v(6,41): -1.2622966766357422	 ([even][awards])
v(6,42): -0.17029070854187012	 ([even][gag ).])
v(6,43): -1.352424144744873	 ([even][nearly])
v(6,44): -0.5013408660888672	 ([even][directed])
v(6,45): -1.4578694105148315	 ([even][without])
v(6,46): -0.5795050263404846	 ([even][artistry.])
v(6,47): -1.202839732170105	 ([even][get])
v(6,48): -1.8433868885040283	 ([even][wrong :])
v(6,49): -0.5996537208557129	 ([even][1])
v(6,50): -1.4043841361999512	 ([even][every])
v(6,51): -1.3134710788726807	 ([even][10])
v(6,52): -0.4070209264755249	 ([even][jokes])
v(6,53): -0.7507191300392151	 ([even][actually])
v(6,54): -1.758204698562622	 ([even][manages])
v(6,55): 0.714729905128479	 ([even][funny])
v(6,56): -1.2839421033859253	 ([even][( the])
v(6,57): -0.7340778112411499	 ([even][iron])
v(6,58): -0.8861684799194336	 ([even][phone])
v(6,59): -1.4319283962249756	 ([even][one])
v(6,60): -1.701630711555481	 ([even][probably])
v(7,8): -1.902449131011963	 ([reaching][feature])
v(7,9): -1.2917653322219849	 ([reaching][length,])
v(7,10): -1.9471153020858765	 ([reaching][it....'till])
v(7,11): -2.2752792835235596	 ([reaching][need])
v(7,12): -1.8852447271347046	 ([reaching][glasses])
v(7,13): -2.1783595085144043	 ([reaching]["])
v(7,14): -3.258319854736328	 ([reaching][collection])
v(7,15): -2.4355571269989014	 ([reaching][( mostly )])
v(7,16): -0.6391260027885437	 ([reaching][dirty])
v(7,17): -2.8528265953063965	 ([reaching][jokes.])
v(7,18): -2.356208324432373	 ([reaching][many])
v(7,19): -2.180640935897827	 ([reaching][short])
v(7,20): -1.9189890623092651	 ([reaching][can't])
v(7,21): -2.4483394622802734	 ([reaching][believe])
v(7,22): -2.2989039421081543	 ([reaching][realize])
v(7,23): -2.0715584754943848	 ([reaching][supposed])
v(7,24): -2.141200065612793	 ([reaching][punchline])
v(7,25): -1.974816083908081	 ([reaching][( example :])
v(7,26): -1.8117151260375977	 ([reaching][santa])
v(7,27): -2.234088182449341	 ([reaching][claus])
v(7,28): -1.5763605833053589	 ([reaching][gag ) ;])
v(7,29): -2.29453706741333	 ([reaching][others])
v(7,30): -2.433317184448242	 ([reaching][long])
v(7,31): -2.149589776992798	 ([reaching][can't])
v(7,32): -2.372377872467041	 ([reaching][believe])
v(7,33): -2.2573680877685547	 ([reaching][realize])
v(7,34): -2.140881061553955	 ([reaching][needed])
v(7,35): -2.2583658695220947	 ([reaching][much])
v(7,36): -2.6410229206085205	 ([reaching][time])
v(7,37): -2.2122881412506104	 ([reaching][set])
v(7,38): -2.0564918518066406	 ([reaching][punchline])
v(7,39): -1.949073076248169	 ([reaching][( example :])
v(7,40): -1.923095703125	 ([reaching][students '])
v(7,41): -2.0684919357299805	 ([reaching][awards])
v(7,42): -1.303604006767273	 ([reaching][gag ).])
v(7,43): -2.247947931289673	 ([reaching][nearly])
v(7,44): -1.313924789428711	 ([reaching][directed])
v(7,45): -2.383589267730713	 ([reaching][without])
v(7,46): -1.3336701393127441	 ([reaching][artistry.])
v(7,47): -2.133218288421631	 ([reaching][get])
v(7,48): -2.664771795272827	 ([reaching][wrong :])
v(7,49): -1.481346845626831	 ([reaching][1])
v(7,50): -2.2839138507843018	 ([reaching][every])
v(7,51): -2.2113289833068848	 ([reaching][10])
