---------- AND Interactions ----------
I(45,46): 3.8299875259399414	 ([without][artistry.])
I(42,52): -0.396584689617157	 ([gag ).][jokes])
I(39,46): -0.3944123387336731	 ([( example :][artistry.])
I(1,8): 0.3916618227958679	 ([level][feature])
I(2,16): -0.38789522647857666	 ([wit][dirty])
I(0): 0.3867700695991516	 ([.... as])
I(49,55): -0.3860609531402588	 ([1][funny])
I(0,55): -0.3852057456970215	 ([.... as][funny])
I(49,52): -0.3847643733024597	 ([1][jokes])
I(40,44): -0.38071978092193604	 ([students '][directed])
I(14,55): -0.3803706169128418	 ([collection][funny])
I(2,12): -0.3795294761657715	 ([wit][glasses])
I(16,17): 0.37153077125549316	 ([dirty][jokes.])
I(10,55): -0.3707900047302246	 ([it....'till][funny])
I(41,55): -0.3681432008743286	 ([awards][funny])
I(41,42): -0.36644434928894043	 ([awards][gag ).])
I(4,8): -0.3651673197746277	 ([operates.][feature])
I(0,44): -0.3642925024032593	 ([.... as][directed])
I(10,46): -0.3630451560020447	 ([it....'till][artistry.])
I(3,57): 0.35919952392578125	 ([comedy][iron])
I(58,59): 0.35838621854782104	 ([phone][one])
I(25,28): -0.35679852962493896	 ([( example :][gag ) ;])
I(19,55): -0.35621166229248047	 ([short][funny])
I(54,58): 0.35249143838882446	 ([manages][phone])
I(1,3): -0.3499410152435303	 ([level][comedy])
I(10,44): -0.34833651781082153	 ([it....'till][directed])
I(9,17): -0.34703242778778076	 ([length,][jokes.])
I(3,44): 0.34627658128738403	 ([comedy][directed])
I(3,52): -0.3438602089881897	 ([comedy][jokes])
I(1,4): -0.3432960510253906	 ([level][operates.])
I(17,42): -0.340224027633667	 ([jokes.][gag ).])
I(14,46): 0.3399221897125244	 ([collection][artistry.])
I(32): -0.3386251926422119	 ([believe])
I(16,60): -0.3367757797241211	 ([dirty][probably])
I(48,55): -0.33554506301879883	 ([wrong :][funny])
I(42,58): -0.3342251777648926	 ([gag ).][phone])
I(3,15): -0.3341609239578247	 ([comedy][( mostly )])
I(8,54): 0.3341125249862671	 ([feature][manages])
I(34,35): 0.3334941267967224	 ([needed][much])
I(2,10): 0.3334638476371765	 ([wit][it....'till])
I(5,48): -0.330905556678772	 ([barely][wrong :])
I(32,46): -0.3305147886276245	 ([believe][artistry.])
I(20,21): 0.3279310464859009	 ([can't][believe])
I(9): 0.3252220153808594	 ([length,])
I(55,57): -0.32163333892822266	 ([funny][iron])
I(26,28): -0.31648755073547363	 ([santa][gag ) ;])
I(16,18): -0.3159172534942627	 ([dirty][many])
I(53,55): -0.31498026847839355	 ([actually][funny])
I(25,42): -0.31338775157928467	 ([( example :][gag ).])
I(49,58): -0.3120744228363037	 ([1][phone])
I(2,52): -0.3119423985481262	 ([wit][jokes])
I(27,55): -0.31104910373687744	 ([claus][funny])
I(48,49): 0.31075936555862427	 ([wrong :][1])
I(17,60): -0.3096609115600586	 ([jokes.][probably])
I(12): 0.30956900119781494	 ([glasses])
I(0,40): -0.30733722448349	 ([.... as][students '])
I(26,27): -0.30696016550064087	 ([santa][claus])
I(6,8): -0.3065730333328247	 ([even][feature])
I(2,11): 0.30540692806243896	 ([wit][need])
I(20): 0.3039816617965698	 ([can't])
I(14,58): 0.3039765954017639	 ([collection][phone])
I(14,42): -0.303777813911438	 ([collection][gag ).])
I(0,36): 0.3033156991004944	 ([.... as][time])
I(40): 0.3026193380355835	 ([students '])
I(7,10): 0.3019806146621704	 ([reaching][it....'till])
I(16,39): -0.2981886863708496	 ([dirty][( example :])
I(25,39): -0.2972700595855713	 ([( example :][( example :])
I(25,55): -0.2963883876800537	 ([( example :][funny])
I(4,34): -0.29293346405029297	 ([operates.][needed])
I(39,52): -0.29218435287475586	 ([( example :][jokes])
I(4,44): -0.28745073080062866	 ([operates.][directed])
I(56,58): -0.28738266229629517	 ([( the][phone])
I(7,58): 0.28650039434432983	 ([reaching][phone])
I(23): 0.28559279441833496	 ([supposed])
I(4,9): -0.2845444679260254	 ([operates.][length,])
I(1,36): 0.283976674079895	 ([level][time])
I(24,54): 0.2810007333755493	 ([punchline][manages])
I(1,14): -0.28099727630615234	 ([level][collection])
I(39,53): -0.2809579372406006	 ([( example :][actually])
I(34,36): 0.280849814414978	 ([needed][time])
I(41,44): -0.2797269821166992	 ([awards][directed])
I(38,46): -0.2744970917701721	 ([punchline][artistry.])
I(17,20): -0.2743363380432129	 ([jokes.][can't])
I(51,54): 0.27323591709136963	 ([10][manages])
I(17,18): -0.2732117176055908	 ([jokes.][many])
I(17,32): 0.27270305156707764	 ([jokes.][believe])
I(16,32): -0.2727012634277344	 ([dirty][believe])
I(51,52): -0.2710578441619873	 ([10][jokes])
I(15): -0.2688394784927368	 ([( mostly )])
I(21): -0.2677065134048462	 ([believe])
I(48,50): 0.26563870906829834	 ([wrong :][every])
I(16,22): -0.26508188247680664	 ([dirty][realize])
I(49,53): -0.263991117477417	 ([1][actually])
I(7,42): -0.2638763189315796	 ([reaching][gag ).])
I(14,60): -0.26336586475372314	 ([collection][probably])
I(21,32): 0.2618846893310547	 ([believe][believe])
I(14,52): -0.26149964332580566	 ([collection][jokes])
I(7,28): -0.2596225142478943	 ([reaching][gag ) ;])
I(2): 0.2591280937194824	 ([wit])
I(4,40): -0.25865042209625244	 ([operates.][students '])
I(12,58): -0.25474071502685547	 ([glasses][phone])
I(40,46): 0.2545621395111084	 ([students '][artistry.])
I(14,25): 0.2525472640991211	 ([collection][( example :])
I(46,47): -0.2519623637199402	 ([artistry.][get])
I(46,58): 0.24948012828826904	 ([artistry.][phone])
I(5,58): -0.2478122115135193	 ([barely][phone])
I(30): -0.24738550186157227	 ([long])
I(14,15): 0.24720394611358643	 ([collection][( mostly )])
I(0,9): -0.24674594402313232	 ([.... as][length,])
I(3,48): -0.2453010082244873	 ([comedy][wrong :])
I(8,10): -0.24182891845703125	 ([feature][it....'till])
I(25,46): -0.2413806915283203	 ([( example :][artistry.])
I(28,39): 0.24096226692199707	 ([gag ) ;][( example :])
I(16,19): -0.24089086055755615	 ([dirty][short])
I(9,16): 0.24051308631896973	 ([length,][dirty])
I(4,52): -0.23949438333511353	 ([operates.][jokes])
I(17,34): -0.2394794225692749	 ([jokes.][needed])
I(1,9): -0.23759734630584717	 ([level][length,])
I(17,31): -0.23690783977508545	 ([jokes.][can't])
I(0,42): -0.2359064221382141	 ([.... as][gag ).])
I(20,31): -0.23577821254730225	 ([can't][can't])
I(52,57): -0.23525255918502808	 ([jokes][iron])
I(39): 0.2349027395248413	 ([( example :])
I(56,60): 0.23418056964874268	 ([( the][probably])
I(7,55): -0.23337280750274658	 ([reaching][funny])
I(25): 0.22957658767700195	 ([( example :])
I(17,21): 0.22852110862731934	 ([jokes.][believe])
I(1,46): 0.2274695634841919	 ([level][artistry.])
I(2,42): -0.22633671760559082	 ([wit][gag ).])
I(56,57): -0.22495174407958984	 ([( the][iron])
I(10,42): -0.22294670343399048	 ([it....'till][gag ).])
I(44,58): -0.22119379043579102	 ([directed][phone])
I(36,55): -0.22081375122070312	 ([time][funny])
I(3,7): 0.21983814239501953	 ([comedy][reaching])
I(50,54): 0.219185471534729	 ([every][manages])
I(11,42): -0.21892285346984863	 ([need][gag ).])
I(24,28): 0.2180761694908142	 ([punchline][gag ) ;])
I(41,46): 0.21788954734802246	 ([awards][artistry.])
I(39,49): -0.2178623080253601	 ([( example :][1])
I(26,42): -0.2174549102783203	 ([santa][gag ).])
I(14,28): -0.21736741065979004	 ([collection][gag ) ;])
I(23,46): 0.21733319759368896	 ([supposed][artistry.])
I(16,28): 0.21671932935714722	 ([dirty][gag ) ;])
I(4,11): 0.21503007411956787	 ([operates.][need])
I(8,58): -0.21352076530456543	 ([feature][phone])
I(7,32): 0.21305418014526367	 ([reaching][believe])
I(10,50): 0.21287834644317627	 ([it....'till][every])
I(0,10): -0.21244770288467407	 ([.... as][it....'till])
I(11,28): -0.2123977541923523	 ([need][gag ) ;])
I(36,38): 0.21098530292510986	 ([time][punchline])
I(37,38): -0.21082770824432373	 ([set][punchline])
I(14,24): 0.2086164951324463	 ([collection][punchline])
I(3,37): 0.20856714248657227	 ([comedy][set])
I(11,55): 0.20756888389587402	 ([need][funny])
I(16,43): -0.20646870136260986	 ([dirty][nearly])
I(49,57): -0.20585012435913086	 ([1][iron])
I(16,33): -0.2058267593383789	 ([dirty][realize])
I(18,46): 0.20531773567199707	 ([many][artistry.])
I(28,58): -0.20522582530975342	 ([gag ) ;][phone])
I(40,52): -0.2050459384918213	 ([students '][jokes])
I(46,60): 0.2049618363380432	 ([artistry.][probably])
I(48,52): 0.2046424150466919	 ([wrong :][jokes])
I(33,46): -0.2040349841117859	 ([realize][artistry.])
I(28,41): -0.20215213298797607	 ([gag ) ;][awards])
I(2,41): -0.20183658599853516	 ([wit][awards])
I(49,60): 0.20129787921905518	 ([1][probably])
I(16,48): -0.2009185552597046	 ([dirty][wrong :])
I(16,20): -0.20084285736083984	 ([dirty][can't])
I(16,55): -0.1995837688446045	 ([dirty][funny])
I(14,18): -0.19775569438934326	 ([collection][many])
I(48,51): 0.19762468338012695	 ([wrong :][10])
I(53,58): -0.19757342338562012	 ([actually][phone])
I(37,55): -0.1973816156387329	 ([set][funny])
I(39,57): -0.19692069292068481	 ([( example :][iron])
I(28,30): -0.19658327102661133	 ([gag ) ;][long])
I(5,32): -0.19608241319656372	 ([barely][believe])
I(4,20): -0.19568359851837158	 ([operates.][can't])
I(16,38): -0.19545722007751465	 ([dirty][punchline])
I(1,34): 0.194838285446167	 ([level][needed])
I(27,44): -0.19309568405151367	 ([claus][directed])
I(39,56): -0.1929020881652832	 ([( example :][( the])
I(27,28): -0.192335307598114	 ([claus][gag ) ;])
I(4,49): -0.19228684902191162	 ([operates.][1])
I(37,54): 0.19188416004180908	 ([set][manages])
I(4,60): -0.19166862964630127	 ([operates.][probably])
I(11,34): -0.19152426719665527	 ([need][needed])
I(5,47): -0.19115757942199707	 ([barely][get])
I(16,21): -0.18958139419555664	 ([dirty][believe])
I(17,49): -0.18952226638793945	 ([jokes.][1])
I(0,46): -0.18466132879257202	 ([.... as][artistry.])
I(46,52): -0.18406111001968384	 ([artistry.][jokes])
I(10,36): 0.18153071403503418	 ([it....'till][time])
I(38,55): -0.18137764930725098	 ([punchline][funny])
I(10,28): -0.1806039810180664	 ([it....'till][gag ) ;])
I(20,47): 0.18026357889175415	 ([can't][get])
I(10,60): 0.18000400066375732	 ([it....'till][probably])
I(2,44): -0.17995601892471313	 ([wit][directed])
I(30,55): -0.17986083030700684	 ([long][funny])
I(3,10): -0.17969059944152832	 ([comedy][it....'till])
I(5,19): -0.1789250373840332	 ([barely][short])
I(0,1): 0.17886114120483398	 ([.... as][level])
I(6,16): -0.17808890342712402	 ([even][dirty])
I(0,3): -0.1770281195640564	 ([.... as][comedy])
I(17,37): -0.17702054977416992	 ([jokes.][set])
I(28,32): -0.17676275968551636	 ([gag ) ;][believe])
I(0,50): 0.17598849534988403	 ([.... as][every])
I(34): 0.17591500282287598	 ([needed])
I(32,44): -0.17456519603729248	 ([believe][directed])
I(27,42): -0.17314118146896362	 ([claus][gag ).])
I(0,60): 0.17302221059799194	 ([.... as][probably])
I(42,54): -0.1721334457397461	 ([gag ).][manages])
I(10,17): 0.17188608646392822	 ([it....'till][jokes.])
I(14,39): 0.17172133922576904	 ([collection][( example :])
I(1,37): 0.17155301570892334	 ([level][set])
I(16,30): -0.17136669158935547	 ([dirty][long])
I(24,41): -0.17130601406097412	 ([punchline][awards])
I(36,41): 0.17058515548706055	 ([time][awards])
I(32,60): 0.17054831981658936	 ([believe][probably])
I(15,16): 0.169669508934021	 ([( mostly )][dirty])
I(0,13): -0.16966575384140015	 ([.... as]["])
I(28,44): 0.1696566343307495	 ([gag ) ;][directed])
I(22,41): 0.1692732572555542	 ([realize][awards])
I(46,49): -0.16913151741027832	 ([artistry.][1])
I(18): -0.16727888584136963	 ([many])
I(5,24): -0.16676747798919678	 ([barely][punchline])
I(5,27): -0.16611790657043457	 ([barely][claus])
I(17,22): 0.16580736637115479	 ([jokes.][realize])
I(4,23): -0.16559481620788574	 ([operates.][supposed])
I(3,47): -0.16544640064239502	 ([comedy][get])
I(44,50): -0.16510158777236938	 ([directed][every])
I(14,49): 0.16449618339538574	 ([collection][1])
I(9,11): 0.16434943675994873	 ([length,][need])
I(0,2): 0.1637859344482422	 ([.... as][wit])
I(31,44): -0.16235053539276123	 ([can't][directed])
I(28,56): 0.16211789846420288	 ([gag ) ;][( the])
I(0,4): -0.16196149587631226	 ([.... as][operates.])
I(3,24): 0.16155481338500977	 ([comedy][punchline])
I(28,52): -0.16103994846343994	 ([gag ) ;][jokes])
I(8,52): -0.16021859645843506	 ([feature][jokes])
I(14,19): -0.1588953733444214	 ([collection][short])
I(44,49): -0.15849334001541138	 ([directed][1])
I(14,40): -0.15830934047698975	 ([collection][students '])
I(5,38): -0.15770018100738525	 ([barely][punchline])
I(50,55): -0.15738928318023682	 ([every][funny])
I(9,46): -0.15647315979003906	 ([length,][artistry.])
I(3,16): 0.1559842824935913	 ([comedy][dirty])
I(21,31): 0.15563488006591797	 ([believe][can't])
I(5,8): -0.15525323152542114	 ([barely][feature])
I(55,60): 0.15522384643554688	 ([funny][probably])
I(8,24): -0.15512144565582275	 ([feature][punchline])
I(0,37): 0.15509569644927979	 ([.... as][set])
I(14,22): 0.15444684028625488	 ([collection][realize])
I(10,13): -0.1535050868988037	 ([it....'till]["])
I(8,46): -0.15348225831985474	 ([feature][artistry.])
I(11,16): -0.15343070030212402	 ([need][dirty])
I(9,40): -0.15255600214004517	 ([length,][students '])
I(2,28): -0.15200984477996826	 ([wit][gag ) ;])
I(39,58): -0.15161651372909546	 ([( example :][phone])
I(32,33): 0.1511826515197754	 ([believe][realize])
I(10,41): -0.15092384815216064	 ([it....'till][awards])
I(10,58): -0.15082627534866333	 ([it....'till][phone])
I(14,16): 0.15044963359832764	 ([collection][dirty])
I(7,27): 0.14958083629608154	 ([reaching][claus])
I(26,41): 0.1494402289390564	 ([santa][awards])
I(3,11): 0.1491539478302002	 ([comedy][need])
I(10,57): -0.14899945259094238	 ([it....'till][iron])
I(5,57): -0.14831054210662842	 ([barely][iron])
I(5,34): 0.14827585220336914	 ([barely][needed])
I(34,42): -0.14824461936950684	 ([needed][gag ).])
I(34,41): -0.14793884754180908	 ([needed][awards])
I(11,57): 0.14785552024841309	 ([need][iron])
I(5,25): -0.14778125286102295	 ([barely][( example :])
I(17,19): -0.14765334129333496	 ([jokes.][short])
I(2,8): -0.14733242988586426	 ([wit][feature])
I(17,48): 0.1463690996170044	 ([jokes.][wrong :])
I(25,32): 0.14630138874053955	 ([( example :][believe])
I(3,38): 0.1460787057876587	 ([comedy][punchline])
I(4,37): -0.14596474170684814	 ([operates.][set])
I(27,49): -0.14543068408966064	 ([claus][1])
I(23,54): 0.1451956033706665	 ([supposed][manages])
I(11,48): -0.1450040340423584	 ([need][wrong :])
I(19,52): -0.14453762769699097	 ([short][jokes])
I(44,52): -0.1443629264831543	 ([directed][jokes])
I(5,33): -0.1441667079925537	 ([barely][realize])
I(22): -0.14383435249328613	 ([realize])
I(46,57): -0.14370512962341309	 ([artistry.][iron])
I(7,24): 0.1433849334716797	 ([reaching][punchline])
I(10,19): -0.1433424949645996	 ([it....'till][short])
I(0,5): 0.142159104347229	 ([.... as][barely])
I(1,12): -0.14203119277954102	 ([level][glasses])
I(23,26): 0.1419435739517212	 ([supposed][santa])
I(40,57): -0.14186668395996094	 ([students '][iron])
I(4,53): -0.1418534517288208	 ([operates.][actually])
I(32,55): -0.14157915115356445	 ([believe][funny])
I(11,46): 0.14130163192749023	 ([need][artistry.])
I(13): 0.14117825031280518	 (["])
I(24,36): 0.14106905460357666	 ([punchline][time])
I(28,33): -0.14022904634475708	 ([gag ) ;][realize])
I(4,7): 0.14013028144836426	 ([operates.][reaching])
I(33,42): -0.13993310928344727	 ([realize][gag ).])
I(1,35): 0.13980281352996826	 ([level][much])
I(2,45): 0.13949131965637207	 ([wit][without])
I(9,32): -0.13910150527954102	 ([length,][believe])
I(41,52): -0.138671875	 ([awards][jokes])
I(40,45): 0.13860929012298584	 ([students '][without])
I(0,24): -0.13838046789169312	 ([.... as][punchline])
I(10,12): -0.1382995843887329	 ([it....'till][glasses])
I(8,40): -0.13791298866271973	 ([feature][students '])
I(27): -0.1368621587753296	 ([claus])
I(24,26): -0.1359385848045349	 ([punchline][santa])
I(8,50): -0.13514918088912964	 ([feature][every])
I(42,47): -0.134881854057312	 ([gag ).][get])
I(47,60): 0.13479232788085938	 ([get][probably])
I(22,31): 0.13475871086120605	 ([realize][can't])
I(42,48): -0.13454335927963257	 ([gag ).][wrong :])
I(40,58): -0.13406813144683838	 ([students '][phone])
I(22,32): 0.13404417037963867	 ([realize][believe])
I(41,45): 0.1338486671447754	 ([awards][without])
I(45): -0.13348746299743652	 ([without])
I(35,36): 0.13271057605743408	 ([much][time])
I(33,34): -0.13256704807281494	 ([realize][needed])
I(4,14): -0.13220500946044922	 ([operates.][collection])
I(40,59): -0.13200640678405762	 ([students '][one])
I(32,34): -0.1316467523574829	 ([believe][needed])
I(14,41): -0.131506085395813	 ([collection][awards])
I(11,41): 0.1313786506652832	 ([need][awards])
I(9,52): -0.1312362551689148	 ([length,][jokes])
I(37,46): 0.1311436891555786	 ([set][artistry.])
I(47): 0.13018620014190674	 ([get])
I(27,52): -0.1301133632659912	 ([claus][jokes])
I(12,16): 0.12974786758422852	 ([glasses][dirty])
I(37,39): 0.12940144538879395	 ([set][( example :])
I(11,40): 0.12859201431274414	 ([need][students '])
I(7,46): 0.12838208675384521	 ([reaching][artistry.])
I(3,28): -0.12822812795639038	 ([comedy][gag ) ;])
I(4,57): -0.12812292575836182	 ([operates.][iron])
I(17,44): -0.12735527753829956	 ([jokes.][directed])
I(15,41): -0.12707269191741943	 ([( mostly )][awards])
I(4,31): -0.1269822120666504	 ([operates.][can't])
I(5,9): 0.1269475221633911	 ([barely][length,])
I(50,53): -0.1267569661140442	 ([every][actually])
I(28,53): 0.12640339136123657	 ([gag ) ;][actually])
I(3,58): 0.12598246335983276	 ([comedy][phone])
I(39,60): 0.1259596347808838	 ([( example :][probably])
I(37,44): -0.12530231475830078	 ([set][directed])
I(31,48): 0.125260591506958	 ([can't][wrong :])
I(31,34): -0.1248021125793457	 ([can't][needed])
I(0,35): 0.12472420930862427	 ([.... as][much])
I(24,40): -0.12424314022064209	 ([punchline][students '])
I(3,42): -0.12417435646057129	 ([comedy][gag ).])
I(47,49): 0.1240396499633789	 ([get][1])
I(28,48): -0.12392586469650269	 ([gag ) ;][wrong :])
I(40,60): -0.12380385398864746	 ([students '][probably])
I(14,45): -0.12372159957885742	 ([collection][without])
I(7,48): 0.12339258193969727	 ([reaching][wrong :])
I(39,41): -0.12280964851379395	 ([( example :][awards])
I(22,42): -0.12275779247283936	 ([realize][gag ).])
I(16,31): -0.12275218963623047	 ([dirty][can't])
I(17,43): -0.12266349792480469	 ([jokes.][nearly])
I(38,54): 0.12256252765655518	 ([punchline][manages])
I(10,53): -0.12251192331314087	 ([it....'till][actually])
I(39,47): -0.1222766637802124	 ([( example :][get])
I(7,41): 0.12205183506011963	 ([reaching][awards])
I(8,39): -0.12187016010284424	 ([feature][( example :])
I(3,56): 0.12180435657501221	 ([comedy][( the])
I(1,42): -0.1216120719909668	 ([level][gag ).])
I(2,60): -0.12140822410583496	 ([wit][probably])
I(34,44): -0.12136489152908325	 ([needed][directed])
I(24,42): -0.12114167213439941	 ([punchline][gag ).])
I(1,32): -0.12107837200164795	 ([level][believe])
I(31): 0.12074947357177734	 ([can't])
I(27,54): 0.12068116664886475	 ([claus][manages])
I(31,54): -0.12063884735107422	 ([can't][manages])
I(28,60): -0.12049126625061035	 ([gag ) ;][probably])
I(3,53): 0.12033200263977051	 ([comedy][actually])
I(2,23): 0.12029653787612915	 ([wit][supposed])
I(3,23): 0.12015831470489502	 ([comedy][supposed])
I(22,46): -0.12013942003250122	 ([realize][artistry.])
I(10,18): 0.1200864315032959	 ([it....'till][many])
I(9,13): -0.11967504024505615	 ([length,]["])
I(1,16): -0.11907625198364258	 ([level][dirty])
I(38): 0.11907434463500977	 ([punchline])
I(20,54): -0.1189337968826294	 ([can't][manages])
I(13,55): -0.11875641345977783	 (["][funny])
I(5,23): 0.11873066425323486	 ([barely][supposed])
I(5,28): 0.11848002672195435	 ([barely][gag ) ;])
I(21,60): 0.11788642406463623	 ([believe][probably])
I(43,54): -0.1178140640258789	 ([nearly][manages])
I(9,34): 0.1177930235862732	 ([length,][needed])
I(12,55): -0.11773693561553955	 ([glasses][funny])
I(15,55): -0.11772394180297852	 ([( mostly )][funny])
I(12,27): -0.1176530122756958	 ([glasses][claus])
I(29,46): 0.11748993396759033	 ([others][artistry.])
I(3,13): 0.11747395992279053	 ([comedy]["])
I(42,59): -0.11687600612640381	 ([gag ).][one])
I(50,60): -0.11622869968414307	 ([every][probably])
I(44,48): -0.11619192361831665	 ([directed][wrong :])
I(12,24): -0.11591529846191406	 ([glasses][punchline])
I(25,54): -0.11561787128448486	 ([( example :][manages])
I(32,42): -0.11491608619689941	 ([believe][gag ).])
I(41,56): -0.11445701122283936	 ([awards][( the])
I(1,24): -0.11443114280700684	 ([level][punchline])
I(22,44): 0.11413931846618652	 ([realize][directed])
I(15,42): -0.1140369176864624	 ([( mostly )][gag ).])
I(11,54): 0.11367607116699219	 ([need][manages])
I(0,56): 0.11350005865097046	 ([.... as][( the])
I(12,60): -0.11331737041473389	 ([glasses][probably])
I(12,28): -0.11309671401977539	 ([glasses][gag ) ;])
I(28,47): -0.11308944225311279	 ([gag ) ;][get])
I(39,44): -0.11304396390914917	 ([( example :][directed])
I(21,28): -0.11294996738433838	 ([believe][gag ) ;])
I(9,36): 0.11284279823303223	 ([length,][time])
I(31,42): -0.11265909671783447	 ([can't][gag ).])
I(12,13): 0.11258870363235474	 ([glasses]["])
I(12,22): -0.11246871948242188	 ([glasses][realize])
I(38,58): -0.11192196607589722	 ([punchline][phone])
