---------- AND Interactions ----------
I(20): 4.677618503570557	 ([bad])
I(4,6): -0.4862459897994995	 ([dvd][movie])
I(51,52): -0.4840601682662964	 ([need][cheap])
I(1,20): -0.48305606842041016	 ([movie][bad])
I(14,18): -0.48284900188446045	 ([pathetic][finish])
I(27,53): -0.4800376892089844	 ([complete][camcorder])
I(2,44): 0.4800076484680176	 ([gift,][pathetic])
I(43,45): 0.4796518087387085	 ([make][movie,])
I(3,20): 0.47907257080078125	 ([knew][bad])
I(31,37): -0.47865068912506104	 ([movie][filmmaker])
I(7,44): -0.4772357940673828	 ([going][pathetic])
I(14,45): -0.4762873649597168	 ([pathetic][movie,])
I(31,42): 0.4751148223876953	 ([movie][financed])
I(20,39): -0.46956968307495117	 ([bad][bee])
I(18,32): -0.46841955184936523	 ([finish][sucks])
I(45,56): -0.46816885471343994	 ([movie,][camera])
I(24,45): -0.4646536111831665	 ([review][movie,])
I(15,50): -0.45892107486724854	 ([movie][movie.])
I(9,45): -0.4574350118637085	 ([watching][movie,])
I(4,50): -0.4568585157394409	 ([dvd][movie.])
I(16,17): 0.45601987838745117	 ([.][almost])
I(9,23): -0.45521724224090576	 ([watching][write])
I(45,48): -0.45231473445892334	 ([movie,][000])
I(20,59): 0.45146405696868896	 ([bad][people])
I(22,26): 0.44911277294158936	 ([unfair][watching])
I(0,19): 0.4480922222137451	 ([received][watching])
I(4,31): -0.44806039333343506	 ([dvd][movie])
I(37,53): -0.44751060009002686	 ([filmmaker][camcorder])
I(8,42): -0.4463224411010742	 ([bad. after][financed])
I(6,31): -0.44603192806243896	 ([movie][movie])
I(2,9): -0.44487905502319336	 ([gift,][watching])
I(3): -0.44256508350372314	 ([knew])
I(32,34): 0.4418414831161499	 ([sucks][truly])
I(11,20): 0.44126057624816895	 ([finally][bad])
I(35,52): -0.4393054246902466	 ([shocked][cheap])
I(2,14): 0.438901424407959	 ([gift,][pathetic])
I(22,46): 0.43661677837371826	 ([unfair][cost])
I(2,8): 0.4359961748123169	 ([gift,][bad. after])
I(2,10): 0.4350447654724121	 ([gift,][year])
I(44,48): 0.4347672462463379	 ([pathetic][000])
I(10,16): 0.43466687202453613	 ([year][.])
I(12,45): -0.43370044231414795	 ([watched][movie,])
I(28,42): 0.4303455352783203	 ([movie.][financed])
I(39,44): -0.43022727966308594	 ([bee][pathetic])
I(23,50): -0.42993414402008057	 ([write][movie.])
I(0,9): -0.42940711975097656	 ([received][watching])
I(4,44): -0.4293808937072754	 ([dvd][pathetic])
I(37,52): -0.425753116607666	 ([filmmaker][cheap])
I(36,52): -0.4252629280090332	 ([bad][cheap])
I(32,39): -0.42393505573272705	 ([sucks][bee])
I(9,10): -0.4225461483001709	 ([watching][year])
I(20,53): -0.42168378829956055	 ([bad][camcorder])
I(44,45): -0.4205045700073242	 ([pathetic][movie,])
I(21,42): 0.4203070402145386	 ([movie, but][financed])
I(23,27): 0.417852520942688	 ([write][complete])
I(13,18): 0.41567742824554443	 ([it.][finish])
I(14,54): 0.415499210357666	 ([pathetic][cell])
I(6,7): 0.4124969244003296	 ([movie][going])
I(3,19): 0.4106827974319458	 ([knew][watching])
I(21,23): -0.4106072187423706	 ([movie, but][write])
I(44,59): 0.4085925817489624	 ([pathetic][people])
I(25,27): 0.4075947403907776	 ([without][complete])
I(20,21): 0.40729618072509766	 ([bad][movie, but])
I(13): 0.40704596042633057	 ([it.])
I(14,48): 0.4063544273376465	 ([pathetic][000])
I(49,52): 0.4036520719528198	 ([produce][cheap])
I(7,52): -0.4003807306289673	 ([going][cheap])
I(39): 0.3994961977005005	 ([bee])
I(21,30): -0.3993043899536133	 ([movie, but][say])
I(3,52): 0.39890992641448975	 ([knew][cheap])
I(0,36): 0.39786267280578613	 ([received][bad])
I(14,39): -0.39702463150024414	 ([pathetic][bee])
I(42,50): 0.3966946601867676	 ([financed][movie.])
I(7,14): -0.39643430709838867	 ([going][pathetic])
I(18,29): -0.39489877223968506	 ([finish][trust])
I(1,2): -0.3941227197647095	 ([movie][gift,])
I(38,44): 0.3939027786254883	 ([wane][pathetic])
I(18,52): -0.39367008209228516	 ([finish][cheap])
I(39,42): -0.39294469356536865	 ([bee][financed])
I(8,23): -0.3913613557815552	 ([bad. after][write])
I(27,36): 0.38996338844299316	 ([complete][bad])
I(1,44): -0.3899388313293457	 ([movie][pathetic])
I(19,23): 0.38911473751068115	 ([watching][write])
I(30,31): -0.3877772092819214	 ([say][movie])
I(12,14): -0.3875284194946289	 ([watched][pathetic])
I(4,37): -0.38737618923187256	 ([dvd][filmmaker])
I(53,55): -0.386529803276062	 ([camcorder][phone])
I(38): -0.38623249530792236	 ([wane])
I(14,50): -0.3849543333053589	 ([pathetic][movie.])
I(24,32): -0.3848015069961548	 ([review][sucks])
I(45,49): 0.3842993974685669	 ([movie,][produce])
I(32,42): -0.37959206104278564	 ([sucks][financed])
I(21,48): -0.3795130252838135	 ([movie, but][000])
I(0,53): -0.3784468173980713	 ([received][camcorder])
I(20,48): 0.37369728088378906	 ([bad][000])
I(14,16): -0.3724365234375	 ([pathetic][.])
I(45,54): 0.36981475353240967	 ([movie,][cell])
I(2,46): -0.3691362142562866	 ([gift,][cost])
I(12,32): -0.36834895610809326	 ([watched][sucks])
I(39,40): -0.3677150011062622	 ([bee][got])
I(2,51): -0.3666619062423706	 ([gift,][need])
I(20,38): 0.3656272888183594	 ([bad][wane])
I(35,45): -0.36427295207977295	 ([shocked][movie,])
I(24,56): -0.3637171983718872	 ([review][camera])
I(15,28): -0.35979163646698	 ([movie][movie.])
I(57,58): 0.3591533899307251	 ([. about][15])
I(40,43): 0.35905754566192627	 ([got][make])
I(24,37): -0.3585730791091919	 ([review][filmmaker])
I(9,28): -0.35812485218048096	 ([watching][movie.])
I(16,24): 0.35633909702301025	 ([.][review])
I(11,44): 0.35592055320739746	 ([finally][pathetic])
I(51,54): 0.35459721088409424	 ([need][cell])
I(46,52): -0.3530064821243286	 ([cost][cheap])
I(4,52): -0.3502836227416992	 ([dvd][cheap])
I(2,5): -0.34957849979400635	 ([gift,][cover,])
I(46,56): -0.3494676351547241	 ([cost][camera])
I(4,5): -0.3487128019332886	 ([dvd][cover,])
I(9,13): 0.3484896421432495	 ([watching][it.])
I(8,16): -0.34839320182800293	 ([bad. after][.])
I(8,18): -0.34743332862854004	 ([bad. after][finish])
I(32,33): 0.347200870513916	 ([sucks]["])
I(18,24): -0.346319317817688	 ([finish][review])
I(31,44): -0.34572064876556396	 ([movie][pathetic])
I(5,20): -0.3449568748474121	 ([cover,][bad])
I(23,53): -0.3424116373062134	 ([write][camcorder])
I(9,18): -0.34158289432525635	 ([watching][finish])
I(2,6): 0.34100067615509033	 ([gift,][movie])
I(28,53): -0.34063470363616943	 ([movie.][camcorder])
I(23,56): -0.33961594104766846	 ([write][camera])
I(50,51): 0.3368624448776245	 ([movie.][need])
I(5,28): -0.33514368534088135	 ([cover,][movie.])
I(4,14): -0.3345932960510254	 ([dvd][pathetic])
I(23,24): 0.3314758539199829	 ([write][review])
I(14,34): 0.33061158657073975	 ([pathetic][truly])
I(18,35): -0.330253005027771	 ([finish][shocked])
I(52,59): 0.32951319217681885	 ([cheap][people])
I(10,52): 0.3294234275817871	 ([year][cheap])
I(34,36): 0.3293212652206421	 ([truly][bad])
I(28,30): -0.32914555072784424	 ([movie.][say])
I(21,31): -0.3285752534866333	 ([movie, but][movie])
I(14,31): -0.3278489112854004	 ([pathetic][movie])
I(37,49): 0.32763969898223877	 ([filmmaker][produce])
I(27,56): -0.3270723819732666	 ([complete][camera])
I(17,19): -0.32695817947387695	 ([almost][watching])
I(12,28): -0.3243926763534546	 ([watched][movie.])
I(48,53): -0.3240863084793091	 ([000][camcorder])
I(18,36): -0.32394516468048096	 ([finish][bad])
I(6,37): -0.32177770137786865	 ([movie][filmmaker])
I(5,19): -0.3214834928512573	 ([cover,][watching])
I(1,37): -0.3212956190109253	 ([movie][filmmaker])
I(21,46): -0.32062041759490967	 ([movie, but][cost])
I(6,23): -0.32034361362457275	 ([movie][write])
I(15,56): -0.3202399015426636	 ([movie][camera])
I(23,49): -0.3189893960952759	 ([write][produce])
I(5,35): -0.31869256496429443	 ([cover,][shocked])
I(23,31): -0.3186250925064087	 ([write][movie])
I(40,46): 0.3184574842453003	 ([got][cost])
I(49): 0.3182872533798218	 ([produce])
I(14,29): -0.3182535171508789	 ([pathetic][trust])
I(20,25): 0.31780099868774414	 ([bad][without])
I(10,11): -0.31580185890197754	 ([year][finally])
I(46,54): 0.3150606155395508	 ([cost][cell])
I(32,35): -0.3149542808532715	 ([sucks][shocked])
I(45,53): -0.31271207332611084	 ([movie,][camcorder])
I(50,56): -0.3119763135910034	 ([movie.][camera])
I(13,20): -0.31031572818756104	 ([it.][bad])
I(14,59): 0.30822229385375977	 ([pathetic][people])
I(4,27): -0.3068174123764038	 ([dvd][complete])
I(21,36): 0.3068138360977173	 ([movie, but][bad])
I(24,35): -0.3040715456008911	 ([review][shocked])
I(5,37): -0.30402886867523193	 ([cover,][filmmaker])
I(31,35): 0.30398428440093994	 ([movie][shocked])
I(48): -0.3037649393081665	 ([000])
I(5,24): -0.3016148805618286	 ([cover,][review])
I(28,51): 0.30143463611602783	 ([movie.][need])
I(24,50): -0.3005112409591675	 ([review][movie.])
I(3,14): 0.29946041107177734	 ([knew][pathetic])
I(13,14): 0.2980813980102539	 ([it.][pathetic])
I(24,42): -0.29803621768951416	 ([review][financed])
I(14,56): -0.29737138748168945	 ([pathetic][camera])
I(14,51): -0.2970147132873535	 ([pathetic][need])
I(9,15): -0.29659831523895264	 ([watching][movie])
I(31,56): -0.295796275138855	 ([movie][camera])
I(19,42): 0.29529523849487305	 ([watching][financed])
I(9,14): -0.2947249412536621	 ([watching][pathetic])
I(24,36): -0.29434359073638916	 ([review][bad])
I(28,55): -0.29382050037384033	 ([movie.][phone])
I(4,48): -0.29374444484710693	 ([dvd][000])
I(19,53): 0.29323792457580566	 ([watching][camcorder])
I(26,52): 0.2928518056869507	 ([watching][cheap])
I(25,44): 0.2925443649291992	 ([without][pathetic])
I(48,56): -0.2910822629928589	 ([000][camera])
I(4,16): 0.2905460596084595	 ([dvd][.])
I(23,37): -0.2904874086380005	 ([write][filmmaker])
I(27,50): -0.28963518142700195	 ([complete][movie.])
I(0,4): 0.28945183753967285	 ([received][dvd])
I(7,36): -0.2884141206741333	 ([going][bad])
I(5,55): -0.2865515947341919	 ([cover,][phone])
I(12,26): -0.28634870052337646	 ([watched][watching])
I(9,50): -0.28593432903289795	 ([watching][movie.])
I(50,52): -0.28487396240234375	 ([movie.][cheap])
I(21,55): -0.28440630435943604	 ([movie, but][phone])
I(27,46): -0.2825738191604614	 ([complete][cost])
I(23,52): -0.2820061445236206	 ([write][cheap])
I(14,38): 0.28197526931762695	 ([pathetic][wane])
I(36,51): -0.28193867206573486	 ([bad][need])
I(25): -0.28178369998931885	 ([without])
I(26,32): 0.28076744079589844	 ([watching][sucks])
I(30,32): 0.27972376346588135	 ([say][sucks])
I(28,43): 0.2772718667984009	 ([movie.][make])
I(12,36): -0.2765554189682007	 ([watched][bad])
I(27,42): 0.27603983879089355	 ([complete][financed])
I(26,44): 0.27574825286865234	 ([watching][pathetic])
I(21): 0.27558648586273193	 ([movie, but])
I(11,14): 0.27443718910217285	 ([finally][pathetic])
I(34,42): 0.2736397981643677	 ([truly][financed])
I(3,5): 0.27305757999420166	 ([knew][cover,])
I(23,48): -0.27279531955718994	 ([write][000])
I(21,35): -0.27215254306793213	 ([movie, but][shocked])
I(3,10): 0.27196455001831055	 ([knew][year])
I(8,29): -0.27145230770111084	 ([bad. after][trust])
I(46,59): 0.2703336477279663	 ([cost][people])
I(9,24): -0.2703014612197876	 ([watching][review])
I(8,51): -0.27019548416137695	 ([bad. after][need])
I(49,51): 0.26992595195770264	 ([produce][need])
I(32,55): -0.269783616065979	 ([sucks][phone])
I(32,37): -0.2696150541305542	 ([sucks][filmmaker])
I(12,13): 0.2694286108016968	 ([watched][it.])
I(19,27): -0.26906251907348633	 ([watching][complete])
I(1,46): -0.26777148246765137	 ([movie][cost])
I(5,9): -0.2677053213119507	 ([cover,][watching])
I(1,48): -0.2665677070617676	 ([movie][000])
I(23): 0.26647770404815674	 ([write])
I(30,56): -0.2661856412887573	 ([say][camera])
I(37,54): 0.2660311460494995	 ([filmmaker][cell])
I(48,54): 0.26592588424682617	 ([000][cell])
I(40,42): 0.264529824256897	 ([got][financed])
I(24,29): 0.2641052007675171	 ([review][trust])
I(20,28): -0.26407134532928467	 ([bad][movie.])
I(9,32): -0.2640012502670288	 ([watching][sucks])
I(19,32): 0.2633075714111328	 ([watching][sucks])
I(26,42): 0.2631000280380249	 ([watching][financed])
I(10,32): 0.26261842250823975	 ([year][sucks])
I(7,24): -0.26118576526641846	 ([going][review])
I(1,56): -0.2596694231033325	 ([movie][camera])
I(30,45): -0.25886547565460205	 ([say][movie,])
I(6,46): -0.2581770420074463	 ([movie][cost])
I(8,19): -0.2575075626373291	 ([bad. after][watching])
I(2,56): -0.2558642625808716	 ([gift,][camera])
I(32,47): -0.25398874282836914	 ([sucks][20])
I(32,49): 0.25084924697875977	 ([sucks][produce])
I(3,36): 0.2504485845565796	 ([knew][bad])
I(5,56): -0.2504314184188843	 ([cover,][camera])
I(15,23): -0.24996578693389893	 ([movie][write])
I(23,43): -0.24992406368255615	 ([write][make])
I(9,21): -0.24963319301605225	 ([watching][movie, but])
I(6,48): -0.24891626834869385	 ([movie][000])
I(12,21): -0.24744141101837158	 ([watched][movie, but])
I(36,49): 0.2438734769821167	 ([bad][produce])
I(19,46): 0.24330675601959229	 ([watching][cost])
I(8,54): 0.24304115772247314	 ([bad. after][cell])
I(8,12): -0.24255681037902832	 ([bad. after][watched])
I(5,8): 0.24230074882507324	 ([cover,][bad. after])
I(34,52): 0.24197041988372803	 ([truly][cheap])
I(12,48): 0.23985350131988525	 ([watched][000])
I(17,32): 0.23936176300048828	 ([almost][sucks])
I(10,19): -0.23849034309387207	 ([year][watching])
I(19,45): -0.2383134365081787	 ([watching][movie,])
I(20,57): -0.23802852630615234	 ([bad][. about])
I(22,53): 0.23768389225006104	 ([unfair][camcorder])
I(9,52): -0.2359013557434082	 ([watching][cheap])
I(23,28): -0.2358638048171997	 ([write][movie.])
I(35,38): -0.2358304262161255	 ([shocked][wane])
I(38,39): 0.23547875881195068	 ([wane][bee])
I(1,32): 0.2352275848388672	 ([movie][sucks])
I(4,35): -0.232690691947937	 ([dvd][shocked])
I(16,53): 0.23144018650054932	 ([.][camcorder])
I(10,42): 0.2309131622314453	 ([year][financed])
I(17,22): 0.23070693016052246	 ([almost][unfair])
I(10,54): 0.23027193546295166	 ([year][cell])
I(2,32): 0.23024368286132812	 ([gift,][sucks])
I(1,10): -0.23016786575317383	 ([movie][year])
I(6,56): -0.22994911670684814	 ([movie][camera])
I(21,53): -0.22988760471343994	 ([movie, but][camcorder])
I(20,55): -0.22899293899536133	 ([bad][phone])
I(8,37): -0.22776007652282715	 ([bad. after][filmmaker])
I(19,24): 0.22698593139648438	 ([watching][review])
I(30,40): 0.2266474962234497	 ([say][got])
I(7,46): 0.2262810468673706	 ([going][cost])
I(1,7): 0.22596204280853271	 ([movie][going])
I(7,13): 0.2258669137954712	 ([going][it.])
I(8,46): 0.2258073091506958	 ([bad. after][cost])
I(0,37): -0.2256772518157959	 ([received][filmmaker])
I(27,40): 0.22450923919677734	 ([complete][got])
I(7,32): -0.22434711456298828	 ([going][sucks])
I(39,45): -0.22404205799102783	 ([bee][movie,])
I(31,33): 0.22379720211029053	 ([movie]["])
I(2,36): 0.22376787662506104	 ([gift,][bad])
I(36,53): 0.22264313697814941	 ([bad][camcorder])
I(13,44): -0.22251760959625244	 ([it.][pathetic])
I(40,41): 0.22251415252685547	 ([got][even])
I(41,42): 0.22234857082366943	 ([even][financed])
I(19,40): 0.2216733694076538	 ([watching][got])
I(10,48): 0.22151708602905273	 ([year][000])
I(37,48): -0.22091424465179443	 ([filmmaker][000])
I(15,32): -0.2207317352294922	 ([movie][sucks])
I(36,40): -0.21879661083221436	 ([bad][got])
I(8,39): -0.2183370590209961	 ([bad. after][bee])
I(9,16): 0.21825659275054932	 ([watching][.])
I(29,31): 0.2177664041519165	 ([trust][movie])
I(9,46): 0.21750986576080322	 ([watching][cost])
I(0,56): -0.2171797752380371	 ([received][camera])
I(20,23): -0.21616840362548828	 ([bad][write])
I(4,32): -0.2140803337097168	 ([dvd][sucks])
I(21,51): 0.21407067775726318	 ([movie, but][need])
I(8,22): -0.21249806880950928	 ([bad. after][unfair])
I(22,28): 0.21214210987091064	 ([unfair][movie.])
