---------- Players ----------
Player 0: vodafone
Player 1: become
Player 2: first
Player 3: uk
Player 4: mobile
Player 5: phone
Player 6: operator
Player 7: offer
Player 8: research
Player 9: motion
Player 10: # 39 ; s
Player 11: latest
Player 12: mobile
Player 13: device,
Player 14: blackberry
Player 15: 7100.
---------- Rewards ----------
v(): 4.716751575469971	 ([])
v(6 13): 4.960182189941406	 ([operator][device,])
v(6 14): 1.1551487445831299	 ([operator][blackberry])
v(6 15): 4.930676460266113	 ([operator][7100.])
v(7 8): 7.484838962554932	 ([offer][research])
v(7 9): 6.54498815536499	 ([offer][motion])
v(7 10): 4.923279285430908	 ([offer][# 39 ; s])
v(7 11): 6.507631301879883	 ([offer][latest])
v(7 12): 6.202507019042969	 ([offer][mobile])
v(7 13): 5.602261543273926	 ([offer][device,])
v(7 14): 2.0434980392456055	 ([offer][blackberry])
v(7 15): 4.6276469230651855	 ([offer][7100.])
v(8 9): 6.675087928771973	 ([research][motion])
v(8 10): 7.050789833068848	 ([research][# 39 ; s])
v(8 11): 6.7704949378967285	 ([research][latest])
v(8 12): 7.160069465637207	 ([research][mobile])
v(8 13): 6.731029510498047	 ([research][device,])
v(8 14): 3.0635666847229004	 ([research][blackberry])
v(8 15): 6.981414794921875	 ([research][7100.])
v(9 10): 5.184845924377441	 ([motion][# 39 ; s])
v(9 11): 6.749792098999023	 ([motion][latest])
v(9 12): 7.076262474060059	 ([motion][mobile])
v(9 13): 5.4769392013549805	 ([motion][device,])
v(9 14): 4.206387042999268	 ([motion][blackberry])
v(9 15): 6.309563636779785	 ([motion][7100.])
v(10 11): 5.892897605895996	 ([# 39 ; s][latest])
v(10 12): 6.448395729064941	 ([# 39 ; s][mobile])
v(10 13): 5.505127429962158	 ([# 39 ; s][device,])
v(10 14): 0.12058234214782715	 ([# 39 ; s][blackberry])
v(10 15): 5.054143905639648	 ([# 39 ; s][7100.])
v(11 12): 6.59639835357666	 ([latest][mobile])
v(11 13): 6.523515224456787	 ([latest][device,])
v(11 14): 3.787764072418213	 ([latest][blackberry])
v(11 15): 6.293207168579102	 ([latest][7100.])
v(12 13): 5.693336486816406	 ([mobile][device,])
v(12 14): 5.564537525177002	 ([mobile][blackberry])
v(12 15): 6.424174785614014	 ([mobile][7100.])
v(13 14): 0.2610940933227539	 ([device,][blackberry])
v(13 15): 5.505277156829834	 ([device,][7100.])
v(14 15): 1.084627389907837	 ([blackberry][7100.])
---------- Rewards-v() ----------
v(0 1): -13.138736724853516, EP: 3.6173698902130127	 ([vodafone][become])
v(0 10): -13.071033477783203, EP: 3.5987298488616943	 ([vodafone][# 39 ; s])
v(0): -12.739974975585938, EP: 3.507582426071167	 ([vodafone])
v(0 3): -12.736862182617188, EP: 3.506725311279297	 ([vodafone][uk])
v(0 2): -11.856830596923828, EP: 3.264434337615967	 ([vodafone][first])
v(0 6): -11.56958293914795, EP: 3.1853489875793457	 ([vodafone][operator])
v(0 13): -10.435649871826172, EP: 2.8731534481048584	 ([vodafone][device,])
v(0 7): -10.427656173706055, EP: 2.870952606201172	 ([vodafone][offer])
v(0 11): -10.364885330200195, EP: 2.853670358657837	 ([vodafone][latest])
v(0 15): -10.184820175170898, EP: 2.8040947914123535	 ([vodafone][7100.])
v(0 8): -9.217137336730957, EP: 2.5376713275909424	 ([vodafone][research])
v(0 9): -8.030389785766602, EP: 2.21093487739563	 ([vodafone][motion])
v(0 14): -6.663181304931641, EP: 1.8345136642456055	 ([vodafone][blackberry])
v(0 5): -6.174411296844482, EP: 1.6999449729919434	 ([vodafone][phone])
v(0 12): -5.0750837326049805, EP: 1.3972769975662231	 ([vodafone][mobile])
v(10 14): -4.596169471740723, EP: 1.2654218673706055	 ([# 39 ; s][blackberry])
v(13 14): -4.455657482147217, EP: 1.2267359495162964	 ([device,][blackberry])
v(0 4): -4.372629165649414, EP: 1.2038766145706177	 ([vodafone][mobile])
v(14 15): -3.632124185562134, EP: 1.0	 ([blackberry][7100.])
v(6 14): -3.561602830886841, EP: 0.9805839657783508	 ([operator][blackberry])
v(14): -3.068190813064575, EP: 0.8447372913360596	 ([blackberry])
v(2 14): -3.0066988468170166, EP: 0.8278073072433472	 ([first][blackberry])
v(4 8): 2.7999696731567383, EP: -0.7708904147148132	 ([mobile][research])
v(5 11): 2.779484748840332, EP: -0.7652504444122314	 ([phone][latest])
v(7 8): 2.768087387084961, EP: -0.762112557888031	 ([offer][research])
v(5 8): 2.708792209625244, EP: -0.7457873225212097	 ([phone][research])
v(7 14): -2.6732535362243652, EP: 0.7360028028488159	 ([offer][blackberry])
v(4 9): 2.6535868644714355, EP: -0.7305881381034851	 ([mobile][motion])
v(2 12): 2.5328807830810547, EP: -0.6973552107810974	 ([first][mobile])
v(1 4): 2.5284528732299805, EP: -0.6961361169815063	 ([become][mobile])
v(1 14): -2.525716543197632, EP: 0.6953827738761902	 ([become][blackberry])
v(2 4): 2.5036087036132812, EP: -0.6892960071563721	 ([first][mobile])
v(3 14): -2.48397159576416, EP: 0.6838895082473755	 ([uk][blackberry])
v(8 12): 2.4433178901672363, EP: -0.6726967096328735	 ([research][mobile])
v(4): 2.4359912872314453, EP: -0.67067950963974	 ([mobile])
v(4 11): 2.4314212799072266, EP: -0.6694213151931763	 ([mobile][latest])
v(9 12): 2.359510898590088, EP: -0.6496228575706482	 ([motion][mobile])
v(8 10): 2.334038257598877, EP: -0.642609715461731	 ([research][# 39 ; s])
v(2 8): 2.3139634132385254, EP: -0.6370826959609985	 ([first][research])
v(12): 2.2909960746765137, EP: -0.6307592988014221	 ([mobile])
v(8 15): 2.2646632194519043, EP: -0.6235092878341675	 ([research][7100.])
v(6 8): 2.239985466003418, EP: -0.6167150139808655	 ([operator][research])
v(1 12): 2.185957908630371, EP: -0.601840078830719	 ([become][mobile])
v(5 9): 2.144360065460205, EP: -0.5903873443603516	 ([phone][motion])
v(3 4): 2.138577938079834, EP: -0.5887953639030457	 ([uk][mobile])
v(5 7): 2.1277432441711426, EP: -0.5858123898506165	 ([phone][offer])
v(4 12): 2.104149341583252, EP: -0.5793164372444153	 ([mobile][mobile])
v(8 11): 2.053743362426758, EP: -0.5654386281967163	 ([research][latest])
v(3 12): 2.0460991859436035, EP: -0.563334047794342	 ([uk][mobile])
v(9 11): 2.0330405235290527, EP: -0.5597386956214905	 ([motion][latest])
v(8 13): 2.014277935028076, EP: -0.5545729994773865	 ([research][device,])
v(5 15): 2.010106086730957, EP: -0.5534243583679199	 ([phone][7100.])
v(8 9): 1.958336353302002, EP: -0.5391710996627808	 ([research][motion])
v(5 12): 1.9215641021728516, EP: -0.529046893119812	 ([phone][mobile])
v(4 10): 1.919715404510498, EP: -0.528537929058075	 ([mobile][# 39 ; s])
v(4 15): 1.9068412780761719, EP: -0.5249934196472168	 ([mobile][7100.])
v(1 5): 1.9037857055664062, EP: -0.5241521596908569	 ([become][phone])
v(11 12): 1.8796467781066895, EP: -0.5175061821937561	 ([latest][mobile])
v(2 5): 1.844747543334961, EP: -0.5078977346420288	 ([first][phone])
v(7 9): 1.8282365798950195, EP: -0.5033518671989441	 ([offer][motion])
v(11 13): 1.8067636489868164, EP: -0.4974399507045746	 ([latest][device,])
v(7 11): 1.790879726409912, EP: -0.4930667579174042	 ([offer][latest])
v(5): 1.74617338180542, EP: -0.4807581603527069	 ([phone])
v(10 12): 1.7316441535949707, EP: -0.4767579734325409	 ([# 39 ; s][mobile])
v(12 15): 1.707423210144043, EP: -0.4700894355773926	 ([mobile][7100.])
v(5 13): 1.7044172286987305, EP: -0.4692618250846863	 ([phone][device,])
v(8): 1.665719985961914, EP: -0.45860767364501953	 ([research])
v(8 14): -1.6531848907470703, EP: 0.45515647530555725	 ([research][blackberry])
v(4 5): 1.6470427513122559, EP: -0.45346543192863464	 ([mobile][phone])
v(6 11): 1.6306195259094238, EP: -0.44894376397132874	 ([operator][latest])
v(4 13): 1.6054720878601074, EP: -0.44202014803886414	 ([mobile][device,])
v(2 11): 1.5944738388061523, EP: -0.43899211287498474	 ([first][latest])
v(9 15): 1.5928120613098145, EP: -0.43853458762168884	 ([motion][7100.])
v(11 15): 1.5764555931091309, EP: -0.43403130769729614	 ([latest][7100.])
v(5 14): -1.5323295593261719, EP: 0.4218824803829193	 ([phone][blackberry])
v(4 7): 1.504880428314209, EP: -0.41432514786720276	 ([mobile][offer])
v(7 12): 1.485755443572998, EP: -0.40905964374542236	 ([offer][mobile])
v(11): 1.2886714935302734, EP: -0.354798287153244	 ([latest])
v(1 11): 1.2441105842590332, EP: -0.3425297439098358	 ([become][latest])
v(1 8): 1.2333827018737793, EP: -0.3395761251449585	 ([become][research])
v(10 11): 1.1761460304260254, EP: -0.3238176703453064	 ([# 39 ; s][latest])
v(5 6): 1.1714253425598145, EP: -0.322517991065979	 ([phone][operator])
v(1 15): 1.1217150688171387, EP: -0.30883169174194336	 ([become][7100.])
v(2 7): 1.0986967086791992, EP: -0.30249425768852234	 ([first][offer])
v(3 5): 1.0860705375671387, EP: -0.299017995595932	 ([uk][phone])
v(1 13): -1.0358400344848633, EP: 0.2851884961128235	 ([become][device,])
v(6 9): 0.9785728454589844, EP: -0.26942163705825806	 ([operator][motion])
v(12 13): 0.9765849113464355, EP: -0.26887431740760803	 ([mobile][device,])
v(2 10): 0.975745677947998, EP: -0.26864326000213623	 ([first][# 39 ; s])
v(5 10): 0.9724454879760742, EP: -0.2677346467971802	 ([phone][# 39 ; s])
v(3 15): 0.9652466773986816, EP: -0.2657526731491089	 ([uk][7100.])
v(1 7): 0.9589576721191406, EP: -0.2640211582183838	 ([become][offer])
v(1 3): -0.9576847553253174, EP: 0.2636707127094269	 ([become][uk])
v(11 14): -0.9289875030517578, EP: 0.2557697594165802	 ([latest][blackberry])
v(6 7): 0.9250426292419434, EP: -0.25468364357948303	 ([operator][offer])
v(7 13): 0.8855099678039551, EP: -0.24379947781562805	 ([offer][device,])
v(12 14): 0.8477859497070312, EP: -0.23341326415538788	 ([mobile][blackberry])
v(1 6): 0.8472800254821777, EP: -0.2332739681005478	 ([become][operator])
v(3 9): -0.8285741806030273, EP: 0.22812385857105255	 ([uk][motion])
v(2 3): -0.8265156745910645, EP: 0.22755710780620575	 ([first][uk])
v(3): -0.8161776065826416, EP: 0.22471082210540771	 ([uk])
v(2 6): 0.8111686706542969, EP: -0.2233317494392395	 ([first][operator])
v(2 13): 0.8072905540466309, EP: -0.22226402163505554	 ([first][device,])
v(13 15): 0.7885255813598633, EP: -0.21709764003753662	 ([device,][7100.])
v(10 13): 0.7883758544921875, EP: -0.21705640852451324	 ([# 39 ; s][device,])
v(9 13): 0.7601876258850098, EP: -0.2092956006526947	 ([motion][device,])
v(2): 0.6682877540588379, EP: -0.1839936375617981	 ([first])
v(2 15): 0.6316165924072266, EP: -0.17389729619026184	 ([first][7100.])
v(7): 0.5748662948608398, EP: -0.15827275812625885	 ([offer])
v(3 8): 0.5609703063964844, EP: -0.15444689989089966	 ([uk][research])
v(1 2): 0.5573744773864746, EP: -0.1534568816423416	 ([become][first])
v(6): 0.545224666595459, EP: -0.15011179447174072	 ([operator])
v(9 14): -0.5103645324707031, EP: 0.1405140608549118	 ([motion][blackberry])
v(6 10): -0.49458789825439453, EP: 0.13617043197155	 ([operator][# 39 ; s])
v(15): 0.4708881378173828, EP: -0.12964537739753723	 ([7100.])
v(9 10): 0.4680943489074707, EP: -0.128876194357872	 ([motion][# 39 ; s])
v(2 9): 0.4671039581298828, EP: -0.1286035180091858	 ([first][motion])
v(3 11): 0.39006900787353516, EP: -0.10739418119192123	 ([uk][latest])
v(3 10): -0.3710494041442871, EP: 0.10215768963098526	 ([uk][# 39 ; s])
v(10): 0.34942626953125, EP: -0.09620438516139984	 ([# 39 ; s])
v(3 7): 0.3441128730773926, EP: -0.09474149346351624	 ([uk][offer])
v(10 15): 0.33739233016967773, EP: -0.09289118647575378	 ([# 39 ; s][7100.])
v(1 10): 0.2663302421569824, EP: -0.07332630455493927	 ([become][# 39 ; s])
v(13): 0.2441539764404297, EP: -0.06722071021795273	 ([device,])
v(6 13): 0.24343061447143555, EP: -0.06702155619859695	 ([operator][device,])
v(4 14): -0.23876523971557617, EP: 0.06573708355426788	 ([mobile][blackberry])
v(6 15): 0.21392488479614258, EP: -0.05889800935983658	 ([operator][7100.])
v(7 10): 0.2065277099609375, EP: -0.05686141178011894	 ([offer][# 39 ; s])
v(9): 0.19595050811767578, EP: -0.05394928529858589	 ([motion])
v(3 6): -0.16288518905639648, EP: 0.044845711439847946	 ([uk][operator])
v(4 6): 0.1461472511291504, EP: -0.04023740440607071	 ([mobile][operator])
v(6 12): -0.1378483772277832, EP: 0.03795254975557327	 ([operator][mobile])
v(3 13): -0.11081361770629883, EP: 0.030509313568472862	 ([uk][device,])
v(7 15): -0.08910465240478516, EP: 0.0245323795825243	 ([offer][7100.])
v(1): 0.07907295227050781, EP: -0.02177044376730919	 ([become])
v(1 9): 0.04017066955566406, EP: -0.011059828102588654	 ([become][motion])
v(): 0.0, EP: -0.0	 ([])
==================================================
