---------- Players ----------
Player 0: first
Player 1: moment,
Player 2: thing
Player 3: "
Player 4: awful
Player 5: sequence
Player 6: extremely
Player 7: short
Player 8: cuts
Player 9: blurry
Player 10: camera
Player 11: work.
Player 12: overall
Player 13: plot
Player 14: every
Player 15: potential
Player 16: thriller,
Player 17: story
Player 18: badly
Player 19: told
Player 20: i'm
Player 21: unable
Player 22: buy
Player 23: it.
Player 24: middle
Player 25: film,
Player 26: actions
Player 27: characters
Player 28: make
Player 29: sense
Player 30: me.
Player 31: stop
Player 32: reading
Player 33: avoid
Player 34: spoilers.
Player 35: instance,
Player 36: ed's
Player 37: idea
Player 38: edna
Player 39: make
Player 40: coffee
Player 41: shot
Player 42: son's
Player 43: arm
Player 44: way
Player 45: alleged
Player 46: experience ;
Player 47: extremely
Player 48: stupid
Player 49: idea.
Player 50: domino
Player 51: questioning
Player 52: fragmentary
Player 53: orders
Player 54: receives
Player 55: claremont
Player 56: williams
Player 57: breaking - up
Player 58: phone
Player 59: connection
Player 60: eludes
Player 61: me ;
---------- AND Interactions (Pairwise Only) ----------
I(47,48): -1.8643560409545898	 ([extremely][stupid])
I(1,4): 0.5439920425415039	 ([moment,][awful])
I(11,51): -0.5413879156112671	 ([work.][questioning])
I(48,59): 0.5353760719299316	 ([stupid][connection])
I(4,17): 0.5319685935974121	 ([awful][story])
I(18,41): -0.5178384780883789	 ([badly][shot])
I(49,50): -0.5158801078796387	 ([idea.][domino])
I(18,38): -0.5090961456298828	 ([badly][edna])
I(17,60): -0.5047013759613037	 ([story][eludes])
I(4,26): 0.49816083908081055	 ([awful][actions])
I(25,60): -0.4961223602294922	 ([film,][eludes])
I(26,52): 0.4943718910217285	 ([actions][fragmentary])
I(29,30): 0.49288463592529297	 ([sense][me.])
I(9,48): -0.4895358085632324	 ([blurry][stupid])
I(9,59): 0.4857664108276367	 ([blurry][connection])
I(26,27): 0.4842371940612793	 ([actions][characters])
I(9,41): -0.46222782135009766	 ([blurry][shot])
I(0,4): -0.46141767501831055	 ([first][awful])
I(35,36): -0.45928359031677246	 ([instance,][ed's])
I(8,11): -0.4584469795227051	 ([cuts][work.])
I(50,51): -0.45843207836151123	 ([domino][questioning])
I(17,48): 0.45762014389038086	 ([story][stupid])
I(24,25): 0.4538421630859375	 ([middle][film,])
I(37,48): -0.44945430755615234	 ([idea][stupid])
I(42,48): 0.4434487819671631	 ([son's][stupid])
I(35,51): 0.43421828746795654	 ([instance,][questioning])
I(0,1): 0.42766761779785156	 ([first][moment,])
I(48,53): 0.42747950553894043	 ([stupid][orders])
I(38,47): -0.4257512092590332	 ([edna][extremely])
I(58,60): 0.4214291572570801	 ([phone][eludes])
I(38,40): -0.41750431060791016	 ([edna][coffee])
I(41,47): -0.4162931442260742	 ([shot][extremely])
I(47,52): 0.41411542892456055	 ([extremely][fragmentary])
I(15,60): 0.40962886810302734	 ([potential][eludes])
I(18,57): 0.40793418884277344	 ([badly][breaking - up])
I(7,8): -0.40334320068359375	 ([short][cuts])
I(25,26): 0.4021940231323242	 ([film,][actions])
I(17,26): 0.40151381492614746	 ([story][actions])
I(4,22): -0.40086793899536133	 ([awful][buy])
I(48,52): 0.4006223678588867	 ([stupid][fragmentary])
I(44,53): 0.3997843265533447	 ([way][orders])
I(25,51): -0.39877843856811523	 ([film,][questioning])
I(44,60): 0.39832520484924316	 ([way][eludes])
I(41,59): 0.39632081985473633	 ([shot][connection])
I(26,47): 0.3946385383605957	 ([actions][extremely])
I(23,51): -0.39399516582489014	 ([it.][questioning])
I(18,34): -0.39240598678588867	 ([badly][spoilers.])
I(4,42): 0.39044690132141113	 ([awful][son's])
I(16,17): 0.3869926929473877	 ([thriller,][story])
I(48,57): 0.38577938079833984	 ([stupid][breaking - up])
I(51,58): 0.38472092151641846	 ([questioning][phone])
I(18,21): -0.37732982635498047	 ([badly][unable])
I(36,38): -0.3770136833190918	 ([ed's][edna])
I(4,44): -0.37616777420043945	 ([awful][way])
I(51,55): -0.3735295534133911	 ([questioning][claremont])
I(4,37): -0.3735013008117676	 ([awful][idea])
I(1,11): 0.36780452728271484	 ([moment,][work.])
I(11,57): 0.3675827980041504	 ([work.][breaking - up])
I(47,59): 0.3661670684814453	 ([extremely][connection])
I(44,45): -0.3645286560058594	 ([way][alleged])
I(41,60): 0.36444664001464844	 ([shot][eludes])
I(45,46): -0.36379241943359375	 ([alleged][experience ;])
I(17,47): 0.3636474609375	 ([story][extremely])
I(39,40): -0.36281728744506836	 ([make][coffee])
I(35,47): -0.3618457317352295	 ([instance,][extremely])
I(38,54): 0.36171722412109375	 ([edna][receives])
I(9,47): -0.3595590591430664	 ([blurry][extremely])
I(38,45): -0.3563380241394043	 ([edna][alleged])
I(36,48): -0.3561577796936035	 ([ed's][stupid])
I(9,38): -0.35456275939941406	 ([blurry][edna])
I(44,57): 0.3509654998779297	 ([way][breaking - up])
I(26,46): 0.3404884338378906	 ([actions][experience ;])
I(5,11): -0.34008145332336426	 ([sequence][work.])
I(57,61): -0.34000134468078613	 ([breaking - up][me ;])
I(17,45): 0.33941030502319336	 ([story][alleged])
I(26,51): 0.33882462978363037	 ([actions][questioning])
I(18,54): 0.33783483505249023	 ([badly][receives])
I(0,9): -0.33698129653930664	 ([first][blurry])
I(17,22): 0.333101749420166	 ([story][buy])
I(22,45): -0.33199167251586914	 ([buy][alleged])
I(4,54): 0.3313894271850586	 ([awful][receives])
I(9,57): 0.3298654556274414	 ([blurry][breaking - up])
I(53,59): 0.3286168575286865	 ([orders][connection])
I(44,48): -0.3279690742492676	 ([way][stupid])
I(11,46): 0.32760095596313477	 ([work.][experience ;])
I(30,31): -0.32405948638916016	 ([me.][stop])
I(45,59): 0.3224663734436035	 ([alleged][connection])
I(2,53): 0.321399450302124	 ([thing][orders])
I(47,57): 0.3208427429199219	 ([extremely][breaking - up])
I(47,54): 0.3204307556152344	 ([extremely][receives])
I(1,53): 0.31888413429260254	 ([moment,][orders])
I(18,49): -0.31673336029052734	 ([badly][idea.])
I(47,56): 0.3139762878417969	 ([extremely][williams])
I(8,48): -0.3126497268676758	 ([cuts][stupid])
I(42,49): 0.3109605312347412	 ([son's][idea.])
I(41,43): -0.3069038391113281	 ([shot][arm])
I(9,17): 0.30601024627685547	 ([blurry][story])
I(10,48): -0.30515336990356445	 ([camera][stupid])
I(52,59): 0.30478405952453613	 ([fragmentary][connection])
I(25,56): -0.3037300109863281	 ([film,][williams])
I(4,19): 0.30228185653686523	 ([awful][told])
I(43,51): 0.30155813694000244	 ([arm][questioning])
I(4,49): -0.3014836311340332	 ([awful][idea.])
I(42,44): 0.2990744113922119	 ([son's][way])
I(18,28): -0.29696130752563477	 ([badly][make])
I(41,56): 0.2958860397338867	 ([shot][williams])
I(40,60): 0.2958388328552246	 ([coffee][eludes])
I(46,61): 0.2957305908203125	 ([experience ;][me ;])
I(39,60): 0.2943737506866455	 ([make][eludes])
I(30,61): 0.293895959854126	 ([me.][me ;])
I(46,56): 0.290865421295166	 ([experience ;][williams])
I(17,46): 0.290402889251709	 ([story][experience ;])
I(27,51): 0.28829097747802734	 ([characters][questioning])
I(11,53): 0.28713297843933105	 ([work.][orders])
I(51,54): 0.28693878650665283	 ([questioning][receives])
I(27,30): 0.28442859649658203	 ([characters][me.])
I(42,46): 0.28405165672302246	 ([son's][experience ;])
I(24,46): -0.28365278244018555	 ([middle][experience ;])
I(34,36): -0.28295040130615234	 ([spoilers.][ed's])
I(0,2): -0.2821674346923828	 ([first][thing])
I(47,53): 0.28197693824768066	 ([extremely][orders])
I(11,54): 0.2814006805419922	 ([work.][receives])
I(16,26): 0.2813291549682617	 ([thriller,][actions])
I(1,8): 0.2801699638366699	 ([moment,][cuts])
I(49,53): 0.2794649600982666	 ([idea.][orders])
I(30,33): 0.2744252681732178	 ([me.][avoid])
I(13,57): 0.27424144744873047	 ([plot][breaking - up])
I(46,52): 0.274200439453125	 ([experience ;][fragmentary])
I(9,53): 0.2740037441253662	 ([blurry][orders])
I(30,51): -0.27314627170562744	 ([me.][questioning])
I(40,54): 0.27274560928344727	 ([coffee][receives])
I(9,54): 0.2723875045776367	 ([blurry][receives])
I(4,56): 0.27179479598999023	 ([awful][williams])
I(36,51): 0.2717655897140503	 ([ed's][questioning])
I(37,45): -0.2717294692993164	 ([idea][alleged])
I(44,47): -0.27137279510498047	 ([way][extremely])
I(55,56): 0.26969242095947266	 ([claremont][williams])
I(26,45): 0.26833319664001465	 ([actions][alleged])
I(33,34): -0.2678654193878174	 ([avoid][spoilers.])
I(37,49): -0.2669696807861328	 ([idea][idea.])
I(54,60): -0.26649904251098633	 ([receives][eludes])
I(2,11): 0.26638364791870117	 ([thing][work.])
I(8,10): -0.26468658447265625	 ([cuts][camera])
I(46,60): -0.2630220651626587	 ([experience ;][eludes])
I(46,49): -0.26239442825317383	 ([experience ;][idea.])
I(26,44): 0.2621746063232422	 ([actions][way])
I(15,48): -0.2603421211242676	 ([potential][stupid])
I(26,60): -0.25951147079467773	 ([actions][eludes])
I(8,22): -0.25936126708984375	 ([cuts][buy])
I(37,47): -0.2591280937194824	 ([idea][extremely])
I(44,54): 0.2590632438659668	 ([way][receives])
I(37,42): 0.2583949565887451	 ([idea][son's])
I(34,41): -0.25801658630371094	 ([spoilers.][shot])
I(22,48): -0.25572967529296875	 ([buy][stupid])
I(22,26): 0.25495004653930664	 ([buy][actions])
I(11,18): -0.2535429000854492	 ([work.][badly])
I(11,38): -0.25200796127319336	 ([work.][edna])
I(53,61): 0.25124430656433105	 ([orders][me ;])
I(30,48): 0.24901294708251953	 ([me.][stupid])
I(42,45): 0.24728894233703613	 ([son's][alleged])
I(22,39): -0.2471170425415039	 ([buy][make])
I(22,60): 0.24701142311096191	 ([buy][eludes])
I(30,41): 0.24573230743408203	 ([me.][shot])
I(49,56): 0.24552249908447266	 ([idea.][williams])
I(11,15): 0.24420976638793945	 ([work.][potential])
I(48,56): 0.2426924705505371	 ([stupid][williams])
I(46,57): 0.24260497093200684	 ([experience ;][breaking - up])
I(2,48): -0.24108028411865234	 ([thing][stupid])
I(11,23): -0.2408580780029297	 ([work.][it.])
I(1,48): 0.2405557632446289	 ([moment,][stupid])
I(50,56): 0.23723769187927246	 ([domino][williams])
I(9,23): -0.23701238632202148	 ([blurry][it.])
I(4,53): 0.23448634147644043	 ([awful][orders])
I(11,48): -0.23426008224487305	 ([work.][stupid])
I(57,58): 0.234116792678833	 ([breaking - up][phone])
I(26,42): 0.2337801456451416	 ([actions][son's])
I(0,48): 0.23205327987670898	 ([first][stupid])
I(22,41): -0.2317943572998047	 ([buy][shot])
I(36,53): 0.230360746383667	 ([ed's][orders])
I(5,26): 0.22948145866394043	 ([sequence][actions])
I(3,11): 0.22845077514648438	 (["][work.])
I(37,44): 0.22835826873779297	 ([idea][way])
I(53,58): 0.22821497917175293	 ([orders][phone])
I(11,26): 0.22614574432373047	 ([work.][actions])
I(16,49): 0.2248706817626953	 ([thriller,][idea.])
I(47,61): 0.2232651710510254	 ([extremely][me ;])
I(19,48): 0.22319507598876953	 ([told][stupid])
I(23,27): 0.22316598892211914	 ([it.][characters])
I(38,42): -0.22272801399230957	 ([edna][son's])
I(36,37): -0.22269248962402344	 ([ed's][idea])
I(9,56): 0.22092771530151367	 ([blurry][williams])
I(36,47): -0.22072076797485352	 ([ed's][extremely])
I(25,59): -0.2207193374633789	 ([film,][connection])
I(11,12): -0.22052931785583496	 ([work.][overall])
I(9,52): -0.22051715850830078	 ([blurry][fragmentary])
I(0,11): -0.21969223022460938	 ([first][work.])
I(35,60): 0.21811628341674805	 ([instance,][eludes])
I(1,47): 0.2179875373840332	 ([moment,][extremely])
I(8,52): -0.2177867889404297	 ([cuts][fragmentary])
I(2,25): -0.21722126007080078	 ([thing][film,])
I(10,51): 0.21718180179595947	 ([camera][questioning])
I(19,45): 0.21716880798339844	 ([told][alleged])
I(38,44): -0.21711111068725586	 ([edna][way])
I(18,33): -0.21596360206604004	 ([badly][avoid])
I(42,53): -0.21567344665527344	 ([son's][orders])
I(34,47): -0.2136988639831543	 ([spoilers.][extremely])
I(1,22): 0.21313238143920898	 ([moment,][buy])
I(4,52): 0.21309852600097656	 ([awful][fragmentary])
I(9,22): -0.21308326721191406	 ([blurry][buy])
I(41,55): 0.21306276321411133	 ([shot][claremont])
I(10,47): -0.21130943298339844	 ([camera][extremely])
I(4,35): 0.21087050437927246	 ([awful][instance,])
I(34,35): -0.2100675106048584	 ([spoilers.][instance,])
I(21,33): -0.21003508567810059	 ([unable][avoid])
I(18,30): 0.2096242904663086	 ([badly][me.])
I(32,51): 0.20934855937957764	 ([reading][questioning])
I(1,49): -0.20902299880981445	 ([moment,][idea.])
I(8,45): -0.2088179588317871	 ([cuts][alleged])
I(17,52): 0.2084217071533203	 ([story][fragmentary])
I(40,45): -0.20811748504638672	 ([coffee][alleged])
I(59,60): 0.2080988883972168	 ([connection][eludes])
I(49,54): 0.20803093910217285	 ([idea.][receives])
I(17,41): 0.20762872695922852	 ([story][shot])
I(4,29): -0.20753812789916992	 ([awful][sense])
I(18,37): -0.20624780654907227	 ([badly][idea])
I(8,56): -0.20557212829589844	 ([cuts][williams])
I(9,10): -0.20499229431152344	 ([blurry][camera])
I(4,40): -0.2048358917236328	 ([awful][coffee])
I(11,25): -0.20401811599731445	 ([work.][film,])
I(23,26): 0.20376205444335938	 ([it.][actions])
I(53,57): 0.20257997512817383	 ([orders][breaking - up])
I(18,26): 0.20236873626708984	 ([badly][actions])
I(9,27): -0.2020869255065918	 ([blurry][characters])
I(22,51): 0.20150768756866455	 ([buy][questioning])
I(8,41): -0.2010021209716797	 ([cuts][shot])
I(51,59): -0.2009352445602417	 ([questioning][connection])
I(11,32): -0.20066022872924805	 ([work.][reading])
I(22,38): -0.2005910873413086	 ([buy][edna])
I(26,55): 0.20055818557739258	 ([actions][claremont])
I(38,39): -0.20046710968017578	 ([edna][make])
I(25,41): 0.20039129257202148	 ([film,][shot])
I(52,58): 0.1996321678161621	 ([fragmentary][phone])
I(10,17): 0.19936084747314453	 ([camera][story])
I(32,46): -0.19921064376831055	 ([reading][experience ;])
I(8,18): -0.19908666610717773	 ([cuts][badly])
I(16,46): 0.19845008850097656	 ([thriller,][experience ;])
I(34,51): 0.19842994213104248	 ([spoilers.][questioning])
I(41,46): 0.1973862648010254	 ([shot][experience ;])
I(43,44): 0.1968698501586914	 ([arm][way])
I(4,10): -0.1968097686767578	 ([awful][camera])
I(20,60): 0.19676733016967773	 ([i'm][eludes])
I(39,45): -0.1962604522705078	 ([make][alleged])
I(42,61): -0.19583487510681152	 ([son's][me ;])
I(52,54): -0.1950364112854004	 ([fragmentary][receives])
I(11,49): -0.19491052627563477	 ([work.][idea.])
I(18,52): -0.1940755844116211	 ([badly][fragmentary])
I(19,26): 0.19379043579101562	 ([told][actions])
I(0,47): 0.19341468811035156	 ([first][extremely])
I(17,24): 0.19302988052368164	 ([story][middle])
I(54,55): 0.19265317916870117	 ([receives][claremont])
I(51,57): 0.19224488735198975	 ([questioning][breaking - up])
I(9,45): -0.19200420379638672	 ([blurry][alleged])
I(46,53): 0.19184422492980957	 ([experience ;][orders])
I(58,61): -0.1914982795715332	 ([phone][me ;])
I(9,26): 0.1914520263671875	 ([blurry][actions])
I(16,59): -0.19028282165527344	 ([thriller,][connection])
I(8,49): -0.19010543823242188	 ([cuts][idea.])
I(57,59): 0.18964648246765137	 ([breaking - up][connection])
I(21,23): 0.18961381912231445	 ([unable][it.])
I(13,25): 0.18939924240112305	 ([plot][film,])
I(9,19): 0.1885538101196289	 ([blurry][told])
I(38,46): -0.18850374221801758	 ([edna][experience ;])
I(35,44): 0.1883707046508789	 ([instance,][way])
I(18,53): 0.18780827522277832	 ([badly][orders])
I(39,42): -0.1862325668334961	 ([make][son's])
I(48,61): 0.18459558486938477	 ([stupid][me ;])
I(13,26): 0.18436431884765625	 ([plot][actions])
I(9,40): -0.1843118667602539	 ([blurry][coffee])
I(45,49): -0.1837453842163086	 ([alleged][idea.])
I(22,54): 0.1832408905029297	 ([buy][receives])
I(5,57): 0.1827256679534912	 ([sequence][breaking - up])
I(38,55): -0.18247461318969727	 ([edna][claremont])
I(4,33): -0.18230700492858887	 ([awful][avoid])
I(32,34): 0.18227815628051758	 ([reading][spoilers.])
I(37,53): 0.18201661109924316	 ([idea][orders])
I(52,57): 0.18195533752441406	 ([fragmentary][breaking - up])
I(4,46): 0.18126440048217773	 ([awful][experience ;])
I(42,47): 0.18076062202453613	 ([son's][extremely])
I(42,51): -0.18059206008911133	 ([son's][questioning])
I(16,41): 0.18037891387939453	 ([thriller,][shot])
I(18,43): -0.17990350723266602	 ([badly][arm])
I(22,58): -0.1796860694885254	 ([buy][phone])
I(18,42): 0.17966103553771973	 ([badly][son's])
I(42,57): 0.17959284782409668	 ([son's][breaking - up])
I(37,40): -0.17913007736206055	 ([idea][coffee])
I(50,59): 0.17911720275878906	 ([domino][connection])
I(40,41): 0.1789875030517578	 ([coffee][shot])
I(4,39): -0.1788463592529297	 ([awful][make])
I(29,47): -0.17816734313964844	 ([sense][extremely])
I(1,44): 0.17801427841186523	 ([moment,][way])
I(17,34): 0.17775321006774902	 ([story][spoilers.])
I(5,25): 0.1776106357574463	 ([sequence][film,])
I(22,52): -0.17746758460998535	 ([buy][fragmentary])
I(49,51): 0.17669260501861572	 ([idea.][questioning])
I(28,32): 0.1764540672302246	 ([make][reading])
I(46,59): 0.17619085311889648	 ([experience ;][connection])
I(30,38): 0.17559051513671875	 ([me.][edna])
I(43,59): 0.17534685134887695	 ([arm][connection])
I(29,48): -0.17485761642456055	 ([sense][stupid])
I(4,25): 0.1745128631591797	 ([awful][film,])
I(23,47): 0.17385244369506836	 ([it.][extremely])
I(4,30): 0.1729884147644043	 ([awful][me.])
I(2,57): 0.1729724407196045	 ([thing][breaking - up])
I(1,16): 0.1724252700805664	 ([moment,][thriller,])
I(16,56): -0.1722884178161621	 ([thriller,][williams])
I(5,6): 0.1716444492340088	 ([sequence][extremely])
I(38,59): 0.1715841293334961	 ([edna][connection])
I(18,44): -0.17121410369873047	 ([badly][way])
I(13,34): -0.17120599746704102	 ([plot][spoilers.])
I(2,54): -0.17099499702453613	 ([thing][receives])
I(26,28): -0.17003822326660156	 ([actions][make])
I(22,33): -0.16964459419250488	 ([buy][avoid])
I(8,57): 0.1693429946899414	 ([cuts][breaking - up])
I(5,46): -0.16908621788024902	 ([sequence][experience ;])
I(34,59): 0.16849374771118164	 ([spoilers.][connection])
I(47,60): 0.16845488548278809	 ([extremely][eludes])
I(11,59): 0.1684117317199707	 ([work.][connection])
I(9,33): -0.16810393333435059	 ([blurry][avoid])
I(15,47): -0.16745901107788086	 ([potential][extremely])
I(52,53): -0.1672971248626709	 ([fragmentary][orders])
I(40,48): -0.1672039031982422	 ([coffee][stupid])
I(25,57): -0.16710281372070312	 ([film,][breaking - up])
I(6,48): -0.16701602935791016	 ([extremely][stupid])
I(8,37): -0.1668992042541504	 ([cuts][idea])
I(8,38): -0.16674566268920898	 ([cuts][edna])
I(18,39): -0.1649928092956543	 ([badly][make])
I(19,47): 0.16495370864868164	 ([told][extremely])
I(15,18): 0.1649155616760254	 ([potential][badly])
I(16,25): -0.16449975967407227	 ([thriller,][film,])
I(2,24): -0.16430330276489258	 ([thing][middle])
I(2,35): -0.1642777919769287	 ([thing][instance,])
I(11,41): -0.16408252716064453	 ([work.][shot])
I(17,21): 0.1640002727508545	 ([story][unable])
I(33,48): -0.16347765922546387	 ([avoid][stupid])
I(20,23): 0.1630864143371582	 ([i'm][it.])
I(11,44): 0.1629352569580078	 ([work.][way])
I(4,28): -0.1629343032836914	 ([awful][make])
I(1,57): 0.16254401206970215	 ([moment,][breaking - up])
I(30,60): -0.16205334663391113	 ([me.][eludes])
I(52,61): -0.16186809539794922	 ([fragmentary][me ;])
I(53,56): 0.16182827949523926	 ([orders][williams])
I(6,60): 0.16181564331054688	 ([extremely][eludes])
I(34,44): -0.1614542007446289	 ([spoilers.][way])
I(45,57): 0.1611032485961914	 ([alleged][breaking - up])
I(45,56): 0.16077899932861328	 ([alleged][williams])
I(40,56): 0.16066217422485352	 ([coffee][williams])
I(17,44): 0.16058969497680664	 ([story][way])
I(33,47): -0.16012883186340332	 ([avoid][extremely])
I(21,26): -0.15958142280578613	 ([unable][actions])
I(36,44): -0.15942621231079102	 ([ed's][way])
I(1,13): 0.15901947021484375	 ([moment,][plot])
I(9,55): -0.15818548202514648	 ([blurry][claremont])
I(17,58): 0.15782642364501953	 ([story][phone])
I(19,44): 0.15777111053466797	 ([told][way])
I(1,3): -0.15755319595336914	 ([moment,]["])
I(25,37): 0.15683269500732422	 ([film,][idea])
I(22,23): -0.15584325790405273	 ([buy][it.])
I(43,47): -0.15471649169921875	 ([arm][extremely])
I(26,38): 0.15447425842285156	 ([actions][edna])
I(33,35): 0.15316081047058105	 ([avoid][instance,])
I(0,13): -0.15298151969909668	 ([first][plot])
I(40,58): -0.1527388095855713	 ([coffee][phone])
I(17,51): -0.15256738662719727	 ([story][questioning])
I(0,53): 0.15236973762512207	 ([first][orders])
I(41,54): 0.1523275375366211	 ([shot][receives])
I(26,29): 0.1521153450012207	 ([actions][sense])
I(50,54): 0.15161705017089844	 ([domino][receives])
I(37,54): 0.15141010284423828	 ([idea][receives])
I(2,36): 0.1512742042541504	 ([thing][ed's])
I(9,13): 0.1511378288269043	 ([blurry][plot])
I(20,47): -0.15100955963134766	 ([i'm][extremely])
I(17,19): 0.15072965621948242	 ([story][told])
I(36,60): 0.15060758590698242	 ([ed's][eludes])
I(39,48): -0.15034770965576172	 ([make][stupid])
I(22,37): -0.14993810653686523	 ([buy][idea])
I(13,35): -0.14993596076965332	 ([plot][instance,])
I(25,38): 0.14977693557739258	 ([film,][edna])
I(16,18): 0.14962244033813477	 ([thriller,][badly])
I(25,27): 0.1495661735534668	 ([film,][characters])
I(17,27): 0.14948368072509766	 ([story][characters])
I(10,60): 0.1494739055633545	 ([camera][eludes])
I(30,47): 0.14933109283447266	 ([me.][extremely])
I(46,47): -0.14914274215698242	 ([experience ;][extremely])
I(25,47): 0.14905261993408203	 ([film,][extremely])
I(46,48): 0.14832258224487305	 ([experience ;][stupid])
I(36,40): -0.14736366271972656	 ([ed's][coffee])
I(15,45): -0.14720535278320312	 ([potential][alleged])
I(18,56): 0.14665889739990234	 ([badly][williams])
I(45,61): 0.14650297164916992	 ([alleged][me ;])
I(2,51): 0.14629113674163818	 ([thing][questioning])
I(22,43): -0.14613628387451172	 ([buy][arm])
I(4,32): 0.14601469039916992	 ([awful][reading])
I(0,33): 0.14525341987609863	 ([first][avoid])
I(38,41): -0.1449904441833496	 ([edna][shot])
I(52,55): -0.14469003677368164	 ([fragmentary][claremont])
I(8,27): -0.14462876319885254	 ([cuts][characters])
I(17,37): 0.14418697357177734	 ([story][idea])
I(42,58): 0.14397859573364258	 ([son's][phone])
I(35,52): 0.14382719993591309	 ([instance,][fragmentary])
I(22,27): -0.14371633529663086	 ([buy][characters])
I(4,34): -0.14315271377563477	 ([awful][spoilers.])
I(27,32): 0.1428356170654297	 ([characters][reading])
I(2,4): -0.14267396926879883	 ([thing][awful])
I(50,61): -0.14255857467651367	 ([domino][me ;])
I(10,58): -0.1416616439819336	 ([camera][phone])
